,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,173404000.000,94439000.000,4379000.000,26395000.000,58000000.000,11000000.000
AffordableHousingProgramAssessments,8670000.000,12408000.000,12237000.000,13475000.000,15000000.000,75000000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,6000000.000,3000000.000
AmortizationOfFinancingCosts,,7700000.000,1600000.000,1900000.000,7000000.000,
AvailableForSaleSecuritiesGrossRealizedGains,,12600000.000,3000000.000,800000.000,0.000,1000000.000
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,120800000.000,97200000.000,0.000,287000000.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,0.000,12644000.000,3039000.000,826000.000,0.000,0.000
AverageCollectedCashBalancesWithCommercialBanksFederalHomeLoanBank,,,,,131000000.000,148000000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,140000000.000,
BusinessAcquisitionsProFormaRevenue,,,,,970000000.000,
BusinessCombinationConsiderationTransferred1,,,,,1140000000.000,
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,,,,,894000000.000,
BusinessCombinationConsiderationTransferredOther1,,,,,246000000.000,
BusinessCombinationIntegrationRelatedCosts,,,,,39000000.000,0.000
CapitalizedComputerSoftwareAmortization,,1500000.000,1700000.000,2000000.000,2000000.000,
CashAcquiredFromAcquisition,,,,,2341000000.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,134415000.000,,,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments,,15125000.000,,,,
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,,,262922000.000,-213888000.000,32000000.000,-113000000.000
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge,,-13418000.000,,,,
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1,,,-250896000.000,173823000.000,-39000000.000,126000000.000
ComprehensiveIncomeLossNetOfFederalHomeLoanBankAssessmentsAttributableToParent,,,47218000.000,157210000.000,-76000000.000,715000000.000
ComprehensiveIncomeNetOfTax,121844000.000,126510000.000,,,,
CongressionallyMandatedFederalHomeLoanBankAssessments,11129000.000,0.000,0.000,,,
DefinedBenefitPlanActuarialGainLoss,,847000.000,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,-406000.000,,,,
DepreciationAmortizationAndAccretionNet,6030000.000,345823000.000,7454000.000,16422000.000,57000000.000,48000000.000
DepreciationDepletionAndAmortization,,2500000.000,2400000.000,2900000.000,3000000.000,5000000.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,-26554000.000,73274000.000,-83346000.000,-31000000.000,-6000000.000
DividendsCommonStockCash,-64852000.000,58459000.000,53506000.000,78864000.000,102000000.000,142000000.000
ExtinguishmentOfDebtAmount,,,162080000.000,115010000.000,,
FairValueOptionChangesInFairValueGainLoss,-6480000.000,,,,,
FairValueOptionChangesInFairValueGainLoss1,,4187000.000,1028000.000,2000.000,0.000,
FederalHomeLoanBankAssessments,19799000.000,12408000.000,12237000.000,,,
FederalHomeLoanBankLeverageRatioActual,,,,,0.063,
FeesAndCommissionsCorrespondentClearing,1148000.000,,,,,
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,-1871000.000,702000.000,,
GainLossOnDerivativeInstrumentsNetPretax,-110831000.000,-24847000.000,85300000.000,-123411000.000,-38000000.000,7000000.000
GainLossOnFairValueHedgeIneffectivenessNet,,1707000.000,12026000.000,-40065000.000,-7000000.000,13000000.000
GainLossOnFairValueHedgesRecognizedInEarnings,,-84531000.000,,,,
GainLossOnSalesOfLoansNet,0.000,,,,,
GainLossRelatedToLitigationSettlement,,,,,14000000.000,376000000.000
GainsLossesOnExtinguishmentOfDebt,-4602000.000,-76781000.000,-25742000.000,-12651000.000,0.000,0.000
HeldtomaturitySecuritiesSoldAtPar,,25000000.000,,,,
HeldtomaturitySecuritiesSoldSecurityRealizedGainLossExcludingOtherThanTemporaryImpairments,7246000.000,1007000.000,0.000,8887000.000,0.000,0.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,45495000.000,,
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,0.000,0.000,0.000,0.000
ImpairedFinancingReceivableWithNoRelatedAllowanceAverageRecordedInvestment,,800000.000,1200000.000,25965000.000,,
ImpairedFinancingReceivableWithRelatedAllowanceAverageRecordedInvestment,,63500000.000,48900000.000,19530000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,97613000.000,123841000.000,122049000.000,134507000.000,148000000.000,724000000.000
IncreaseDecreaseInAccruedInterestReceivableNet,-6283000.000,-6667000.000,5587000.000,17737000.000,26000000.000,83000000.000
IncreaseDecreaseInDeposits,-439059000.000,338249000.000,-310255000.000,-265531000.000,226000000.000,5000000.000
IncreaseDecreaseInFairValueAdjustmentsOnAssetsAndLiabilitiesCarriedAtFairValueUnderFairValueOption,-6480000.000,4187000.000,1028000.000,2000.000,0.000,
IncreaseDecreaseInFederalFundsSold,-90000000.000,1155000000.000,-240000000.000,-660000000.000,-410000000.000,-2825000000.000
IncreaseDecreaseInInterestPayableNet,-34095000.000,-48547000.000,-26114000.000,8056000.000,-10000000.000,61000000.000
IncreaseDecreaseInOtherOperatingAssets,5158000.000,-8351000.000,-651000.000,-2077000.000,-8000000.000,3000000.000
IncreaseDecreaseInOtherOperatingLiabilities,-17928000.000,1024000.000,-930000.000,4516000.000,-11000000.000,84000000.000
InterestAndDividendIncomeOperating,902515000.000,775948000.000,634372000.000,670997000.000,840000000.000,1524000000.000
InterestAndDividendIncomeSecuritiesAvailableForSale,96155000.000,75704000.000,76657000.000,104492000.000,163000000.000,246000000.000
InterestAndDividendIncomeSecuritiesHeldToMaturity,181285000.000,113729000.000,64677000.000,42705000.000,59000000.000,76000000.000
InterestAndDividendIncomeSecuritiesTradingOrMeasuredAtFairValue,24870000.000,24170000.000,33261000.000,33161000.000,36000000.000,50000000.000
InterestAndFeeIncomeLoansAndLeases,325019000.000,,,,,
InterestAndFeeIncomeLoansConsumerRealEstate,,284104000.000,253472000.000,244533000.000,245000000.000,233000000.000
InterestExpense,666913000.000,535317000.000,421250000.000,420301000.000,523000000.000,1075000000.000
InterestExpenseCapitalSecurities,211000.000,238000.000,317000.000,245000.000,3000000.000,21000000.000
InterestExpenseDeposits,492000.000,368000.000,,,,
InterestExpenseDomesticDeposits,,,115000.000,68000.000,,1000000.000
InterestExpenseLoansFromOtherFederalHomeLoanBanks,1000.000,1000.000,1000.000,1000.000,,
InterestExpenseOtherLongTermDebt,660138000.000,523305000.000,407186000.000,376961000.000,414000000.000,639000000.000
InterestExpenseOtherShortTermBorrowings,6071000.000,11405000.000,13631000.000,43026000.000,106000000.000,414000000.000
InterestIncomeDepositsWithFinancialInstitutions,414000.000,692000.000,386000.000,263000.000,1000000.000,3000000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,226447000.000,240631000.000,219044000.000,253094000.000,315000000.000,446000000.000
InterestIncomeExpenseNet,235602000.000,240631000.000,213122000.000,250696000.000,317000000.000,449000000.000
InterestIncomeFederalFundsSold,2460000.000,2340000.000,1268000.000,2416000.000,5000000.000,21000000.000
InterestIncomeFederalHomeLoanBankAdvances,260355000.000,242541000.000,194977000.000,233094000.000,313000000.000,868000000.000
InterestIncomeLoansToOtherFederalHomeLoanBanks,1000.000,0.000,0.000,,,
InterestIncomeSecuritiesPurchasedUnderAgreementsToResell,1263000.000,4577000.000,3851000.000,3953000.000,7000000.000,19000000.000
InterestPaidNet,1431911000.000,1136948000.000,854429000.000,842344000.000,1159000000.000,1675000000.000
LaborAndRelatedExpense,31392000.000,32017000.000,33111000.000,32189000.000,45000000.000,53000000.000
LeaseAndRentalExpense,,1300000.000,,,,
LitigationSettlementAmount,,,,,,21000000.000
NetCashProvidedByUsedInContinuingOperations,,11957000.000,196165000.000,46919000.000,487000000.000,-759000000.000
NetCashProvidedByUsedInFinancingActivities,-6791810000.000,-1625161000.000,25742393000.000,22188572000.000,13830000000.000,42651000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-6791810000.000,-1625161000.000,25742393000.000,22188572000.000,13830000000.000,42651000000.000
NetCashProvidedByUsedInInvestingActivities,6675007000.000,1431246000.000,-25660419000.000,-22289080000.000,-13532000000.000,-44070000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,6675007000.000,1431246000.000,-25660419000.000,-22289080000.000,-13532000000.000,-44070000000.000
NetCashProvidedByUsedInOperatingActivities,251218000.000,205872000.000,114191000.000,147427000.000,189000000.000,660000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,251218000.000,205872000.000,114191000.000,147427000.000,189000000.000,660000000.000
NetIncomeLossAttributableToParentNetOfFederalHomeLoanBankAssessments,,,109812000.000,121032000.000,131000000.000,649000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,77814000.000,111433000.000,,,,
NetRealizedOrUnrealizedGainLossOnTradingSecurities,38699000.000,23077000.000,-106643000.000,68008000.000,-12000000.000,3000000.000
NetSharesReclassifiedToMandatorilyRedeemableCapitalStockValue,,9448000.000,20638000.000,30679000.000,-72000000.000,742000000.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,,,,,3000000.000,0.000
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,,,,22000000.000,0.000
NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,,,,,37000000.000,0.000
NoninterestExpense,56926000.000,59498000.000,62481000.000,67313000.000,137000000.000,118000000.000
NoninterestIncome,-71908000.000,-57292000.000,-34514000.000,-51274000.000,-30000000.000,396000000.000
NoninterestIncomeOtherOperatingIncome,2912000.000,3421000.000,9898000.000,7065000.000,6000000.000,10000000.000
OfficeOfFinanceAssessmentsCostAssessedOnFederalHomeLoanBank,2876000.000,2833000.000,3104000.000,3777000.000,5000000.000,7000000.000
OperatingLeasesRentExpenseNet,,,1300000.000,,4000000.000,2000000.000
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentBeforeTaxPortionAttributableToParent,45018000.000,15541000.000,-64382000.000,38232000.000,-208000000.000,68000000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentBeforeTaxPortionAttributableToParent,-988000.000,464000.000,-1788000.000,2054000.000,-1000000.000,2000000.000
