,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AccountsPayableCurrentAndNoncurrent,2615000.000,2826000.000,3088000.000,2091000.000,4001000.000,5582000.000,5637000.000,4586000.000,5672000.000,10085000.000,6963000.000,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrentAndNoncurrent,72332000.000,82451000.000,93379000.000,91718000.000,79437000.000,89941000.000,101075000.000,94719000.000,86436000.000,96284000.000,109282000.000,,,,,,,,,,,,,,,
AccumulatedDistributionsInExcessOfNetIncome,589191000.000,605316000.000,614762000.000,621833000.000,625266000.000,624304000.000,596027000.000,603315000.000,612128000.000,582884000.000,567662000.000,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-41639000.000,-42268000.000,-41584000.000,-35848000.000,-31800000.000,-30891000.000,-30467000.000,-26054000.000,-21869000.000,-6336000.000,-4599000.000,108000.000,2691000.000,,,,,,,,,,,,,
AcquisitionCostsCumulative,,,,,,,,,,,,,,,,,,,,,,,,339200000.000,,
AdditionalPaidInCapital,1230470000.000,1264853000.000,1310469000.000,1375623000.000,1491183000.000,1494172000.000,1520250000.000,1542999000.000,1565755000.000,1569090000.000,1562211000.000,,,,,,,,,,,,,,,
AdvancesToAffiliate,,,,,,,,0.000,,,,,,,,,,,,,,,,,,
Assets,2201747000.000,2313521000.000,2412027000.000,2530468000.000,2527410000.000,2599088000.000,2775835000.000,2751068000.000,2775008000.000,2834217000.000,3028257000.000,6841925000.000,6785663000.000,,,,,,,,,,,,,
AssetsHeldForSaleAtCarryingValue,,5855000.000,,,,,,,,,,,,,,,,,,,,,,,,
AssetsHeldForSaleLongLived,,,,,,8496000.000,10160000.000,,,5881000.000,,,,,,,,,,,,,,,,
BuildingsAndImprovementsGross,2601033000.000,2733279000.000,2794902000.000,2879289000.000,2865981000.000,2966313000.000,3133211000.000,3170413000.000,3223326000.000,3237281000.000,3247874000.000,,,,,,,,,,,,,,,
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,,,264600000.000,362700000.000,,,314900000.000,312000000.000,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsPurchasePriceAllocationSubsequentYearsRemainingAdjustments,,,,,,,,,,,,,,,,,,,,,,,,,1600000.000,1600000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,,,,,,,,500000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,,,,,,,,317300000.000,,,,,,,,,,,,,,,,,,
CapitalLeasedAssetsGross,,,,3829000.000,,,,3144000.000,,,,51728000.000,,,,4968000.000,,,,4438000.000,,,,51588000.000,,
CashAndCashEquivalentsAtCarryingValue,47222000.000,12838000.000,24254000.000,57317000.000,41826000.000,22341000.000,13422000.000,9075000.000,8224000.000,8792000.000,181105000.000,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,,,,,,,,,,,,,,,
CommonStockSharesIssued,36545130.000,37142477.000,37823972.000,38959338.000,40940360.000,41101427.000,41925288.000,42316398.000,42683322.000,42736134.000,42744978.000,,,,,,,,,,,,,,,
CommonStockSharesOutstanding,36545130.000,37142477.000,37823972.000,38959338.000,40940360.000,41101427.000,41925288.000,42316398.000,42683322.000,42736134.000,42744978.000,74830726.000,75009303.000,75194807.000,75242266.000,75267675.000,75345023.000,75375027.000,75379381.000,75408571.000,75505025.000,75524086.000,75542583.000,113518212.000,113574798.000,113607734.000
CommonStockValueOutstanding,365000.000,371000.000,378000.000,389000.000,409000.000,410000.000,419000.000,422000.000,426000.000,427000.000,427000.000,,,,,,,,,,,,,,,
ConstructionInProgressGross,20488000.000,31437000.000,35332000.000,53790000.000,74294000.000,75552000.000,61801000.000,52455000.000,51625000.000,47662000.000,31595000.000,166048000.000,,,,,,,,,,,,,,
ConversionOfStockAmountConverted,2071000.000,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentInterestRateEffectivePercentage,,0.038,0.039,0.037,0.038,0.038,0.037,0.038,0.036,0.035,0.032,0.039,0.038,0.038,0.037,0.037,0.037,0.036,0.036,0.037,0.037,0.037,0.036,0.035,0.034,0.036
DebtWeightedAverageInterestRate,,,,0.037,,,,0.038,,,,,,,,,,,,,,,,,,
DeferredFinanceCostsNet,13350000.000,13908000.000,14134000.000,14680000.000,15306000.000,14859000.000,15252000.000,13842000.000,12989000.000,12492000.000,13629000.000,,,,,,,,,,,,,,,
DerivativeAssetFairValueNet,,,,,,,,,,10688000.000,10738000.000,444000.000,,,,,,,,,,,,,,
DerivativeCapInterestRate,,,,,,,6.000,,,,,,,,,,,,,,,,,,,
DerivativeCollateralObligationToReturnCash,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
DerivativeCollateralRightToReclaimCash,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
DerivativeFairValueGrossAmountNotOffsetAgainstCollateralNet,,,,,,,,,,-422000.000,-866000.000,,,,,,,,,,,,,,,
DerivativeFairValueOfDerivativeAsset,,,,,,,,,,10688000.000,10738000.000,444000.000,524000.000,156000.000,131000.000,78000.000,34000.000,2241000.000,6000.000,,,,,,,
DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,,,,,,,,,,,,,524000.000,0.000,0.000,0.000,0.000,-350000.000,0.000,,,,,,,
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
DerivativeFairValueOfDerivativeLiability,,,,,,,,,,11907000.000,9858000.000,20015000.000,17937000.000,17997000.000,13132000.000,13392000.000,15007000.000,13071000.000,17953000.000,,,,,,,
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,,,,,17937000.000,0.000,0.000,0.000,0.000,-350000.000,0.000,,,,,,,
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,
DerivativeFairValueOfDerivativeNet,,,,,,,,,,,,,-97000.000,,,,,,,,,,,,,
DerivativeLiabilityFairValueNet1,,,,,,,,,,11907000.000,9858000.000,20015000.000,,,,,,,,,,,,,,
EmbeddedDerivativeFairValueOfEmbeddedDerivativeAsset,,,,,,,,,,,,,,,,,,,,,,,,10800000.000,14700000.000,14100000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,,,,,,,,,,,,8454000.000,,,,11000000.000,,,,,,
EmployeeStockOwnershipPlanESOPDeferredSharesFairValue,,,,13900000.000,,,,12900000.000,,,,11400000.000,,,,12600000.000,,,,14100000.000,,,,14600000.000,,
EmployeeStockOwnershipPlanESOPSharesInESOP,,,,222010.000,,,,198732.000,,,,186872.000,,,,168816.000,,,,155309.000,,,,149050.910,,
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,,,,2600000.000,,,,0.000,,,,300000.000,,,,500000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,,,,23800000.000,,,,1700000.000,,,,1400000.000,,,,28700000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,,,,3300000.000,,,,100000.000,,,,300000.000,,,,800000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,,,,3300000.000,,,,200000.000,,,,400000.000,,,,1600000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,,,,3300000.000,,,,300000.000,,,,500000.000,,,,2000000.000,,
FurnitureAndFixturesGross,85142000.000,86519000.000,90708000.000,92170000.000,93919000.000,94975000.000,96372000.000,98044000.000,101214000.000,100513000.000,102013000.000,,,,,,,,,,,,,,,
GeneralPartnersCapitalAccountUnitsOutstanding,,,,,,,,,,,,74830726.000,75009303.000,75194807.000,75242266.000,75267675.000,75345023.000,75375027.000,75379381.000,75408571.000,75505025.000,75524086.000,75542583.000,113518212.000,113574798.000,113607734.000
Goodwill,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,4106000.000,,,,,,,,,,,,,,,
InterestRateCashFlowHedgeAssetAtFairValue,,2445000.000,1048000.000,975000.000,1348000.000,402000.000,275000.000,245000.000,244000.000,10626000.000,10681000.000,396000.000,441000.000,,,72000.000,,,,,,,,,,
InterestRateCashFlowHedgeLiabilityAtFairValue,41443000.000,41086000.000,39156000.000,33095000.000,29360000.000,27648000.000,25816000.000,21423000.000,17313000.000,11907000.000,9858000.000,20015000.000,17937000.000,,,,,,,,,,,,,
InterestRateDerivativeAssetsAtFairValue,,,,,1367000.000,412000.000,327000.000,,274000.000,10688000.000,10738000.000,,524000.000,156000.000,131000.000,,,,,,,,,,,
InterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsAssetAtFairValue,,,,43000.000,19000.000,10000.000,52000.000,43000.000,30000.000,62000.000,57000.000,49000.000,83000.000,,,6000.000,,,,,,,,,,
InterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstrumentsLiabilityAtFairValue,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,0.000,,,,,,,,,,
InterestRateDerivativeLiabilitiesAtFairValue,,,,,29360000.000,27648000.000,25816000.000,,17313000.000,11907000.000,9858000.000,,17937000.000,17997000.000,13132000.000,,,,,,,,,,,
InventoryRealEstateOther,8395000.000,8231000.000,8277000.000,8125000.000,8014000.000,7865000.000,7835000.000,8065000.000,7875000.000,7880000.000,7664000.000,,,,,,,,,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,18253000.000,17613000.000,17190000.000,17006000.000,16567000.000,6202000.000,5160000.000,4837000.000,749000.000,3178000.000,3237000.000,,,,,,,,,,,,,,,
Land,291695000.000,312384000.000,320055000.000,333846000.000,337220000.000,358429000.000,388007000.000,386670000.000,389839000.000,396734000.000,394848000.000,,,,,,,,,,,,,,,
LandAvailableForDevelopment,1306000.000,1306000.000,1306000.000,1306000.000,1306000.000,1306000.000,1205000.000,1205000.000,1205000.000,5450000.000,5450000.000,,,,,,,,,,,,,,,
Liabilities,1574725000.000,1669079000.000,1729940000.000,1782969000.000,1659246000.000,1728428000.000,1845830000.000,1801245000.000,1807504000.000,1816899000.000,1993197000.000,,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,2201747000.000,2313521000.000,2412027000.000,2530468000.000,2527410000.000,2599088000.000,2775835000.000,2751068000.000,2775008000.000,2834217000.000,3028257000.000,,,,,,,,,,,,,,,
LiabilitiesOfAssetsHeldForSale,,178000.000,,,,9250000.000,299000.000,,,148000.000,,,,,,,,,,,,,,,,
LimitedPartnersCapitalAccount,,,,,,,,,,,,256771304.000,287316070.000,,,,,,,,,,,,,
LimitedPartnersCapitalAccountUnitsOutstanding,,,,,,,,,,,,4227384.000,4208526.000,4207126.000,4202123.000,4191152.000,4189966.000,4186369.000,4185065.000,4162996.000,4162163.000,4159003.000,4143203.000,4220403.000,4217444.000,4215678.000
LineOfCredit,,,,,,250000000.000,,,,,,,,,,,,,,,,,,,,
LineOfCreditFacilityAmountOutstanding,,,,,,,,,,,,0.000,,35000000.000,0.000,,,,,,,,,,,
LineOfCreditFacilityMaximumBorrowingCapacity,,50000000.000,50000000.000,,,,,,,,,500000000.000,,,,,,,,,,,,,,
