,2011-01-29,2012-01-28,2013-02-02,2014-02-01,2015-01-31,2016-01-30,2017-01-28
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,-3224000.000
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,,,,3865000.000,6940000.000,4538000.000,1362000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,11892000.000,13798000.000,16515000.000,17120000.000,16513000.000,14839000.000,17436000.000
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,882000.000,1883000.000,2949000.000,1664000.000,3736000.000,1456000.000,
AdvertisingExpense,,84400000.000,94400000.000,101100000.000,168266000.000,204985000.000,189956000.000
AllocatedShareBasedCompensationExpense,,13800000.000,16500000.000,17100000.000,16500000.000,14800000.000,17400000.000
AmortizationOfDebtDiscountPremium,,,,,982000.000,1098000.000,
AmortizationOfFinancingCosts,,,,,4903000.000,6817000.000,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,7503000.000
AmortizationOfIntangibleAssets,,,3300000.000,3800000.000,9900000.000,14400000.000,4800000.000
AssetImpairmentCharges,5854000.000,2042000.000,482000.000,2216000.000,302000.000,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,524000.000,,,,,,
BusinessCombinationIntegrationRelatedCosts,,3800000.000,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,4000000.000,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,209900000.000,,,,
CapitalExpendituresIncurredButNotYetPaid,,12700000.000,14000000.000,10000000.000,15000000.000,12800000.000,12200000.000
CapitalLeasesIncomeStatementAmortizationExpense,,1100000.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-49647000.000,-11065000.000,,,,-32281000.000,40909000.000
CashFlowHedgeGainLossToBeReclassifiedWithinTwelveMonths,,,,,-2500000.000,,
CommonStockDividendsPerShareDeclared,,0.540,0.720,0.720,0.720,0.720,0.720
ComprehensiveIncomeNetOfTax,73526000.000,119156000.000,131719000.000,74178000.000,-33369000.000,-1049534000.000,13359000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,-104000.000,-241000.000,321000.000,1034000.000,292000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,73422000.000,118915000.000,132040000.000,75212000.000,-33077000.000,-1049534000.000,13359000.000
CostOfGoodsAndServicesSold,1204231000.000,1333757000.000,1380130000.000,1384223000.000,1893934000.000,2011848000.000,1937235000.000
CurrentFederalTaxExpenseBenefit,,24087000.000,41107000.000,27438000.000,7328000.000,5615000.000,18545000.000
CurrentForeignTaxExpenseBenefit,,5649000.000,13892000.000,9447000.000,12225000.000,8307000.000,11156000.000
CurrentStateAndLocalTaxExpenseBenefit,,4780000.000,5430000.000,3434000.000,-975000.000,1877000.000,912000.000
DeferredForeignIncomeTaxExpenseBenefit,,8564000.000,-559000.000,1311000.000,-657000.000,599000.000,-853000.000
DeferredIncomeTaxExpenseBenefit,8735000.000,29428000.000,5180000.000,2272000.000,-13107000.000,-184841000.000,-23988000.000
DefinedBenefitPlanContributionsByEmployer,,,1000000.000,,,,
DefinedContributionPlanCostRecognized,,,,1000000.000,1200000.000,1200000.000,1400000.000
Depreciation,,72600000.000,81700000.000,84900000.000,102800000.000,117900000.000,110400000.000
DepreciationAndAmortization,75998000.000,75968000.000,84979000.000,88749000.000,112659000.000,132329000.000,115205000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,-1000000.000,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,-700000.000,-500000.000,-300000.000,1400000.000,,
DerivativeNetHedgeIneffectivenessGainLoss,,,,0.000,0.000,,
