,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,879000.000,509000.000,669000.000,797000.000,
AccountsPayableAndOtherAccruedLiabilitiesCurrent,797000.000,346000.000,366000.000,248000.000,
AccountsPayableCurrent,403000.000,192000.000,870000.000,422000.000,211000.000
AccruedLiabilitiesCurrent,82000.000,163000.000,303000.000,549000.000,1193000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,185000.000,228000.000,276000.000,319000.000,387000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1112000.000,-1273000.000,-474000.000,-654000.000,-581000.000
Assets,9647000.000,7424000.000,16860000.000,14447000.000,15174000.000
AssetsCurrent,7897000.000,5746000.000,15282000.000,12696000.000,13452000.000
AvailableForSaleSecuritiesEquitySecuritiesCurrent,1779000.000,1617000.000,2417000.000,2237000.000,1649000.000
CapitalLeaseObligations,,,,626000.000,
CapitalLeaseObligationsCurrent,,173000.000,173000.000,202000.000,202000.000
CapitalLeaseObligationsNoncurrent,,244000.000,211000.000,310000.000,263000.000
Cash,,,,10200000.000,
CashAndCashEquivalentsAtCarryingValue,5856000.000,4000000.000,12674000.000,10174000.000,11352000.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,3.250,3.250,3.250
CommonStockNoParValue,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,25412000.000,25431000.000,28677000.000,28737000.000,29367000.000
CommonStockSharesOutstanding,25412000.000,25431000.000,28677000.000,28737000.000,29367000.000
CommonStockValue,35069000.000,35345000.000,45354000.000,45818000.000,49360000.000
DeferredFinanceCostsNet,,,,,61000.000
DeferredIncomeTaxLiabilities,,,,761000.000,
DeferredTaxAssetsLiabilitiesNet,,,,0.000,
DeferredTaxAssetsNet,,,,761000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,11730000.000,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,1765000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,1041000.000,
DeferredTaxAssetsValuationAllowance,,,,13954000.000,
DeferredTaxLiabilitiesInvestments,,,,761000.000,
DepositsAssetsNoncurrent,,54000.000,54000.000,75000.000,159000.000
DueToAffiliateCurrent,,151000.000,151000.000,151000.000,
DueToRelatedPartiesCurrent,1318000.000,1688000.000,2105000.000,2703000.000,2610000.000
EmployeeRelatedLiabilitiesCurrent,,,,,345000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,1250000.000,1310000.000,1370000.000,1431000.000,1492000.000
FiniteLivedIntangibleAssetsGross,2419000.000,2419000.000,2419000.000,2419000.000,2419000.000
FiniteLivedIntangibleAssetsNet,1169000.000,1109000.000,1049000.000,988000.000,927000.000
Liabilities,2752000.000,2957000.000,4179000.000,4585000.000,6401000.000
LiabilitiesAndStockholdersEquity,9647000.000,7424000.000,16860000.000,14447000.000,15174000.000
LiabilitiesCurrent,2752000.000,2713000.000,3968000.000,4275000.000,4549000.000
LoansPayableCurrent,,,,,333000.000
LongTermLoansPayable,,,,,1589000.000
MoneyMarketFundsAtCarryingValue,,,,9400000.000,
OtherAccruedLiabilitiesCurrent,,,,,186000.000
OtherAssetsCurrent,58000.000,85000.000,164000.000,103000.000,222000.000
PreferredStockNoParValue,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,262000.000,129000.000,191000.000,285000.000,451000.000
PrepaidInsurance,43000.000,27000.000,11000.000,182000.000,229000.000
PropertyPlantAndEquipmentGross,766000.000,743000.000,751000.000,1007000.000,1023000.000
PropertyPlantAndEquipmentNet,581000.000,515000.000,475000.000,688000.000,636000.000
RetainedEarningsAccumulatedDeficit,-27062000.000,-29605000.000,-32199000.000,-35302000.000,-40006000.000
StockholdersEquity,6895000.000,4467000.000,12681000.000,9862000.000,8773000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6895000.000,4467000.000,12681000.000,9862000.000,8773000.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,0.000,
