,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
AccountsAndNotesReceivableNet,,,,,,,,,,,,,,,,124766.000,60311.000,5275.000
AccountsPayableCurrent,66948.000,76942.000,82154.000,88602.000,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,105030.000,62210.000,85694.000,332533.000,272876.000,193159.000
AccruedLiabilitiesCurrent,10501.000,10501.000,,,90067.000,99532.000,94421.000,99758.000,95999.000,105552.000,98967.000,107310.000,86698.000,134843.000,587062.000,986692.000,1390071.000,1965832.000
AccruedProfessionalFeesCurrentAndNoncurrent,,,,,50729.000,37479.000,36014.000,36479.000,36479.000,43964.000,38631.000,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,-874.000,-50.000,-958.000,-4600.000,-7564.000,10528.000
AdditionalPaidInCapital,2012972.000,2004825.000,2054536.000,2054536.000,2240119.000,2240119.000,2261059.000,2261059.000,2286722.000,2301124.000,,4210696.000,4999910.000,7003445.000,7887845.000,9585248.000,13272388.000,13465556.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,,,,,,,25000.000,45000.000
Assets,26943.000,18974.000,21255.000,29032.000,18850.000,25481.000,20167.000,13835.000,15303.000,11627.000,,1323384.000,1222307.000,2644844.000,8397648.000,8358816.000,8354326.000,7711185.000
AssetsCurrent,8073.000,1062.000,2930.000,12363.000,7059.000,15346.000,11688.000,6917.000,9768.000,7475.000,,1323384.000,446978.000,549355.000,1086706.000,1056609.000,1034387.000,415092.000
AssetsHeldForSaleCapitalLeasedAssetsNet,,,,,-32392.000,-34048.000,-35704.000,-37265.000,-38648.000,-40031.000,-42797.000,-44183.000,,,,,,
CapitalizedComputerSoftwareGross,,,,,,,,14365.000,14365.000,14365.000,14365.000,14365.000,,,,,,
