,2011-06-30,2011-09-30,2012-03-31,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,1415891.000,,284350.000,,18398.000,,,,221785.000,,,,354172.000,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,1875463.000,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,374350.000,,97148.000,,,,221785.000,,,,354172.000,,
AmortizationOfDebtDiscountPremium,,,,,,,,,379795.000,,,,742982.000,,
AmortizationOfFinancingCosts,,,,,143891.000,-138137.000,132497.000,547510.000,436409.000,422678.000,1196807.000,822940.000,742982.000,646140.000,581260.000
AmortizationOfFinancingCostsAndDiscounts,,244858.000,311032.000,,,,,,56613.000,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,19750.000,19800.000,19800.000,4900.000,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-874935.000,,792258.000,,,,445497.000,,,,223530.000,,
CommonStockDividendsShares,,,,,267000.000,,,,,,,,,,
ConcentrationRiskPercentage1,,,,,,,,,,,,,,,0.100
ConversionOfStockSharesConverted1,,,,250000.000,,,,,,,,,,,
ConvertiblePreferredDividendsNetOfTax,,,,,,175050.000,,,159797.000,,152237.000,,,,
CostOfGoodsSold,1204872.000,,,,,,,,,,,,,,
CostOfRevenue,,622254.000,2285450.000,787078.000,1522421.000,1433415.000,1189172.000,,,,,,,,
Depreciation,,,,16972.000,24400.000,48191.000,75038.000,171578.000,254800.000,258100.000,268300.000,318800.000,316256.000,323048.000,324953.000
DepreciationAndAmortization,29620.000,326.000,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,34244.000,,24376.000,,,,254815.000,,,,316256.000,,
DividendsCommonStockCash,,,,,,,,,159800.000,,,,172935.000,,
DividendsPreferredStock,,,,,,,,,159797.000,,,,172935.000,,
EarningsPerShareBasic,,,,,,0.110,,,0.100,-0.550,0.040,,-0.040,,-0.060
EarningsPerShareBasicAndDiluted,-0.130,-0.080,-0.070,-0.050,-0.250,,-0.040,,,,,,,-0.050,
EarningsPerShareDiluted,,,,,,0.060,,,0.040,-0.550,0.020,,-0.040,,-0.060
FairValueAdjustmentOfWarrants,,,,,,,,,,883476.000,-54.000,,,0.000,0.000
FairValueAssumptionsExpectedDividendRate,,,,,0.000,,,,0.000,,,,0.000,,
FairValueAssumptionsExpectedVolatilityRate,,,,,0.500,,,,0.450,,,,0.350,,
FairValueAssumptionsRiskFreeInterestRate,,,,,0.003,,,,0.002,,,,,,
FairValueOptionChangesInFairValueGainLoss1,,,,47300.000,,,,,,,,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,-13800.000,-445684.000,-5609724.000,-5133660.000,730000.000,-5307481.000,6972477.000,4075518.000,7337983.000,1930000.000,1514000.000,415599.000,0.000
GeneralAndAdministrativeExpense,2378340.000,1273524.000,835391.000,581561.000,718111.000,766118.000,732427.000,2015544.000,980434.000,20125270.000,1069672.000,1125460.000,1309040.000,1514451.000,1235392.000
GrossProfit,92862.000,76504.000,11123.000,12929.000,237214.000,66535.000,83517.000,-1046661.000,-1222148.000,-2148866.000,-1149144.000,-1022616.000,-1301266.000,-845940.000,-1440605.000
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,,,,545750.000,,545750.000,,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-2945887.000,-1702090.000,-1561325.000,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,837720.000,,-178735.000,,,,-14853.000,,,,1864456.000,,
IncreaseDecreaseInAccountsReceivable,,,162118.000,,-359862.000,,,,499449.000,,,,344246.000,,
IncreaseDecreaseInAccruedLiabilities,,,39909.000,,-127368.000,,,,242478.000,,,,253212.000,,
IncreaseDecreaseInDerivativeLiabilities,,,-242558.000,,134300.000,,,,-6851504.000,,,,-1514000.000,,
IncreaseDecreaseInInventories,,,-360119.000,,590812.000,,,,-467758.000,,,,2509767.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,142941.000,,127961.000,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,-59250.000,,,,-27029.000,,
InterestExpense,,,37974.000,-108395.000,172404.000,-180249.000,190318.000,625644.000,383657.000,457974.000,478496.000,519408.000,715605.000,766371.000,779122.000
InterestIncomeExpenseNonoperatingNet,-67024.000,-26714.000,,,,,,,,,,,,,
InterestOnConvertibleDebtNetOfTax,,,,,,179537.000,,,265882.000,,361414.000,,,,
InterestPaid,,,37974.000,,610.000,,,,75312.000,,,,187039.000,,
LeaseAndRentalExpense,,,,11300.000,11400.000,11039.000,11100.000,11461.000,11400.000,11500.000,11500.000,4000.000,,,
NetCashProvidedByUsedInFinancingActivities,,,-172500.000,,1750001.000,,,,2652982.000,,,,4422925.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-172500.000,,1750001.000,,,,2652982.000,,,,4422925.000,,
NetCashProvidedByUsedInInvestingActivities,,,-526574.000,,-15622.000,,,,-377855.000,,,,-824151.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-526574.000,,-15622.000,,,,-377855.000,,,,-824151.000,,
NetCashProvidedByUsedInOperatingActivities,,,-175861.000,,-942121.000,,,,-1829630.000,,,,-3375244.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-175861.000,,-942121.000,,,,-1829630.000,,,,-3375244.000,,
NetIncomeLoss,-2945887.000,-1702090.000,-1561325.000,-914331.000,-6870068.000,3508333.000,-951297.000,-19876570.000,3569636.000,-20432193.000,2719902.000,-2147541.000,-2921061.000,-3485703.000,-4192422.000
NetIncomeLossAvailableToCommonStockholdersBasic,-3149584.000,-1909187.000,-1906851.000,-1353253.000,-7280898.000,3106826.000,-1357233.000,-20291444.000,3188453.000,-20616388.000,2567665.000,-2290565.000,-3093996.000,-3654860.000,-4274694.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,,,3687870.000,,,3835518.000,,3081316.000,,,,
NonoperatingIncomeExpense,-532933.000,-271572.000,-362806.000,-337289.000,-5926019.000,-4815274.000,407185.000,-6480635.000,6152411.000,2311390.000,5116984.000,1133402.000,55413.000,-996912.000,-1360382.000
OperatingExpenses,2505816.000,1507022.000,1209642.000,1264549.000,1181263.000,1373476.000,1441999.000,2718726.000,1360627.000,20594717.000,1247938.000,2258327.000,1675208.000,1642851.000,1391435.000
OperatingIncomeLoss,-2412954.000,-1430518.000,-1198519.000,-1251620.000,-944049.000,-1306941.000,-1358482.000,-3765387.000,-2582775.000,-22743583.000,-2397082.000,-3280943.000,-2976474.000,-2488791.000,-2832040.000
OtherGeneralAndAdministrativeExpense,,,,,,,,,,,,,690129.000,,
OtherNonoperatingExpense,465909.000,,,,,,,,,,,,,,
PaidInKindInterest,,,,,,,,,385269.000,,,,304189.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,526574.000,,15622.000,,,,377855.000,,,,824151.000,,
PreferredStockAccretionOfRedemptionDiscount,31311.000,,173775.000,,229301.000,,,,221386.000,,,,,,
PreferredStockDividendRatePercentage,,,,,,,,,0.100,,,,,,
PreferredStockDividendsAndOtherAdjustments,203697.000,207097.000,345526.000,438922.000,410830.000,401507.000,405936.000,414874.000,381183.000,184195.000,152237.000,143024.000,172935.000,169157.000,82272.000
ProceedsFromIssuanceOfRedeemableConvertiblePreferredStock,,,,,0.000,,,,,,,,,,
ProceedsFromNotesPayable,,,,,,,,,2694363.000,,,,,,
ProductionCosts,,,,,,,,,5607425.000,5208692.000,3902250.000,2254226.000,2449673.000,2934968.000,3594367.000
ProvisionForDoubtfulAccounts,,,,0.000,,,,,,,,,,,
RepaymentsOfConvertibleDebt,,,172500.000,,,,,,41381.000,,,,,,
RepaymentsOfOtherDebt,,,,,,,,,,,,,-21739.000,,
ResearchAndDevelopmentExpense,93242.000,129771.000,235479.000,320137.000,218223.000,,,,,,,,,,
Revenues,1297734.000,698758.000,2296573.000,800007.000,1759635.000,1499950.000,1272689.000,2095491.000,4850943.000,4054054.000,3122912.000,2350443.000,2292867.000,3478554.000,3534210.000
RoyaltyExpense,,,,,,,,,39600.000,23100.000,,,,,
SalesRevenueNet,1297734.000,698758.000,2296573.000,800007.000,1759635.000,1499950.000,1272689.000,2095491.000,4850943.000,4054054.000,3122912.000,2350443.000,2292867.000,3478554.000,3534210.000
SellingAndMarketingExpense,4614.000,103401.000,138772.000,362851.000,244929.000,256166.000,202106.000,223860.000,300711.000,374875.000,126047.000,484105.000,366168.000,128400.000,156043.000
ShareBasedCompensation,,,,,,,,,,274300.000,48000.000,,22512.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,,,,,45587479.000,,,,1089338.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,,,,,,,0.000,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,,,,0.900,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,,,,0.015,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,,,,,,,128128.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,,,,,,,,,3300000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,,,,,,,,,,,,,0.300,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,0.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,,,,,,,,1.010,,
