,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsToAdditionalPaidInCapitalOther,,,,,,,,,,,,,,,49000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,55000.000,,,,13000.000,,,,148000.000,,
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,,,,,,,,,,,,,,750000.000,,
AdjustmentsToAdditionalPaidInCapitalWarrantIssued,,,,,,,,,,,978000.000,,,,1101000.000,,
AllocatedShareBasedCompensationExpense,,,,,,,,,22000.000,,,,,,,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,78000.000,89000.000,,114000.000,134000.000,153000.000
AmortizationOfIntangibleAssets,,,,,,,,35000.000,36000.000,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,2518673.000,865000.000,3424739.000,-3621501.000,7143458.000,,
BenefitsLossesAndExpenses,,,,,,,24000.000,,,,0.000,,,,,,
BusinessExitCosts,,,,,,,24000.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-6984000.000,,,,-4725000.000,,,,1111000.000,,,,193000.000,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,4000.000,,,,-164000.000,,,,0.000,,,,4000.000,,
ComprehensiveIncomeNetOfTax,,,3987000.000,-6159000.000,11808000.000,-249000.000,-1279000.000,-979000.000,-735000.000,-580000.000,-187000.000,729000.000,-578000.000,-857000.000,-3110000.000,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,-1353000.000,-821000.000,-633000.000,-698000.000,-352000.000,536000.000,-755000.000,-1016000.000,-3239000.000,,
CostOfGoodsAndServicesSold,,,,,,,2000.000,17000.000,13000.000,21000.000,17000.000,160000.000,8000.000,172000.000,32000.000,169000.000,23000.000
CostsAndExpenses,6683000.000,7741000.000,5510000.000,1689000.000,1785000.000,-2345000.000,1516000.000,1452000.000,1341000.000,1108000.000,1030000.000,1619000.000,901000.000,1091000.000,1025000.000,1059000.000,1009000.000
CurrentIncomeTaxExpenseBenefit,,,,0.000,0.000,,0.000,0.000,0.000,,0.000,-81000.000,,,,,
DeferredIncomeTaxExpenseBenefit,,,,-2582000.000,-5689000.000,,-380000.000,377000.000,286000.000,,-142000.000,-17000.000,,,,,
DepreciationDepletionAndAmortization,,,116000.000,,,,39000.000,,,,41000.000,,,,38000.000,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,5705000.000,1842000.000,,-279000.000,-454000.000,-436000.000,-1000.000,-325000.000,0.000,-60000.000,-4000.000,-9000.000,0.000,-22000.000
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,725000.000,159000.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EarningsPerShareBasic,,,,,,,,,,,,,,,,0.000,
EarningsPerShareBasicAndDiluted,-0.310,-0.350,0.290,-0.450,0.870,-0.010,-0.070,-0.070,-0.050,-0.040,-0.010,0.050,-0.040,-0.060,-0.220,,-0.030
EarningsPerShareDiluted,,,,,,,,,,,,,,,,0.000,
EffectOfExchangeRateOnCashAndCashEquivalents,,,-46000.000,,,,0.000,,,,,,,,,,
