,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,682527.000,440677.000,1802876.000,1825058.000,1166871.000,1129472.000,1457054.000,1416143.000,1638906.000,1785777.000,1466546.000,2054303.000,1895410.000,1907213.000,1790639.000,1822369.000,1760324.000,1760020.000,746508.000,763017.000
AccountsReceivableNetCurrent,630532.000,322844.000,2215586.000,2132643.000,1875700.000,1789478.000,1249447.000,1115314.000,495045.000,362843.000,0.000,11370.000,11370.000,,8149.000,8149.000,8149.000,8149.000,5000.000,5531.000
AccruedIncomeTaxesCurrent,316513.000,374086.000,505833.000,572702.000,612226.000,677387.000,921347.000,1003900.000,1188874.000,1679990.000,1671353.000,1240711.000,546098.000,171427.000,,,,,,
AccruedPayrollTaxesCurrent,,,,,,,,,,,,,,,181532.000,168756.000,168756.000,168756.000,168753.000,168753.000
AccruedSalariesCurrent,304824.000,362898.000,321285.000,402435.000,530643.000,695669.000,821628.000,830340.000,1448861.000,1583127.000,1672273.000,1739705.000,862242.000,770101.000,864268.000,1005151.000,1037284.000,1206334.000,1308207.000,1395457.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,-331349.000,-331338.000,-331382.000,-331372.000,-331332.000,-331409.000,-331375.000,-331411.000,-331373.000,-331350.000,-331318.000,-331338.000,-331354.000,-1943.000
AdditionalPaidInCapital,9599733.000,10348992.000,11171559.000,12365285.000,13011152.000,13446635.000,13849991.000,14066453.000,14188411.000,14295325.000,14453693.000,14583380.000,14732465.000,14736385.000,14861372.000,15248722.000,15351463.000,15351463.000,15351463.000,15455139.000
Assets,1280169.000,992005.000,4374316.000,4460310.000,4301725.000,4194534.000,3299027.000,3140348.000,2397732.000,2248080.000,2073342.000,2968162.000,1084566.000,798170.000,508550.000,434523.000,384044.000,131138.000,200543.000,141132.000
AssetsCurrent,1070800.000,772395.000,2631908.000,2728573.000,2371668.000,2284595.000,1417223.000,1279672.000,616783.000,483089.000,2070609.000,2968162.000,1084566.000,798170.000,508550.000,434523.000,384044.000,131138.000,200543.000,141132.000
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,,,,,2048824.000,0.000,0.000,0.000,0.000,,,,0.000,
