,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-31,2013-07-06,2013-10-05
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,1000000.000,,,,1400000.000,,,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,-162700000.000,,,,-58800000.000,,,,,
AllocatedShareBasedCompensationExpense,8200000.000,,,,9300000.000,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,0.110,0.520,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,0.100,0.510,,,,,,,
BusinessAcquisitionProFormaNetIncomeLoss,,,42500000.000,,,,,,,
BusinessAcquisitionProFormaRevenue,,,1043000000.000,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountContingentAssetsAndLiabilitiesRecognizedLiability,8700000.000,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,9100000.000,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,942600000.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,105700000.000,,,,-91700000.000,,,,,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,-13400000.000,,,,,
CommonStockDividendsPerShareDeclared,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050
ComprehensiveIncomeNetOfTax,28900000.000,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,8300000.000,400000.000,29100000.000,-81100000.000,-6800000.000,43700000.000
CostOfGoodsSold,630600000.000,564300000.000,671100000.000,574100000.000,592500000.000,528600000.000,670800000.000,635500000.000,544900000.000,662400000.000
DeferredIncomeTaxExpenseBenefit,9700000.000,,,,-9500000.000,,,,,
DefinedBenefitPlanAmortizationOfGainsLosses,,400000.000,300000.000,,600000.000,-600000.000,,,-300000.000,-300000.000
DefinedBenefitPlanContributionsByEmployer,,,,,500000.000,,,,,
DefinedBenefitPlanExpectedReturnOnPlanAssets,,-700000.000,-600000.000,,-700000.000,700000.000,,,800000.000,800000.000
DefinedBenefitPlanInterestCost,,700000.000,700000.000,,600000.000,600000.000,,,600000.000,600000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,400000.000,400000.000,,500000.000,500000.000,,,100000.000,100000.000
DepreciationAndAmortization,18500000.000,,,,22500000.000,,,,,
DividendsCommonStock,4400000.000,,,,3900000.000,,,,,
EarningsPerShareBasic,0.300,0.060,0.500,-0.240,-0.010,0.110,0.230,-1.050,-0.050,0.390
EarningsPerShareDiluted,0.300,0.060,0.490,-0.240,-0.010,0.100,0.220,-1.030,-0.050,0.380
EffectOfExchangeRateOnCashAndCashEquivalents,-700000.000,,,,-100000.000,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPeriodIncreaseDecrease,,,,,24600000.000,,,,,
GainLossOnInterestRateFairValueHedgeIneffectiveness,,,300000.000,,-1500000.000,200000.000,0.000,0.000,,
GoodwillTranslationAndPurchaseAccountingAdjustments,,,,,3200000.000,,,,,
GrossProfit,330700000.000,323100000.000,371900000.000,319500000.000,343500000.000,326200000.000,364600000.000,336400000.000,300700000.000,359300000.000
ImpairmentOfLongLivedAssetsHeldForUse,1600000.000,,,,400000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,60200000.000,,-1600000.000,13300000.000,25000000.000,-104600000.000,-5100000.000,47100000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,41400000.000,8600000.000,60200000.000,,-1600000.000,13300000.000,25000000.000,,-5100000.000,47100000.000
