,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30,2014-09-30,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,,,,3971.000,,,,,,,,,,,,
CapitalLeaseObligationsIncurred,,,,,,68400.000,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,-238582.000,,,,-11398.000,,
CashPeriodIncreaseDecrease,,,,,,-89127.000,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,-1880537.000,-957726.000,-1792738.000,-832433.000,-820709.000,-818852.000,-713328.000,-624504.000,-713728.000
CostOfGoodsSold,,,,,,,,,,,,,8430.000,11059.000,,,13963.000,
DebtInstrumentIncreaseAccruedInterest,,,20162.000,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,,,,,,,,,,9282.000,,,,13552.000,,
EarningsPerShareBasic,,,,,,,,,,0.040,0.020,0.010,-0.010,0.000,,,,
EarningsPerShareBasicAndDiluted,,-0.000,,-0.010,,,,,,,,,,,,-0.010,-0.002,-0.002
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,-19038.000,,,,2972.000,,
GeneralAndAdministrativeExpense,4350.000,5750.000,111689.000,121412.000,144650.000,113689.000,177349.000,158673.000,996201.000,1519177.000,575604.000,1054275.000,455427.000,464756.000,567128.000,417872.000,433737.000,435994.000
GrossProfit,,,,,,,,,,,,,50113.000,62120.000,,1085.000,76788.000,1689.000
IncomeLossFromContinuingOperations,-4350.000,-5750.000,-223148.000,-160096.000,-216803.000,-155270.000,-211821.000,-226127.000,-1062864.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-5802.000,-7237.000,-224633.000,-165724.000,-225226.000,-166492.000,-225522.000,-244191.000,-1084111.000,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,-1892728.000,-953229.000,-1792650.000,-827209.000,-835816.000,-825635.000,-697712.000,-628309.000,-716941.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-0.000,,-0.010,,,-0.010,-0.010,-0.010,-0.020,,,,,,,,,
IncreaseDecreaseDueFromOfficersAndStockholders,,1500.000,,,,,,,,,,-291427.000,,,,,,
IncreaseDecreaseInAccountsPayable,,3250.000,,,,44271.000,,,,,,7129.000,,,,-15126.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,1487.000,,,,10250.000,,,,,,-22650.000,,,,-31918.000,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,303004.000,,,,434271.000,,
IncreaseDecreaseInDeferredLiabilities,,,,,,,,,,,,,,,,-368.000,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,65406.000,,,,,,
IncreaseDecreaseInDueToRelatedParties,,1000.000,,,,33229.000,,,,,,833.000,,,,-610.000,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,11275.000,,,,615524.000,,
IncreaseDecreaseInPrepaidRent,,,,,,,,,,,,408.000,,,,,,
InterestExpense,-1452.000,-1487.000,-1485.000,-5628.000,-8423.000,-11222.000,-13701.000,-18064.000,-21247.000,22821.000,23112.000,22650.000,26703.000,29449.000,31122.000,35336.000,41402.000,39778.000
InterestExpenseDebt,,,,,,45405.000,,,,,,,,,,,,
InterestExpenseOther,,,,,,,,,,,,,,,,3188800.000,,
InterestPaid,,,,,,973.000,,,,,,44.000,,,,3424.000,,
IssuanceOfStockAndWarrantsForServicesOrClaims,,,,,,,,,,,,854243.000,,,,753480.000,,
MarketingExpense,,,,,,,,9327.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,-9708.000,,,,,,27464.000,,,,92104.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,-9708.000,,,,,,27464.000,,,,92104.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,-4648.000,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,-4648.000,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,,,-74771.000,,,,,,-266046.000,,,,-103502.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,,-74771.000,,,,,,-266046.000,,,,-103502.000,,
NetIncomeLoss,,-7237.000,-224633.000,-165724.000,-225226.000,-166492.000,-225522.000,-244191.000,-1084111.000,-1892728.000,-953229.000,-1792650.000,-827209.000,-835816.000,-825635.000,-697712.000,-628309.000,-716941.000
NonoperatingIncomeExpense,,,,,,,,,,-22821.000,-23112.000,-22650.000,-26703.000,-29449.000,-31122.000,-35336.000,-41402.000,-39778.000
OperatingExpenses,4350.000,5750.000,223148.000,160096.000,216803.000,155270.000,211821.000,226127.000,1062864.000,1869907.000,930117.000,1770000.000,850619.000,868487.000,795110.000,663461.000,663695.000,678852.000
OperatingIncomeLoss,,,,,,,,,,-1869907.000,-930117.000,-1770000.000,-800506.000,-806367.000,-794513.000,-662376.000,-586907.000,-677163.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,,,,,,,,12191.000,-4497.000,-88.000,-5224.000,15107.000,6783.000,-15616.000,3805.000,3213.000
OtherComprehensiveIncomeLossBeforeTax,,,,,,,,-244191.000,,,,,,,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,,,,-225559.000,,,,,,,,,,,
OtherComprehensiveIncomeLossTax,,,,,,,-37.000,-242900.000,,,,,,,,,,
OtherComprehensiveIncomeOtherNetOfTax,,,,,,,,1291.000,,,,,,,,,,
OtherExpenses,-1452.000,-1487.000,-1485.000,-5628.000,-8423.000,-11222.000,-13701.000,-18064.000,-21247.000,,,,,,,,,
ProceedsFromNotesPayable,,,,,,,,,,,,33000.000,,,,94077.000,,
ProfessionalFees,,,111459.000,,,3586.000,9721.000,13370.000,25847.000,53092.000,22943.000,50420.000,46783.000,26757.000,13106.000,2636.000,1669.000,19886.000
ProfitLoss,-5802.000,-7237.000,,,,-166492.000,,,,,,,,,,,,
RepaymentsOfDebtAndCapitalLeaseObligations,,,,,,-9708.000,,,,,,,,,,1973.000,,
RepaymentsOfNotesPayable,,,,,,,,,,,,5536.000,,,,,,
ResearchAndDevelopmentExpense,,,,38684.000,,37995.000,24751.000,44757.000,24589.000,267794.000,308044.000,396120.000,297858.000,257380.000,166792.000,136422.000,115130.000,115518.000
SalesRevenueGoodsNet,,,,,,,,,,,,,58543.000,73179.000,,1085.000,90751.000,1689.000
SellingAndMarketingExpense,,,,,,,,,,29844.000,23526.000,269185.000,50551.000,119594.000,48084.000,106531.000,113159.000,107454.000
StockIssued1,,,,,,,,,,,,325849.000,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,10000000.000,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,298300746.000,306272175.000,306732501.000
WeightedAverageNumberOfSharesIssuedBasic,,11625000.000,,31625000.000,,,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,31625000.000,31625000.000,,45118639.000,50204563.000,110011256.000,154771152.000,217302267.000,,,,
