,2015-04-30,2015-10-31,2016-01-31,2016-03-31,2016-09-30,2016-12-31
AmortizationOfDebtDiscountPremium,,,,,9667.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-47.000,,,3266.000,
ComprehensiveIncomeNetOfTax,,,,-16272.000,,
CostOfGoodsAndServicesSold,,,,,168891.000,
CostOfGoodsSold,164.000,0.000,,,168891.000,549400.000
CostOfGoodsSoldOverhead,116.000,99.000,,,,
CostOfRevenue,280.000,99.000,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,,,40000.000,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,,0.000
GainLossOnDispositionOfAssets1,,,,,,12315.000
GeneralAndAdministrativeExpense,570.000,1119.000,3590.000,,141901.000,
GrossProfit,605.000,54.000,,,67080.000,220421.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-3378.000,-2065.000,-11746.000,,-112957.000,
IncomeTaxExpenseBenefit,0.000,0.000,0.000,,,
IncomeTaxesPaid,,0.000,,,,
IncreaseDecreaseInAccountsPayable,,-5253.000,,,174600.000,
IncreaseDecreaseInAccountsReceivable,,4.000,,,-236013.000,
IncreaseDecreaseInAccruedLiabilities,,0.000,,,30496.000,
IncreaseDecreaseInCustomerDeposits,,108.000,,,,
IncreaseDecreaseInDeposits,,,,,-5158.000,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,15216.000,
IncreaseDecreaseInOtherReceivables,,,,,-1290.000,
IncreaseDecreaseInPrepaidExpense,,,,,2044.000,
InterestExpense,,,,,10407.000,11033.000
InterestPaid,,0.000,,,,
NetCashProvidedByUsedInFinancingActivities,,18659.000,,,49302.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,18659.000,,,49302.000,
NetCashProvidedByUsedInOperatingActivities,,-18706.000,,,-46036.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-18706.000,,,-46036.000,
NetIncomeLoss,-3378.000,-2065.000,-11746.000,-16272.000,-112957.000,4366.000
OperatingExpenses,3983.000,2119.000,11845.000,16272.000,169630.000,220367.000
OperatingIncomeLoss,,,,16272.000,,12369.000
OperatingLeasesRentExpenseNet,,,,,1300.000,
OtherComprehensiveIncomeLossNetOfTax,,,,,-103290.000,
OtherIncome,,,,,,3030.000
ProceedsFromIssuanceOfCommonStock,,0.000,,,,
ProceedsFromOtherShortTermDebt,,,,,26207.000,
ProceedsFromShortTermDebt,,,,,23095.000,
ProfessionalFees,3373.000,1000.000,8255.000,,,
ResearchAndDevelopmentExpense,,,,,27729.000,95535.000
Revenues,885.000,153.000,99.000,,235971.000,769821.000
SalariesWagesAndOfficersCompensation,40.000,0.000,,,,
SalesRevenueNet,885.000,153.000,99.000,,235971.000,766791.000
SellingGeneralAndAdministrativeExpense,,,,16272.000,,124832.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,75000.000,
StockIssuedDuringPeriodValueOther,,,,,92575.000,
StockIssuedDuringPeriodValueShareBasedCompensation,,,,,11227.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,15300000.000,15300000.000,15300000.000,228515200.000,49514000.000,53422087.000
