,2011-03-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AllocatedShareBasedCompensationExpense,,,1062000.000,1062000.000,,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,,,,600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,47411000.000,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,24539000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,-3300000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,37777000.000,5823000.000,6748000.000,16711000.000,21666000.000,2382000.000,16570000.000,-7560000.000,-523000.000,21239000.000
DeferredIncomeTaxExpenseBenefit,345000.000,100000.000,107000.000,42939000.000,-55690000.000,,,,,
DeferredIncomeTaxesAndTaxCredits,,,6159000.000,-31491000.000,,-740000.000,2897000.000,88000.000,171000.000,928000.000
DepreciationAndAmortization,17525000.000,30490000.000,30762000.000,30592000.000,31907000.000,34755000.000,34622000.000,35175000.000,36080000.000,36432000.000
DepreciationDepletionAndAmortization,18315000.000,34724000.000,34899000.000,34584000.000,35753000.000,38372000.000,38514000.000,39684000.000,42018000.000,39667000.000
DividendIncomeOperating,-427000.000,-611000.000,-130000.000,,,-556000.000,,,,-430000.000
EarningsPerShareBasic,0.820,,,,,,,-0.050,,0.140
EarningsPerShareDiluted,0.800,,,,,,,-0.050,,0.130
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,1169000.000,,,,,8000.000,3160000.000,,,14790000.000
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,1169000.000,,,,,8000.000,3160000.000,,,14790000.000
GainLossOnSaleOfInvestments,-4000.000,298000.000,63000.000,5000.000,28000.000,13000.000,105000.000,158000.000,195000.000,606000.000
GainLossOnSaleOfPropertyPlantEquipment,-39000.000,-4000.000,68000.000,208000.000,-4000.000,-39000.000,49000.000,45000.000,-27000.000,1981000.000
GainsLossesOnExtinguishmentOfDebt,,,-5172000.000,-1561000.000,,-122000.000,,-29519000.000,,
GeneralInsuranceExpense,26539000.000,24890000.000,27555000.000,22907000.000,22598000.000,25833000.000,25840000.000,26974000.000,27646000.000,30981000.000
HealthCareOrganizationPatientServiceRevenue,,,1315487000.000,1395884000.000,,1474535000.000,1545317000.000,1519731000.000,1602503000.000,1675819000.000
HealthCareOrganizationRevenue,,,,,,,,,,1014211000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,58725000.000,9791000.000,14132000.000,26567000.000,29440000.000,10175000.000,27308000.000,-12680000.000,-14625000.000,38153000.000
IncomeLossFromEquityMethodInvestments,91000.000,109000.000,105000.000,90000.000,75000.000,75000.000,87000.000,68000.000,93000.000,47000.000
IncomeTaxExpenseBenefit,22652000.000,4238000.000,6266000.000,11448000.000,9898000.000,7134000.000,10832000.000,-4949000.000,-14011000.000,16675000.000
IncreaseDecreaseInAccountsAndOtherReceivables,10762000.000,35347000.000,7482000.000,25547000.000,13750000.000,41351000.000,15170000.000,71543000.000,47904000.000,35429000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,29087000.000,46049000.000,-19844000.000,33933000.000,-498000.000,12294000.000,-13900000.000,32468000.000,-42458000.000,34183000.000
IncreaseDecreaseInInventories,81000.000,49000.000,-437000.000,37000.000,-292000.000,50000.000,104000.000,335000.000,837000.000,327000.000
IncreaseDecreaseInOtherOperatingCapitalNet,,,28476000.000,-36606000.000,,-5478000.000,20178000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,4741000.000,-272000.000,6809000.000,164000.000,-12540000.000,2548000.000,6940000.000,-3308000.000,-7167000.000,3468000.000
IncreaseDecreaseInSelfInsuranceReserve,,,1600000.000,-900000.000,,-1200000.000,800000.000,1600000.000,,5200000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,8609587.000
InterestExpense,4817000.000,43452000.000,41514000.000,41322000.000,44857000.000,40290000.000,38538000.000,46772000.000,61101000.000,30049000.000
InterestExpenseDebtExcludingAmortization,,,37380000.000,37328000.000,,36636000.000,34705000.000,,,
LaborAndRelatedExpense,537077000.000,565865000.000,562838000.000,577502000.000,601423000.000,641789000.000,643960000.000,677797000.000,703893000.000,743661000.000
NetCashProvidedByUsedInContinuingOperations,,95338000.000,-105163000.000,4230000.000,-70877000.000,22300000.000,-43099000.000,538729000.000,-371050000.000,-13716000.000
NetCashProvidedByUsedInFinancingActivities,10548000.000,7203000.000,-161202000.000,-54254000.000,69576000.000,20499000.000,-26797000.000,549291000.000,-351631000.000,-3963000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10548000.000,7203000.000,-161202000.000,-54254000.000,69576000.000,20499000.000,-26797000.000,549291000.000,-351631000.000,-3963000.000
NetCashProvidedByUsedInInvestingActivities,-35136000.000,38085000.000,42959000.000,-47632000.000,-187455000.000,-4770000.000,-22977000.000,-42284000.000,-28566000.000,-39973000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-35136000.000,38085000.000,42959000.000,-47632000.000,-187455000.000,-4770000.000,-22977000.000,-42284000.000,-28566000.000,-39973000.000
NetCashProvidedByUsedInOperatingActivities,71999000.000,50050000.000,13080000.000,106116000.000,47002000.000,6571000.000,6675000.000,31722000.000,9147000.000,30220000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,71999000.000,50050000.000,13080000.000,106116000.000,47002000.000,6571000.000,6675000.000,31722000.000,9147000.000,30220000.000
NetIncomeLoss,,5792000.000,,,,,,,,
NetIncomeLossAttributableToNoncontrollingInterest,,-130000.000,130000.000,,,,,,,-3300000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,7841000.000,15209000.000,,3116000.000,16563000.000,-7663000.000,-6021000.000,24825000.000
OperatingIncomeLoss,64896000.000,52496000.000,60256000.000,68624000.000,75565000.000,62929000.000,65724000.000,63503000.000,84599000.000,68318000.000
OperatingLeasesRentExpenseNet,,,,,,,,,,11300000.000
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,-104000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,-734000.000,,,,-286000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,984000.000,-11000.000,-1254000.000,1031000.000,1091000.000,-298000.000,20000.000,236000.000,308000.000,51000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,629000.000,42000.000,161000.000,471000.000,958000.000,-436000.000,-13000.000,-133000.000,-310000.000,-337000.000
OtherCostAndExpenseOperating,96963000.000,107581000.000,96807000.000,100617000.000,116419000.000,100383000.000,102288000.000,110387000.000,111807000.000,114635000.000
OtherNonoperatingIncomeExpense,-1746000.000,162000.000,241000.000,937000.000,82000.000,-12721000.000,-249000.000,-52000.000,262000.000,-808000.000
OtherOperatingActivitiesCashFlowStatement,,,-2000.000,-205000.000,,-571000.000,-115000.000,,,
OtherSellingGeneralAndAdministrativeExpense,17835000.000,18993000.000,20136000.000,18541000.000,20671000.000,21998000.000,23789000.000,40733000.000,20139000.000,19375000.000
PaymentsForProceedsFromOtherInvestingActivities,-474000.000,2805000.000,-509000.000,-2885000.000,575000.000,702000.000,-650000.000,404000.000,1613000.000,2526000.000
PaymentsForRepurchaseOfCommonStock,1303000.000,,,,,,,,,
PaymentsForRepurchaseOfEquity,,,130000.000,398000.000,,,,,,
PaymentsForRestructuring,,,,,,,,,,-1519000.000
PaymentsOfDebtIssuanceCosts,,95000.000,,,,4411000.000,596000.000,,,
PaymentsOfDividends,,,,,,,20813000.000,,,
