,2012-01-28,2013-02-02,2014-02-01
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,9000000.000,4000000.000,13000000.000
AdvertisingExpense,,179000000.000,181000000.000
AllocatedShareBasedCompensationExpense,,5000000.000,35000000.000
AmortizationOfDebtDiscountPremium,35000000.000,,-1000000.000
AmortizationOfFinancingCosts,17000000.000,14000000.000,9000000.000
AssetImpairmentCharges,,8000000.000,
ComprehensiveIncomeNetOfTax,175000000.000,214000000.000,258000000.000
CostOfMerchandiseSalesBuyingAndOccupancyCosts,2526000000.000,2632000000.000,2748000000.000
CurrentFederalTaxExpenseBenefit,,94000000.000,125000000.000
CurrentForeignTaxExpenseBenefit,,20000000.000,11000000.000
CurrentStateAndLocalTaxExpenseBenefit,,10000000.000,15000000.000
DeferredFederalIncomeTaxExpenseBenefit,,-1000000.000,
DeferredForeignIncomeTaxExpenseBenefit,,-1000000.000,1000000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,,2000000.000,-4000000.000
DefinedContributionPlanCostRecognized,,4000000.000,4000000.000
DefinedContributionPlanEmployerMatchingContributionPercent,,0.500,0.060
DefinedContributionPlanEmployerMatchingContributionPercentOfMatch,,,0.500
DefinedContributionPlanMaximumAnnualContributionPerEmployeePercent,,0.060,
DepreciationDepletionAndAmortization,101000000.000,97000000.000,106000000.000
DividendsCommonStock,,,30000000.000
EarlyRepaymentOfSubordinatedDebt,170000000.000,315000000.000,
FederalIncomeTaxExpenseBenefitContinuingOperations,,93000000.000,125000000.000
ForeignCurrencyTransactionGainLossBeforeTax,,1000000.000,-2000000.000
ForeignIncomeTaxExpenseBenefitContinuingOperations,,19000000.000,12000000.000
GainsLossesOnExtinguishmentOfDebt,-18000000.000,-33000000.000,-14000000.000
GoodwillImpairmentLoss,,,0.000
GrossProfit,1684000000.000,1776000000.000,1822000000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,2000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,52000000.000,39000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,288000000.000,338000000.000,412000000.000
IncomeTaxExpenseBenefit,112000000.000,124000000.000,148000000.000
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,,,-1000000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,118000000.000,144000000.000
IncomeTaxReconciliationOtherAdjustments,,-1000000.000,-3000000.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,8000000.000,9000000.000
IncomeTaxReconciliationTaxContingencies,,-1000000.000,
IncomeTaxesPaidNet,86000000.000,108000000.000,145000000.000
IncreaseDecreaseInAccountsPayable,38000000.000,-35000000.000,102000000.000
IncreaseDecreaseInDeferredIncomeTaxes,-32000000.000,-2000000.000,3000000.000
IncreaseDecreaseInGiftCardLiability,,3000000.000,3000000.000
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,-8000000.000,19000000.000,5000000.000
IncreaseDecreaseInInterestPayableNet,,-10000000.000,-8000000.000
IncreaseDecreaseInInventories,14000000.000,25000000.000,38000000.000
IncreaseDecreaseInOtherNoncurrentLiabilities,10000000.000,-1000000.000,4000000.000
IncreaseDecreaseInOutstandingChecksFinancingActivities,-14000000.000,-5000000.000,-4000000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,7000000.000,7000000.000,8000000.000
InterestExpense,254000000.000,245000000.000,183000000.000
InterestPaid,201000000.000,239000000.000,183000000.000
LossContingencyAccrualProvision,,,0.000
NetCashProvidedByUsedInContinuingOperations,52000000.000,-315000000.000,178000000.000
NetCashProvidedByUsedInFinancingActivities,-252000000.000,-493000000.000,-178000000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-252000000.000,-493000000.000,-178000000.000
NetCashProvidedByUsedInInvestingActivities,-109000000.000,-124000000.000,-112000000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-109000000.000,-124000000.000,-112000000.000
NetCashProvidedByUsedInOperatingActivities,413000000.000,302000000.000,468000000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,413000000.000,302000000.000,468000000.000
NetIncomeLossAvailableToCommonStockholdersBasic,176000000.000,214000000.000,264000000.000
OperatingIncomeLoss,569000000.000,615000000.000,611000000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,-1000000.000,,-6000000.000
OtherComprehensiveIncomeForeignCurrencyTranslationGainLossArisingDuringPeriodTax,,1000000.000,
