,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-09-30,2017-03-31
AdjustmentForAmortization,,,408000.000,,,,341000.000,,,,389000.000,,,,381000.000,,,,,,90000.000
AllocatedShareBasedCompensationExpense,,,,,,,55000.000,,,,87000.000,,,,75000.000,76000.000,33000.000,95000.000,59000.000,100000.000,65000.000
AmortizationOfIntangibleAssets,414000.000,417000.000,408000.000,410000.000,409000.000,395000.000,341000.000,340000.000,328000.000,545000.000,389000.000,393000.000,390000.000,386000.000,381000.000,382000.000,123000.000,-431000.000,,0.000,90000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,450000.000,456759.000,,397000.000,108000.000,128137.000,-285137.000,220555.000,343000.000,458000.000,-667555.000,556989.000,351000.000,351000.000,-976239.000,278500.000,,125222000.000
BusinessCombinationAcquisitionRelatedCosts,0.000,0.000,,,,,,,,,,,,,,,,,,,
BusinessExitCosts1,,,,,,,,,,,,,,,,751000.000,,,,,
CapitalizedComputerSoftwareAdditions,,,,,,,,,,,,,,,,,,,,,-95000.000
CapitalizedComputerSoftwarePeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,,,,79000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,510000.000,,,,-798000.000,,,,-634000.000,,,,-1772000.000,,,,-1245000.000,,573000.000
ComprehensiveIncomeNetOfTax,,,,,,,-1863000.000,-1642000.000,-1459000.000,-10723000.000,-3727000.000,-1349000.000,171000.000,-5560000.000,-1344000.000,-584000.000,-992000.000,-282000.000,-291000.000,,204000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,-147000.000,-4074000.000,1540000.000,,,,,,,,,,,,,,,,
CostOfGoodsAndServicesSold,,,1314000.000,,,,,,,,,,,,,,,,,,
CostOfGoodsSold,2159000.000,1775000.000,1314000.000,1318000.000,1861000.000,2213000.000,1062000.000,2505000.000,2944000.000,3378000.000,1205000.000,1675000.000,2557000.000,2604000.000,1019000.000,977000.000,941000.000,540000.000,918000.000,814000.000,544000.000
CostOfGoodsSoldAmortization,,,,,,,,,,,,,,,,,,,,,90000.000
CostOfRevenue,,,,,,,1062000.000,,,,1205000.000,1675000.000,2557000.000,2604000.000,1019000.000,977000.000,941000.000,540000.000,918000.000,814000.000,634000.000
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,,,,,,,150000.000,,,,,,,,
DebtInstrumentBasisSpreadOnVariableRate1,,,,,,,,,,,0.028,,,,,,,,,,
Depreciation,,,142000.000,,,,211000.000,,,,153000.000,,,,87000.000,,,,75000.000,,65000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,,,,,,,,,1081000.000,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,,,,,,,,,,,,,,,,,-0.240,,,,
EarningsPerShareBasic,0.040,-1.810,-0.140,-0.750,0.200,0.000,-0.300,-0.350,-0.390,-2.170,-0.760,-0.310,-0.110,-0.770,-0.230,-0.150,-0.180,-0.060,-0.060,0.090,0.040
EarningsPerShareDiluted,0.040,-1.810,-0.140,-0.750,0.200,0.000,-0.300,-0.350,-0.390,-2.170,-0.760,-0.310,-0.110,-0.770,-0.230,-0.150,-0.180,-0.050,-0.060,0.090,0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,,206000.000,,,,-301000.000,,,,43000.000,,,,-132000.000,,,,-3000.000,,7000.000
GeneralAndAdministrativeExpense,1534000.000,1743000.000,1231000.000,1309000.000,1532000.000,1095000.000,1370000.000,1592000.000,1464000.000,1864000.000,1372000.000,1498000.000,1317000.000,1998000.000,1478000.000,1390000.000,1142000.000,38000.000,,,
GoodwillImpairmentLoss,,11685000.000,,3175000.000,,,,,,,,,,,,,,,,,
GrossProfit,5943000.000,5647000.000,3943000.000,4390000.000,5316000.000,4608000.000,3552000.000,4963000.000,4797000.000,3089000.000,3117000.000,4263000.000,4583000.000,3049000.000,3320000.000,4204000.000,3120000.000,1094000.000,2320000.000,2568000.000,2450000.000
IncomeLossFromContinuingOperations,,,,,,,,,,,,,,,,,,,,496000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,360000.000,-11904000.000,-886000.000,-3677000.000,857000.000,174000.000,-2947000.000,-2161000.000,-1913000.000,-4943000.000,-3757000.000,-1543000.000,-698000.000,-3879000.000,-1151000.000,-734000.000,279000.000,2007000.000,-290000.000,469000.000,201000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,290000.000,,-292000.000,469000.000,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,,,,,,,,,,0.060,,-0.060,0.090,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,,,,,,,,,,0.060,,-0.060,0.090,
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,,,,,,,,,-1215000.000,,,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,,,,,,,,,,-0.240,,,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,,,,,,,,,,-0.240,,,0.000,
IncomeTaxExpenseBenefit,150000.000,-3174000.000,-218000.000,-19000.000,-132000.000,189000.000,-1494000.000,-415000.000,22000.000,5824000.000,,-10000.000,-145000.000,,16000.000,8000.000,-11000.000,5000.000,2000.000,0.000,4000.000
IncreaseDecreaseInAccountsPayable,,,-1252000.000,,,,406000.000,,,,-683000.000,,,,-608000.000,,,,-705000.000,,297000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,,,,,,,,,11000.000
IncreaseDecreaseInAccountsReceivable,,,-2172000.000,,,,-1424000.000,,,,-967000.000,,,,306000.000,,,,-544000.000,,199000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,-37000.000,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,-209000.000,,,,57000.000,,,,-868000.000,,,,-561000.000,,,,-534000.000,,-126000.000
IncreaseDecreaseInInventories,,,-625000.000,,,,-393000.000,,,,-218000.000,,,,-254000.000,,,,-272000.000,,-83000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-22000.000,,,,1673000.000,,,,-259000.000,,,,-233000.000,,,,36000.000,,-10000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,,,,,,,9000.000,
LineOfCreditFacilityInterestRateDuringPeriod,,,,,,,0.045,,,,0.045,,,,,,,,,,
LineOfCreditFacilityMaximumAmountOutstandingDuringPeriod,,,,,,,,,0.000,,0.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,3000.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,3000.000,,,,,,,,,,,,,,,,,,
