,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AccountsPayableCurrent,65035000.000,68159000.000,72571000.000,79345000.000,85545000.000,113568000.000,123869000.000,134775000.000,141212000.000,148877000.000,169735000.000,147016000.000,145019000.000,125741000.000,148854000.000,169227000.000,160285000.000,195711000.000,208734000.000,207887000.000,215510000.000,209388000.000,242122000.000,219531000.000,238134000.000,207001000.000,259092000.000
AccountsReceivableGrossCurrent,,,365192000.000,467315000.000,496706000.000,476422000.000,475798000.000,490972000.000,563141000.000,512842000.000,525208000.000,532857000.000,583312000.000,563581000.000,616072000.000,605069000.000,641160000.000,948057000.000,1009179000.000,1062253000.000,1043069000.000,941915000.000,984781000.000,991816000.000,958843000.000,1015120000.000,1073910000.000
AccountsReceivableNetCurrent,,,346441000.000,444761000.000,472436000.000,450101000.000,447363000.000,456481000.000,529911000.000,481025000.000,494821000.000,494715000.000,547026000.000,525800000.000,576689000.000,579697000.000,615629000.000,894123000.000,958371000.000,1012146000.000,994950000.000,901892000.000,944875000.000,950549000.000,915815000.000,966479000.000,1018968000.000
AccountsReceivableNetNoncurrent,,,,,46351000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,691210000.000,,,,742897000.000,,,,818450000.000,,,,940510000.000,,,,1003075000.000,,,,1106042000.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4191000.000,7500000.000,11702000.000,-11656000.000,-11967000.000,-3999000.000,-12932000.000,-6174000.000,-5255000.000,-14287000.000,-24320000.000,-12924000.000,-13429000.000,-10305000.000,-5348000.000,-23429000.000,-44096000.000,-62220000.000,-56816000.000,-64642000.000,-76354000.000,-67684000.000,-82354000.000,-84747000.000,-110165000.000,-99649000.000,-83545000.000
AdditionalPaidInCapitalCommonStock,645815000.000,686830000.000,689190000.000,710926000.000,723490000.000,759857000.000,795621000.000,818130000.000,842490000.000,870308000.000,754256000.000,782143000.000,812853000.000,843953000.000,865386000.000,890902000.000,933446000.000,985073000.000,1018194000.000,1052130000.000,1075782000.000,1112743000.000,1148622000.000,1205075000.000,1230913000.000,1254544000.000,1301373000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,18751000.000,22554000.000,24270000.000,26321000.000,28435000.000,34491000.000,33230000.000,31817000.000,30387000.000,38142000.000,36286000.000,37781000.000,39383000.000,25372000.000,25531000.000,53934000.000,50808000.000,50107000.000,48119000.000,40023000.000,39906000.000,41267000.000,43028000.000,48641000.000,54942000.000
Assets,2422790000.000,2561544000.000,2720807000.000,2843568000.000,3000358000.000,3139559000.000,3299044000.000,3470456000.000,3704468000.000,3765149000.000,3843941000.000,3966370000.000,4098364000.000,4191348000.000,4265275000.000,4392638000.000,4530565000.000,5352605000.000,5484833000.000,5522925000.000,5561984000.000,5594492000.000,5779551000.000,5948527000.000,5629963000.000,5803208000.000,6058641000.000
AssetsCurrent,1146061000.000,1203816000.000,1313322000.000,1423132000.000,1502313000.000,1591471000.000,1660781000.000,1745780000.000,1790506000.000,1727560000.000,1713296000.000,1701094000.000,1761708000.000,1915181000.000,1903269000.000,2235477000.000,2348786000.000,1911281000.000,1883707000.000,1803762000.000,1827833000.000,1728638000.000,1933708000.000,1998315000.000,1619361000.000,1826110000.000,2012226000.000
