,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AccountsPayableCurrent,708399000.000,542987000.000,575912000.000,564531000.000,766510000.000,621682000.000,631790000.000,590498000.000,704187000.000,598199000.000,594381000.000,546035000.000,691971000.000,640326000.000,608919000.000
AccountsReceivableNetCurrent,54619000.000,35678000.000,44084000.000,43678000.000,53484000.000,49716000.000,45717000.000,38979000.000,49018000.000,38571000.000,51371000.000,41902000.000,59757000.000,43252000.000,52980000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,825304000.000,,,,932895000.000,,,,1027184000.000,,,,1127337000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,-745000.000,-1744000.000,-843000.000,-2541000.000,-5844000.000,-8992000.000,-9986000.000,-11867000.000,-11186000.000,-7191000.000,-6797000.000
AdditionalPaidInCapital,1344527000.000,1346259000.000,1351772000.000,1354363000.000,1361603000.000,1370498000.000,1379832000.000,,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,1385804000.000,1391034000.000,1395863000.000,1393955000.000,1403085000.000,1413955000.000,1420581000.000,1427676000.000
AllowanceForDoubtfulAccountsReceivableCurrent,,109000.000,,,,111000.000,,,,272000.000,,,,262000.000,
Assets,2980892000.000,2621092000.000,2547759000.000,2555302000.000,2796901000.000,2624569000.000,2683114000.000,2673624000.000,2805317000.000,2580147000.000,2605901000.000,2566254000.000,2688120000.000,2574483000.000,2558858000.000
AssetsCurrent,1364875000.000,1016520000.000,951014000.000,938573000.000,1156499000.000,987483000.000,1056572000.000,1037023000.000,1145331000.000,932982000.000,981490000.000,932031000.000,1046876000.000,928324000.000,914724000.000
AssetsFairValueDisclosure,,7063000.000,,,,1576000.000,,,,,,,,,
CapitalLeaseObligations,23435000.000,23199000.000,22959000.000,28015000.000,27719000.000,25602000.000,25255000.000,25414000.000,25231000.000,24925000.000,24613000.000,24296000.000,23972000.000,23643000.000,23286000.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,12700000.000,,,,14500000.000,,,,16600000.000,,,,18800000.000,
CapitalLeasesFutureMinimumPaymentsDue,,37508000.000,,,,42254000.000,,,,39207000.000,,,,35615000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,2704000.000,,,,3447000.000,,,,3592000.000,,,,4111000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,3139000.000,,,,3994000.000,,,,3889000.000,,,,4019000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,3389000.000,,,,3937000.000,,,,3994000.000,,,,3687000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,3011000.000,,,,3948000.000,,,,4024000.000,,,,3994000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,3016000.000,,,,3442000.000,,,,4111000.000,,,,4024000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,22249000.000,,,,23486000.000,,,,19597000.000,,,,15780000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,14309000.000,,,,16652000.000,,,,14282000.000,,,,11972000.000,
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,23199000.000,,,,25602000.000,,,,24925000.000,,,,23643000.000,
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,24400000.000,,,,25900000.000,,,,24200000.000,,,,22000000.000,
CapitalizedComputerSoftwareNet,,21100000.000,,,,13300000.000,,,,17100000.000,,,,28200000.000,
