,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,7480000.000,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3543000.000,-9816000.000,-10517000.000,-4637000.000,-5073000.000,-2302000.000,-2977000.000,-892000.000,-8772000.000,-13170000.000
AdditionalPaidInCapital,150985000.000,150985000.000,143900000.000,,,,,,,
AdditionalPaidInCapitalCommonStock,,,,143900000.000,143903000.000,143903000.000,143903000.000,143903000.000,143903000.000,143903000.000
Assets,890977000.000,852606000.000,862129000.000,889099000.000,888047000.000,847271000.000,828045000.000,799687000.000,789841000.000,775778000.000
AssetsFairValueDisclosure,,,,,418986000.000,433889000.000,364000000.000,357455000.000,362409000.000,357341000.000
AssetsSoldUnderAgreementsToRepurchaseCarryingAmounts,,,,,,,45000000.000,,,
AssetsSoldUnderAgreementsToRepurchaseInterestRate,,,,,,,0.034,,,
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,2200000.000,1100000.000,,,,
AvailableForSaleSecurities,406651000.000,406135000.000,415170000.000,420493000.000,393503000.000,398679000.000,355114000.000,348643000.000,354935000.000,342639000.000
AvailableForSaleSecuritiesAmortizedCost,,,,,402775000.000,402970000.000,360541000.000,350256000.000,370525000.000,366217000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,,,,,,,,,326920000.000,311404000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,,,,,,,,,273349000.000,287483000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,,,,,,,,,53571000.000,23921000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,,,,,46111000.000,56971000.000,72650000.000,81115000.000,66983000.000,66864000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,,,,,46940000.000,57814000.000,73219000.000,81480000.000,64390000.000,63301000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,,42223000.000,26260000.000,23373000.000,11991000.000,36563000.000,36076000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,,42474000.000,26558000.000,23609000.000,12187000.000,36118000.000,35689000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,,,180392000.000,208978000.000,206196000.000,181698000.000,211153000.000,206709000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,,,182330000.000,211341000.000,207773000.000,182172000.000,203941000.000,197428000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,,,73648000.000,42198000.000,2196000.000,22326000.000,2704000.000,3446000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,,73698000.000,42223000.000,2202000.000,22372000.000,2719000.000,3470000.000
AvailableForSaleSecuritiesDebtSecurities,,,,,91200000.000,91200000.000,,,,
AvailableForSaleSecuritiesEquitySecurities,,,,,1900000.000,1100000.000,,,,
AvailableForSaleSecuritiesFairValueDisclosure,,,,,393503000.000,398679000.000,355114000.000,348643000.000,,
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,,,,,9300000.000,8600000.000,,,,
AvailableForSaleSecuritiesGrossUnrealizedLosses1,,,,,-13224000.000,-8571000.000,8261000.000,3847000.000,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,3952000.000,4280000.000,2835000.000,2234000.000,,
CapitalRequiredToBeWellCapitalized,,,,,5000000.000,4800000.000,4600000.000,4600000.000,4800000.000,
CapitalRequiredToBeWellCapitalizedToRiskWeightedAssets,,,,,1.250,1.250,,1.250,0.013,
CashAndCashEquivalentsAtCarryingValue,114010000.000,86897000.000,101036000.000,123177000.000,138488000.000,105279000.000,149154000.000,132611000.000,104212000.000,100630000.000
CashAndCashEquivalentsFairValueDisclosure,,,,,138500000.000,105300000.000,,,,
CashAndDueFromBanks,8495000.000,6012000.000,12105000.000,7423000.000,7270000.000,5260000.000,8637000.000,7445000.000,8009000.000,7881000.000
CommonStockParOrStatedValuePerShare,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100
