,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-20734.000,,,,915.000,,,,-439.000,,,
CostsAndExpenses,3161.000,13368.000,6572.000,,,112058.000,98415.000,,40014.000,30227.000,62218.000,14017.000,26606.000,43861.000,27627.000,36259.000
EarningsPerShareBasicAndDiluted,0.000,-0.000,-0.000,-0.010,-0.010,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,-0.000,-0.020
ExplorationCosts,,,,,,75515.000,,,,,,,,,,
GeneralAndAdministrativeExpense,3161.000,13368.000,6572.000,128076.000,50919.000,36543.000,45734.000,36383.000,40014.000,30227.000,30003.000,14017.000,26606.000,43861.000,27627.000,36259.000
IncomeLossFromContinuingOperations,,,,,-281037.000,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,-1710.000,
IncreaseDecreaseInAccountsPayable,-1001.000,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,3604.000,,,,11745.000,,,,10160.000,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,,,9618.000,,,,14916.000,,,
IncreaseDecreaseInInterestPayableNet,21.000,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,76699.000,,,,,,,,2500.000,,,
InterestExpense,,,,,,,,,,,,,,,31450.000,
InterestRevenueExpenseNet,-21.000,-21.000,-21.000,-21.000,-21.000,-69.000,-73.000,-105.000,-434.000,-566.000,-1317.000,-1412.000,-1409.000,-2872.000,,
NetCashProvidedByUsedInFinancingActivities,4162.000,,,,180000.000,,,,20000.000,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,4162.000,,,,180000.000,,,,20000.000,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-4162.000,,,,-200734.000,,,,-19085.000,,,,-439.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4162.000,,,,-200734.000,,,,-19085.000,,,,-439.000,,,
NetIncomeLoss,-3182.000,-13389.000,-6593.000,-424846.000,-281037.000,-112127.000,-98488.000,-119018.000,-40448.000,-30793.000,-63535.000,-15429.000,-28015.000,-46733.000,-60787.000,-113827.000
OperatingIncomeLoss,-3161.000,-13368.000,-6572.000,-424825.000,-281016.000,-112058.000,-98415.000,-118913.000,-40014.000,-30227.000,-62218.000,-14017.000,-26606.000,-43861.000,-27627.000,-36259.000
OtherExpenses,21.000,21.000,21.000,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,,-33160.000,
OtherOperatingIncomeExpenseNet,,,,,,-69.000,-73.000,,-434.000,-566.000,-1317.000,-1412.000,-1409.000,-2872.000,,
ProceedsFromIssuanceOfCommonStock,,,,,180000.000,,,,,,,,,,,
ProceedsFromLoans,4162.000,,,,,,,,20000.000,,,,,,,
ProfitLoss,,,,,-281037.000,,,,-40448.000,,,,-28015.000,,,
ResearchAndDevelopmentExpense,,,,,230097.000,,52681.000,,,,32215.000,,,,,
StockIssuedDuringPeriodValueNewIssues,,,,,180000.000,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,30000000.000,30000000.000,30000000.000,-3100836.000,48297035.000,48506427.000,48814474.000,-96792364.000,49614797.000,49614797.000,49615297.000,-99229594.000,49615297.000,9406253.000,16677451.000,-63135195.000
