,2011-06-25,2011-09-24,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-09-28,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-06-25,2016-09-24,2017-04-01,2017-07-01
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,,,1505000.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,1647000.000,,,,,,,,
CapitalLeaseObligationsIncurred,,,,,,,231000.000,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-11289000.000,,,,-42169000.000,,-21548000.000,,,,45754000.000,,,,-43065000.000,,,-31142000.000,
ComprehensiveIncomeNetOfTax,,,7493000.000,14351000.000,20750000.000,16828000.000,6912000.000,25686000.000,8315000.000,25428000.000,37926000.000,18358000.000,13749000.000,29927000.000,38610000.000,16310000.000,7028000.000,26533000.000,31532000.000,5711000.000,29115000.000
CostOfGoodsSold,57884000.000,58782000.000,51462000.000,67120000.000,73206000.000,73224000.000,68149000.000,101035000.000,93326000.000,108515000.000,126738000.000,109417000.000,99888000.000,115979000.000,136084000.000,106366000.000,97296000.000,117940000.000,119826000.000,85351000.000,113911000.000
CurrentIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,1891000.000,16546000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,-208000.000,,-97000.000,,,,-5000.000,,,,351000.000,,,117000.000,
DepreciationDepletionAndAmortization,,,4731000.000,,,,5098000.000,,7195000.000,,,,10312000.000,,,,12029000.000,,,12724000.000,
EarningsPerShareBasic,2.120,1.260,0.590,1.110,1.600,1.300,0.540,2.000,0.640,1.950,2.910,1.460,1.040,2.240,2.930,1.250,0.550,2.110,2.530,0.460,2.380
EarningsPerShareDiluted,2.010,1.190,0.560,1.060,1.530,1.240,0.510,1.890,0.620,1.880,2.790,1.400,1.000,2.180,2.850,1.220,0.530,2.060,2.480,0.450,2.350
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.277,,,,,,,,,,,,,0.468,0.360
EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions,,,,,,,,,,,,,,,,,,,,,168000.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,,,,,,,,,,,,,,,,3562000.000,
EnvironmentalRemediationExpense,,,,,,,3200000.000,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,3566000.000,,,,4337000.000,,8060000.000,,,,12538000.000,,,,3839000.000,,,0.000,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,3566000.000,,,,4337000.000,,8060000.000,,,,12538000.000,,,,3839000.000,,,0.000,
ExciseAndSalesTaxes,12057000.000,12189000.000,9631000.000,12215000.000,13965000.000,12547000.000,10480000.000,15374000.000,13525000.000,15754000.000,19043000.000,15149000.000,13331000.000,16517000.000,19544000.000,14714000.000,13182000.000,16409000.000,17792000.000,10742000.000,16734000.000
GainLossOnSaleOfPropertyPlantEquipment,,,-20000.000,,,,-345000.000,,,,,,-335000.000,,,,-303000.000,,,,
GeneralAndAdministrativeExpense,11132000.000,10284000.000,11513000.000,12830000.000,12293000.000,13535000.000,14648000.000,15744000.000,15871000.000,16681000.000,15748000.000,17671000.000,17230000.000,18036000.000,17707000.000,18583000.000,21045000.000,21836000.000,19481000.000,18562000.000,19395000.000
GrossProfit,76073000.000,76031000.000,61809000.000,80383000.000,93242000.000,79776000.000,67783000.000,115379000.000,90519000.000,123096000.000,142996000.000,108400000.000,99615000.000,136225000.000,157010000.000,108767000.000,91531000.000,126876000.000,133607000.000,76344000.000,134019000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,1300000.000,,,1577000.000,,,,218000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,60353000.000,,11041000.000,41602000.000,50162000.000,4040000.000,45503000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,44946000.000,26460000.000,11839000.000,23424000.000,33354000.000,26900000.000,9562000.000,42212000.000,13251000.000,40689000.000,60307000.000,31347000.000,21810000.000,46884000.000,,,,,,,
IncomeTaxExpenseBenefit,16927000.000,10164000.000,4346000.000,9073000.000,12604000.000,10027000.000,2650000.000,16526000.000,4936000.000,15261000.000,22381000.000,12273000.000,8067000.000,16952000.000,21729000.000,9848000.000,4009000.000,14981000.000,18632000.000,-1671000.000,16378000.000
IncomeTaxesPaid,,,1208000.000,,,,4289000.000,,1951000.000,,,,417000.000,,,,1963000.000,,,225000.000,
IncreaseDecreaseInAccountsPayable,,,3691000.000,,,,-630000.000,,-1011000.000,,,,2138000.000,,,,825000.000,,,-6254000.000,
IncreaseDecreaseInAccountsReceivable,,,1592000.000,,,,-1184000.000,,4141000.000,,,,7444000.000,,,,6166000.000,,,-1376000.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,,,,,,,-9257000.000,,-2740000.000,,,,-12108000.000,,,,-8282000.000,,,-12595000.000,
IncreaseDecreaseInInventories,,,4058000.000,,,,7350000.000,,4610000.000,,,,4489000.000,,,,5275000.000,,,4799000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,,-77000.000,,,,-161000.000,,97000.000,,,,167000.000,,,,-1529000.000,,,-148000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,135000.000,,,,5995000.000,,5869000.000,,,,-29535000.000,,,,-8165000.000,,,2784000.000,
IncreaseDecreaseInRestrictedCash,,,,,,,-62000.000,,-55000.000,,,,-57000.000,,,,-56000.000,,,-16000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,,,,,,,,,,,,,116000.000,155000.000
InterestIncomeExpenseNonoperatingNet,,,,-2000.000,24000.000,,-2000.000,30000.000,-4000.000,-5000.000,31000.000,-1000.000,-3000.000,11000.000,0.000,48000.000,23000.000,20000.000,22000.000,84000.000,86000.000
InvestmentIncomeInterest,2000.000,32000.000,1000.000,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,1953000.000,,,,-8223000.000,,31377000.000,,,,43260000.000,,,,-36377000.000,,,-19144000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,1953000.000,,,,-8223000.000,,31377000.000,,,,43260000.000,,,,-36377000.000,,,-19144000.000,
NetCashProvidedByUsedInInvestingActivities,,,-14995000.000,,,,-21115000.000,,-44115000.000,,,,-18731000.000,,,,-12955000.000,,,-6958000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-14995000.000,,,,-21115000.000,,-44115000.000,,,,-18731000.000,,,,-12955000.000,,,-6958000.000,
NetCashProvidedByUsedInOperatingActivities,,,1753000.000,,,,-12831000.000,,-8810000.000,,,,21225000.000,,,,6267000.000,,,-5040000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,1753000.000,,,,-12831000.000,,-8810000.000,,,,21225000.000,,,,6267000.000,,,-5040000.000,
NetIncomeLoss,28019000.000,16296000.000,7493000.000,14351000.000,20750000.000,16873000.000,6912000.000,25686000.000,8315000.000,25428000.000,37926000.000,19074000.000,13743000.000,29932000.000,38624000.000,16115000.000,7032000.000,26621000.000,31530000.000,5711000.000,29125000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,14351000.000,20750000.000,,6912000.000,25686000.000,8315000.000,25428000.000,37926000.000,19074000.000,13743000.000,29932000.000,38624000.000,16115000.000,7032000.000,26621000.000,31530000.000,5711000.000,29125000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,,,,,,,,,,,,,,,,,,5679000.000,28965000.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,,,337000.000,,,,,,5492000.000,,,,,,,,,,,,
NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,,,400000.000,,,,,,,,,,,,,,,,,,
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,,,1163000.000,,,,,,,,,,,,,,,,,,
