,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30
AccountsPayable,,,,,,,134007.000,,,,,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,2830651.000,3612139.000,2427440.000
AccountsPayableCurrent,257701.000,73083.000,106411.000,97737.000,159833.000,150800.000,340229.000,105202.000,145538.000,,,
AccountsPayableRelatedParties,,,,,,,52808.000,,,,,
AccountsPayableRelatedPartiesCurrent,37947.000,37947.000,37947.000,96873.000,52808.000,152808.000,,103058.000,26000.000,,,
AccountsReceivableNet,,,,,,,16416.000,,,,,
AccountsReceivableNetCurrent,,9682.000,29258.000,14376.000,44974.000,50758.000,,39742.000,22803.000,,,
AccruedLiabilitiesCurrent,67067.000,83452.000,69866.000,81199.000,126075.000,174340.000,,217773.000,25585.000,,,
AdditionalPaidInCapital,,,,,,,11859619.000,12448651.000,13531650.000,,,19800.000
AdditionalPaidInCapitalCommonStock,3745380.000,4081586.000,7058403.000,7184809.000,9858035.000,9973135.000,,,,,,
AssetRetirementObligation,,,,,,,8507.000,8507.000,8507.000,,62842.000,63156.000
AssetRetirementObligationCurrent,,,,,,,,,,16495.000,27213.000,24770.000
AssetRetirementObligationsNoncurrent,,,9665.000,9665.000,9665.000,8507.000,,,,21607.000,35629.000,38386.000
Assets,749077.000,815599.000,1031109.000,1001102.000,1375437.000,1258274.000,795636.000,811417.000,605310.000,2825357.000,4515795.000,2151912.000
AssetsCurrent,391154.000,34129.000,100870.000,66464.000,84341.000,108064.000,46379.000,78660.000,92550.000,2629264.000,4317416.000,1930555.000
CapitalizedCostsUnprovedProperties,,,,,,,,348813.000,,,,
Cash,,,,,,,1113.000,13918.000,14747.000,,,
CashAndCashEquivalentsAtCarryingValue,391154.000,24447.000,71612.000,52088.000,27817.000,49606.000,,,14747.000,2629264.000,4317416.000,1930555.000
CashFDICInsuredAmount,,,,,,,,,,250000.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,180000.000,,,,,,,,,,,
CommonStockSharesAuthorized,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000,500000000.000
CommonStockSharesIssued,24462763.000,25779430.000,49029844.000,4465531.000,11156506.000,11356506.000,19455923.000,22989575.000,38680775.000,498883626.000,498883626.000,499083626.000
CommonStockSharesOutstanding,24462763.000,25779430.000,49029844.000,4465531.000,11156506.000,11356506.000,4465531.000,22989575.000,38680775.000,498883626.000,498883626.000,499083626.000
CommonStockValue,24463.000,25780.000,49030.000,4465.000,11156.000,11356.000,19455.000,22989.000,38680.000,498884.000,498884.000,499084.000
ConvertibleDebtCurrent,,319110.000,310315.000,350000.000,65641.000,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,0.000,,,,,
DebtInstrumentCarryingAmount,,,,,,20000.000,,,,,,
DebtInstrumentConvertibleConversionPrice1,,,,,,0.050,,,,,,
DebtInstrumentInterestRateStatedPercentage,,,,,,0.100,,,,,,
DebtInstrumentUnamortizedDiscount,,102903.000,39685.000,0.000,218191.000,176316.000,108370.000,131799.000,32714.000,,,
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,329959.000,,,
DerivativeLiabilitiesCurrent,,,,,463226.000,489135.000,,,,,,
DerivativeLiabilityFairValueNet,,,,,,,1017865.000,766416.000,,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3965124.000,,,,,,,,,,,
EquityMethodInvestments,,,,,,,,,,30884.000,30884.000,62862.000
