,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30
DebtorReorganizationItemsRevaluationOfAssetsAndLiabilities,0.000,0.000,0.000,,
DepreciationAndAmortization,0.000,0.000,0.000,0.000,0.000
DiscontinuedOperationAmountOfOtherIncomeLossFromDispositionOfDiscontinuedOperationNetOfTax,0.000,0.000,0.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,0.000,0.000
Dividends,0.000,0.000,0.000,0.000,0.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,0.000,0.000,0.000,0.000,0.000
IncreaseDecreaseInCarryingValueOfAssetsReceivedAsConsiderationInDisposalOfBusiness,0.000,0.000,0.000,,
IncreaseDecreaseInOtherCurrentAssets,,,,0.000,0.000
IncreaseDecreaseInOtherCurrentLiabilities,,,,0.000,0.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,0.000,0.000
IncreaseDecreaseInPrepaidExpense,0.000,0.000,0.000,,
InterestAndDividendIncomeOperating,0.000,0.000,0.000,0.000,0.000
LaborAndRelatedExpense,0.000,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInOperatingActivities,0.000,0.000,0.000,0.000,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,0.000,0.000,0.000,0.000,0.000
NetIncomeLoss,0.000,0.000,0.000,0.000,0.000
OperatingExpenses,0.000,0.000,0.000,0.000,0.000
OtherGeneralAndAdministrativeExpense,0.000,0.000,0.000,0.000,0.000
OtherIncome,0.000,0.000,0.000,0.000,0.000
OtherNoncashIncome,0.000,0.000,0.000,,
Revenues,,,,0.000,0.000
SalesRevenueNet,,,,0.000,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,10985046.000,10985046.000,10985046.000,10985046.000
