,2012-01-31,2012-04-30,2013-01-31,2013-04-30,2013-07-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31
AccretionExpense,,,,,,,,,,,,,,5270.000,,
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,49020.000,,
BusinessCombinationAcquisitionRelatedCosts,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,,,,,
CashAcquiredFromAcquisition,0.000,,0.000,,,0.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-6445.000,,264089.000,,,-82077.000,,,,33133.000,,,,-325219.000,,
CostOfGoldProductsAndServices,,,,,,,,88092.000,,368192.000,69146.000,163555.000,524810.000,,,45073.000
CostOfGoodsSold,0.000,0.000,0.000,0.000,,65115.000,71660.000,,,,,,,,,
CostOfRevenue,,,,,,,,88092.000,,368192.000,69146.000,163555.000,524810.000,,,45073.000
CurrentIncomeTaxExpenseBenefit,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,,0.000,,,0.000,,,,,,,,,,
DebtConversionOriginalDebtAmount1,0.000,,0.000,,,,,,,,,,,,,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,0.000,0.000,0.000,0.000,131967.000,227977.000,261.000,,,,,,,,,
Depreciation,,,27792.000,,,38986.000,,,,44033.000,44033.000,47501.000,51623.000,56676.000,54866.000,63739.000
DepreciationDepletionAndAmortization,21464.000,,28200.000,,,39395.000,,,,44033.000,,,,56676.000,,
DerivativeGainLossOnDerivativeNet,,,,,,0.000,254250.000,446319.000,206834.000,536597.000,226750.000,-407460.000,-364347.000,-370196.000,723179.000,514574.000
DividendsPreferredStock,,,,,,,,,,18345.000,,,,-30250.000,,201.000
EarningsPerShareBasic,,,,,,,-0.020,0.000,,0.010,-0.020,-0.010,-0.010,-0.020,0.000,
EarningsPerShareBasicAndDiluted,-0.080,-0.040,-0.040,-0.040,-0.180,-0.040,,,,,,,,,,-0.040
EarningsPerShareDiluted,,,,,,,-0.020,0.000,,0.010,-0.020,-0.010,-0.010,-0.020,0.000,
ExplorationExpense,524223.000,44557.000,551782.000,324390.000,920523.000,49327.000,21282.000,287330.000,514787.000,81568.000,309807.000,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,-446319.000,,536597.000,226750.000,,,,,
FairValueAssumptionsExpectedVolatilityRate,,,,,,,,,,1.702,,,,1.309,,
FairValueAssumptionsRiskFreeInterestRate,,,,,,,,,,0.008,,,,0.008,,
GainLossOnSaleOfDerivatives,,,,,,-31479.000,,,,-63.000,,,,-23.000,,
GoldProductsAndServicesRevenue,,,,,,,,157726.000,,612070.000,119725.000,277959.000,1143254.000,69085.000,,100524.000
GrossProfit,0.000,0.000,0.000,0.000,,11182.000,56293.000,69634.000,249668.000,243878.000,50579.000,114404.000,618444.000,69085.000,,55451.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,-1580139.000,-772128.000,-991104.000,-1012866.000,-4301327.000,-1129757.000,-592992.000,16393.000,-843644.000,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,201754.000,-523736.000,-815889.000,-45818.000,-940411.000,-36566.000,-2673866.000
IncomeTaxesPaid,0.000,,0.000,,,0.000,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-39482.000,,66601.000,,,-192882.000,,,,-350325.000,,,,-13829.000,,
IncreaseDecreaseInDerivativeAssetsAndLiabilities,,,,,,0.000,,,,,,,,,,
IncreaseDecreaseInDueToRelatedPartiesCurrent,,,,,,,,,,-4741.000,,,,,,
IncreaseDecreaseInIntangibleAssetsCurrent,0.000,,,,,,,,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,127623.000,,,,391452.000,,,,244062.000,,
IncreaseDecreaseInInventories,,,,,,65114.000,,,,-232561.000,,,,,,
IncreaseDecreaseInOtherCurrentAssets,-9986.000,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherOperatingAssets,0.000,,0.000,,,3200.000,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,25738.000,,,,130202.000,,
IncreaseDecreaseInPrepaidExpense,139497.000,,-2226.000,,,-200.000,,,,,,,,,,
IncreaseDecreaseInRestrictedCash,,,,,,1800000.000,,,,,,,,,,
InterestExpense,,,,,,,569535.000,148265.000,,391515.000,378630.000,196755.000,163017.000,298374.000,433804.000,363177.000
InterestExpenseDebt,,,,,,,,,,63.000,,,,23.000,91.000,35.000
InterestPaid,0.000,,0.000,,,0.000,,,,,,,,,,
InvestmentIncomeInterest,,,,,,,11.000,3.000,,,,,,,,
InvestmentIncomeNet,-421514.000,-203933.000,-72465.000,-354576.000,-6800.000,-96741.000,,,,,,,,,,
IssuanceOfStockAndWarrantsForServicesOrClaims,468600.000,,140250.000,,,159000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,579601.000,,1109035.000,,,2100153.000,,,,-50000.000,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,579601.000,,1109035.000,,,2100153.000,,,,-50000.000,,,,,,
NetCashProvidedByUsedInInvestingActivities,0.000,,-100000.000,,,-1800000.000,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,-100000.000,,,-1800000.000,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,-586046.000,,-744946.000,,,-382230.000,,,,83133.000,,,,-325219.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-586046.000,,-744946.000,,,-382230.000,,,,83133.000,,,,-325219.000,,
NetIncomeLoss,-1580139.000,-772128.000,-991104.000,-1012866.000,-4301327.000,-1129757.000,-592992.000,16393.000,-843806.000,201754.000,-523736.000,-815889.000,-45818.000,-940411.000,-36566.000,-2673866.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,,183409.000,,,,-970661.000,-36566.000,-2674067.000
NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,0.000,,0.000,,,0.000,,,,,,,,,,
NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,0.000,,0.000,,,0.000,,,,,,,,,,
NonoperatingIncomeExpense,-421514.000,-203933.000,-72465.000,-354576.000,-2313767.000,-674497.000,-315535.000,298057.000,-320850.000,145082.000,-151880.000,-604215.000,-527364.000,-668570.000,289375.000,151397.000
OperatingExpenses,,,,,,,333750.000,351298.000,,187206.000,422435.000,326078.000,136898.000,340926.000,325941.000,2880714.000
OperatingIncomeLoss,-1158625.000,-568195.000,-918639.000,-658290.000,-1987560.000,-455260.000,-277457.000,-281664.000,-522956.000,56672.000,-371856.000,-211674.000,481546.000,-271841.000,-325941.000,-2825263.000
OtherExpenses,,,,,,,,,,,,,,370196.000,723179.000,867557.000
PaymentsForProceedsFromDerivativeInstrumentFinancingActivities,,,,,,,,,,50000.000,,,,,,
PaymentsForRent,,,,,,,,,,,,,,75000.000,,
PaymentsOfDividendsPreferredStockAndPreferenceStock,,,,,,,,,,36690.000,,,,30250.000,,
PaymentsToAcquireProductiveAssets,0.000,,100000.000,,,0.000,,,,,,,,,,
ProceedsFromIssuanceOfCommonStock,279601.000,,1139752.000,,,100153.000,,,,,,,,,,
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,,,,,,0.000,,,,,,,,,,
ProceedsFromNotesPayable,300000.000,,0.000,,,2000000.000,,,,,,,,,,
ProceedsFromShortTermDebt,0.000,,0.000,,,0.000,,,,,,,,,,
RepaymentsOfLongTermDebt,0.000,,30717.000,,,0.000,,,,,,,,,,
Revenues,0.000,0.000,0.000,0.000,,76297.000,127953.000,157726.000,681595.000,612070.000,119725.000,277959.000,1143254.000,69085.000,,100524.000
RoyaltyExpense,,,,,,,,,,,,,,2878.000,,
SaleOfStockConsiderationReceivedOnTransaction,0.000,,0.000,,,0.000,,,,,,,,,,
SalesRevenueNet,0.000,0.000,0.000,0.000,,76297.000,127953.000,157726.000,681595.000,612070.000,119725.000,277959.000,1143254.000,69085.000,,100524.000
SellingGeneralAndAdministrativeExpense,634402.000,523638.000,366857.000,333900.000,1067037.000,417115.000,312468.000,63968.000,257837.000,105638.000,112628.000,326078.000,528273.000,340926.000,325941.000,434256.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,,,0.000,,,0.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,,1.700,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMaximum,,,1.430,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRateMinimum,,,1.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,,0.006,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMaximum,,,0.033,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRateMinimum,,,0.020,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,0.000,,,0.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,0.000,,,0.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresInPeriod,,,,,,,,,,,,,,1000000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,2219567.000,,,310000.000,,,,,,,,1000000.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,0.000,,,0.001,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,,0.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,0.000,,,,,,,,,,,0.500,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,1.069,,,1.500,,,,,,,,0.120,,
StockIssued1,0.000,,35300.000,,,0.000,,,,,,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,0.000,,,-52000.000,,,,,,,,,,
StockIssuedDuringPeriodValueAcquisitions,0.000,,0.000,,,0.000,,,,,,,,,,
StockOptionPlanExpense,,,,,,,,,,30671.000,61340.000,,,31098.000,,
UnrealizedGainLossOnDerivatives,,,,,,,,,,,,-503210.000,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,25660593.000,27381818.000,,28090284.000,27592164.000,55943003.000,-68329685.000,61777000.000,62038357.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,68613200.000
WeightedAverageNumberOfSharesOutstandingBasic,18809334.000,19857151.000,22319753.000,23862343.000,24241560.000,25381898.000,25660593.000,25936997.000,-51240546.000,27485284.000,27592164.000,55943003.000,-67724685.000,61777000.000,62038357.000,
