,2012-09-30,2012-12-31,2013-03-31
AccountsPayableCurrent,3704.000,10000.000,1350.000
AccruedLiabilitiesCurrent,70.000,670.000,1389.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,-1446.000,-1674.000,-1901.000
AdditionalPaidInCapital,8725.000,8725.000,8725.000
Assets,33468.000,27085.000,12851.000
AssetsCurrent,32184.000,26029.000,12022.000
Cash,31193.000,25551.000,11706.000
CashAndCashEquivalentsAtCarryingValue,31193.000,25551.000,11706.000
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,2900000.000,2900000.000,2900000.000
CommonStockSharesOutstanding,2900000.000,2900000.000,2900000.000
CommonStockValue,2900.000,2900.000,2900.000
DeferredTaxAssetsDeferredIncome,,-30210.000,
DeferredTaxAssetsGross,,4532.000,
DeferredTaxAssetsOperatingLossCarryforwards,,-30210.000,
DeferredTaxAssetsValuationAllowance,,-4532.000,
Liabilities,40659.000,45670.000,52739.000
LiabilitiesAndStockholdersEquity,33468.000,27085.000,12851.000
LiabilitiesCurrent,40659.000,45670.000,52739.000
NotesPayableCurrent,30000.000,30000.000,45000.000
NotesPayableRelatedPartiesClassifiedCurrent,5000.000,5000.000,5000.000
PrepaidExpenseCurrent,991.000,478.000,316.000
PropertyPlantAndEquipmentNet,1284.000,1056.000,829.000
RetainedEarningsAccumulatedDeficit,-18816.000,-30210.000,-50013.000
StockholdersEquity,-7191.000,-18585.000,-39888.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-7191.000,-18585.000,-39888.000
TaxesPayableCurrent,1885.000,,
TreasuryStockValue,,,1500.000
