,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AccountsPayableCurrent,1033580.000,1073967.000,1252538.000,1629097.000,2443594.000,2002821.000,2293470.000,2595516.000,1038464.000,956010.000,1034053.000,1082732.000
AccountsPayableOtherCurrent,,,,,,,,,76409.000,58817.000,55317.000,
AccountsReceivableNetCurrent,1005158.000,1192248.000,1239903.000,962558.000,1219163.000,1161101.000,821608.000,417995.000,93379.000,374330.000,50745.000,62120.000
AdditionalPaidInCapital,96179914.000,96686414.000,96859058.000,99351561.000,99476870.000,99559404.000,99594490.000,99640885.000,99681351.000,99695040.000,99706469.000,99684254.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,47850.000,57960.000,81140.000,104220.000,37960.000,57620.000,8290.000,4040.000
Assets,6164799.000,4319467.000,4543487.000,4529082.000,3398640.000,3151216.000,2684516.000,2644159.000,1232140.000,816594.000,542094.000,296051.000
AssetsCurrent,3500533.000,1951337.000,2465992.000,2805349.000,2103241.000,2074563.000,1753013.000,1866663.000,877438.000,520860.000,300709.000,118223.000
BilledContractReceivables,,,,,1184804.000,1122643.000,856462.000,505918.000,132973.000,433291.000,57655.000,65910.000
CashAndCashEquivalentsAtCarryingValue,2174689.000,414472.000,961265.000,1338037.000,403259.000,373119.000,394342.000,656918.000,686347.000,75360.000,215371.000,35478.000
CashUninsuredAmount,,,,,139982.000,0.000,38847.000,357921.000,321023.000,0.000,,
CommonStockParOrStatedValuePerShare,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050
CommonStockSharesAuthorized,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000,180000000.000
CommonStockSharesIssued,75576744.000,75949016.000,75975656.000,75975565.000,107227820.000,107405328.000,107473820.000,107932373.000,110233225.000,110233225.000,110233225.000,111370878.000
CommonStockSharesOutstanding,,,,,,,107473820.000,,,,,
CommonStockValue,3778837.000,3797451.000,3798783.000,5330591.000,5361391.000,5370266.000,5373691.000,5396619.000,5511661.000,5511661.000,5511661.000,5568544.000
DebtInstrumentUnamortizedDiscount,833332.000,742830.000,,,,,,,,157599.000,0.000,
DeferredCompensationArrangementWithIndividualRecordedLiability,,,,,,,,60481.000,60481.000,60481.000,,38846.000
DeferredFinanceCostsNoncurrentNet,,,123278.000,97280.000,64371.000,61643.000,42176.000,22709.000,3242.000,,,
DeferredRevenueCurrent,107808.000,35808.000,10449.000,12277.000,1440.000,30521.000,51335.000,24869.000,13539.000,9836.000,5280.000,4496.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,25881900.000,,,,27003600.000,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness,,,,,,,1158900.000,,,,1118400.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,,,78500.000,,,,22700.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,31600.000,,,,3200.000,
DeferredTaxAssetsValuationAllowance,,,,,,,27212600.000,,,,28134600.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,61700.000,,,,-13300.000,
DerivativeLiabilitiesCurrent,9207200.000,3095900.000,3760200.000,7169944.000,4309537.000,4346021.000,1191269.000,1984784.000,1275275.000,914495.000,11736.000,159731.000
DueFromEmployeesCurrent,,,,,,,1808.000,1479.000,1479.000,0.000,0.000,
EmployeeRelatedLiabilitiesCurrent,443686.000,433169.000,390206.000,373520.000,476468.000,329203.000,363568.000,153388.000,138924.000,90763.000,98962.000,81799.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,362503.000,286733.000,180732.000,107081.000,58959.000,58534.000,29294.000,29294.000
EscrowDeposit,,,,,,,425100.000,,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,11343.000,11343.000,11343.000,11343.000,10121.000,10121.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,,,,,,,10121.000,10121.000,10121.000,10121.000,,10121.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,,,,,,,10121.000,10121.000,10121.000,10121.000,,10121.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,,,,,,,10121.000,10121.000,10121.000,10121.000,,10121.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,10121.000,10121.000,10121.000,10121.000,10121.000,10121.000
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,,,10121.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,,,10121.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,,,10121.000,
FiniteLivedIntangibleAssetsNet,162334.000,159797.000,131079.000,128542.000,126004.000,123466.000,120928.000,158783.000,127382.000,113315.000,66081.000,108851.000
InventoryNet,112257.000,106574.000,60851.000,333299.000,331572.000,362335.000,306296.000,290684.000,26269.000,26804.000,19457.000,19124.000
Liabilities,19003000.000,12598400.000,15073511.000,11220272.000,9086529.000,9458768.000,7301376.000,9079259.000,7968941.000,7686972.000,7197395.000,7571059.000
LiabilitiesAndStockholdersEquity,6164799.000,4319467.000,4543487.000,4529082.000,3398640.000,3151216.000,2684516.000,2644159.000,1232140.000,816594.000,542094.000,296051.000
LiabilitiesCurrent,12371894.000,6332289.000,8724066.000,10796434.000,8579357.000,8868262.000,7301376.000,9079259.000,7968941.000,7686972.000,7197395.000,7571059.000
LiabilitiesNoncurrent,6631106.000,6266111.000,6349445.000,423838.000,507172.000,590506.000,,,,,,
LongTermNotesPayable,6354652.000,6266111.000,6349445.000,423838.000,507172.000,590506.000,,,,,,
LossContingencyAccrualCarryingValueCurrent,,,,,,,141700.000,,,,,
LossContingencyRangeOfPossibleLossMaximum,,,,,,,130000.000,,,,,
NotesPayable,,,,,1305756.000,2529171.000,3102006.000,3860909.000,5032471.000,5087401.000,5245000.000,5328700.000
NotesPayableCurrent,,171875.000,2068016.000,746736.000,798584.000,1938665.000,3102006.000,3860909.000,5032471.000,5087401.000,5245000.000,5328700.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,,586048.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,,284447.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,,23049.000,,,,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,,278552.000,,,,,
OperatingLossCarryforwards,,,,,,,66364000.000,,,,69240000.000,
OtherAccruedLiabilitiesCurrent,50056.000,78526.000,175008.000,185792.000,273279.000,221031.000,299728.000,459793.000,470268.000,628467.000,802364.000,913601.000
OtherAssetsNoncurrent,707630.000,635953.000,660361.000,561674.000,456075.000,411903.000,359396.000,299883.000,246477.000,209897.000,177103.000,144231.000
OtherLiabilitiesCurrent,1529564.000,1443044.000,1067649.000,679068.000,276455.000,,,,,,,
OtherLiabilitiesNoncurrent,276454.000,,,,,,,,,,,
OtherReceivablesGrossCurrent,,,,,1584.000,,,,,,,
PreferredStockNoParValue,,,,,,,,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsNoncurrent,545296.000,476156.000,406004.000,335852.000,265700.000,226794.000,196292.000,118391.000,115853.000,96582.000,111022.000,35380.000
PrepaidExpenseCurrent,208429.000,238043.000,203973.000,171455.000,149247.000,178008.000,90067.000,75966.000,71443.000,44366.000,15136.000,1501.000
PropertyPlantAndEquipmentNet,1956636.000,1732177.000,1417134.000,1162059.000,839324.000,664750.000,572107.000,477613.000,108225.000,85837.000,64282.000,33597.000
RestrictedCashAndCashEquivalentsAtCarryingValue,,,,,,,140700.000,425100.000,,,,
