,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AllocatedShareBasedCompensationExpense,,8400000.000,8700000.000,,6800000.000,10900000.000,8800000.000,8826000.000,8800000.000,12700000.000
AmortizationOfAcquiredIntangibleAssets,,,,,,,4110000.000,,5220000.000,5221000.000
AmortizationOfDebtDiscountPremium,,2500000.000,2600000.000,,2700000.000,2800000.000,,,,
AmortizationOfFinancingCostsAndDiscounts,2591000.000,,,,2749000.000,,,,3103000.000,
AmortizationOfIntangibleAssets,,,,,,,,,5220000.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,5800000.000,5800000.000,,,,
AssetImpairmentCharges,3000000.000,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainLossNet,4000.000,,,,,,,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,,3178000.000,53200000.000,-9843000.000,-115708000.000,-2930000.000,-3022000.000
BusinessExitCosts,,10700000.000,10700000.000,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-15169000.000,,,,-38529000.000,,,,,
ComprehensiveIncomeNetOfTax,,-54438000.000,-37254000.000,,-55462000.000,-105400000.000,17843000.000,-42683000.000,-33703000.000,-53850000.000
ContractsRevenue,,67956000.000,75041000.000,,72031000.000,72704000.000,70744000.000,72937000.000,70307000.000,81828000.000
CostOfGoodsSold,,,,,,,496000.000,,1968000.000,2043000.000
CurrentIncomeTaxExpenseBenefit,32000.000,,,,,,,,,
DebtInstrumentConvertibleConversionRatio,,,,,25.221,,,,,
DebtInstrumentInterestRateDuringPeriod,,,,,0.040,,,,,
Depreciation,,,,,,,,,1989000.000,
DepreciationAndAmortization,1634000.000,,,,1274000.000,,,,,
DistributionAndServicingFees,,,,,,,-986000.000,,,
EarningsPerShareBasic,-0.780,-0.860,-0.580,3.420,,-1.650,0.260,,-0.470,-0.730
EarningsPerShareBasicAndDiluted,,,,,-0.880,,,,-0.470,-0.730
EarningsPerShareDiluted,-0.780,-0.860,-0.580,3.410,,-1.650,0.250,,-0.470,-0.730
FairValueLiabilitiesMeasuredOnRecurringBasisDebtInstrumentValuationTechniquesChangeInTechniqueQuantificationOfEffect,,,,,282000.000,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncome,,,,,1500000.000,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,-78377000.000,,-33653000.000,-53151000.000
