,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,,,,,,,,,-1500000.000,,,,-1400000.000,,,,
AllocatedShareBasedCompensationExpense,,,,,2400000.000,2000000.000,1900000.000,1800000.000,1400000.000,1400000.000,1200000.000,1200000.000,1200000.000,1000000.000,1100000.000,1100000.000,1200000.000,1500000.000,1500000.000,200000.000,1100000.000,200000.000,1000000.000,1000000.000,1000000.000
AmortizationOfIntangibleAssets,,5100000.000,5200000.000,,4800000.000,5100000.000,5300000.000,5300000.000,5100000.000,5100000.000,5100000.000,5100000.000,4900000.000,5100000.000,5200000.000,5200000.000,4900000.000,5200000.000,5500000.000,5600000.000,5400000.000,5300000.000,5500000.000,5600000.000,5600000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,2100000.000,2300000.000,,2700000.000,3000000.000,2900000.000,-5700000.000,3600000.000,3300000.000,3000000.000,-6700000.000,2800000.000,2800000.000,2500000.000,-5400000.000,2000000.000,1800000.000,1900000.000,-3900000.000,1300000.000,100000.000,13481.000,-1044181.000,158074.000
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,,,,,,,,,,,,,,,,371000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-11849000.000,,,,4794000.000,,,,37405000.000,,,,6628000.000,,,,19847000.000,,,,19090000.000,,,,26691000.000
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,0.210,,0.210,0.210,0.210,,0.210,0.210,0.210,,0.210
ComprehensiveIncomeNetOfTax,31886000.000,36428000.000,34469000.000,30367000.000,25591000.000,24726000.000,24425000.000,20443000.000,20179000.000,21548000.000,17710000.000,-65565000.000,9621000.000,7709000.000,15483000.000,14398000.000,11733000.000,12442000.000,12999000.000,14051000.000,13216000.000,14786000.000,14649000.000,13668000.000,14974000.000
ConcentrationRiskPercentage1,,,,,,,,,0.100,0.100,,,,,,,,,,,,,,,
CostOfServices,599767000.000,644647000.000,629181000.000,580084000.000,582867000.000,544110000.000,551493000.000,535424000.000,562297000.000,523039000.000,493604000.000,416690000.000,393009000.000,399789000.000,382787000.000,348623000.000,314149000.000,326243000.000,334991000.000,345314000.000,333514000.000,341511000.000,356294000.000,338456000.000,357047000.000
DeferredIncomeTaxExpenseBenefit,-1092000.000,,,,2029000.000,,,,2425000.000,,,,2825000.000,,,,2966000.000,,,,3595000.000,,,,3653000.000
DepreciationAndAmortization,7252000.000,,,,21724000.000,,,,7686000.000,,,,7592000.000,,,,7178000.000,,,,7622000.000,,,,7674000.000
DistributedEarnings,,15413000.000,0.000,,-7745000.000,7756000.000,7771000.000,23268000.000,7783000.000,7802000.000,7804000.000,7811000.000,7814000.000,7824000.000,7829000.000,7846000.000,7860000.000,7885000.000,7887000.000,7911000.000,7914000.000,8004000.000,8089000.000,8131000.000,8140000.000
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount,,,,,0.000,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EmployeeServiceShareBasedCompensationTaxBenefitRealizedFromExerciseOfStockOptions,,,,,-300000.000,,,,,,,,,,,,,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,,749981000.000,733160000.000,,675216000.000,637775000.000,643853000.000,620651000.000,644820000.000,603997000.000,,,,,,,,,,,,,,,
