,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AcceleratedShareRepurchasesInitialPricePaidPerShare,,,,,,,,,,,,,29.620,,,,,,,,,,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-1482000.000,,,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,9000000.000,,,,11400000.000,,,,11600000.000,,,,10400000.000,,,,10300000.000,
AmortizationOfFinancingCostsAndDiscounts,6255000.000,,,,2210000.000,,,,2394000.000,,,,2071000.000,,,,1955000.000,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,190000.000,470000.000,,850000.000,2090000.000,2600000.000,-3440000.000,1900000.000,1230000.000,1100000.000,-2130000.000,1600000.000,550000.000,284000.000,-1334000.000,,,,,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,807637000.000,755632000.000,,,460283000.000,0.000,,,
AssetRetirementObligationAccretionExpense,,,,,1741000.000,,,,1239000.000,,,,1133000.000,,,,1163000.000,,,,,,,,,
AssetRetirementObligationLiabilitiesIncurred,,,,,3573000.000,,,,360000.000,,,,,,,,840000.000,,,,,,,,,
AssetRetirementObligationLiabilitiesSettled,,,,,2661000.000,,,,87000.000,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,,,,,,3500000.000,,1600000.000,,,,102000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,,,2200000.000,,1000000.000,,,,64000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,900000.000,,,,,,,,,,,,,,,,,,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,,,31100000.000,,,,,,,10600000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesIncomeTaxExpenseOnChangeInUnrealizedHoldingGainOrLoss,,,,,,,1300000.000,,600000.000,,,,38000.000,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,,0.710,,0.610,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,,0.750,,0.600,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,110648000.000,,95184000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,,1223783000.000,,1186161000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentIntangibles,,,,,1922300000.000,,,,,,,,,,,,,,,,,,,,,
CapitalLeasesIncomeStatementInterestExpense,,,,,700000.000,,,,600000.000,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,20355000.000,,,,55484000.000,,,,-14124000.000,,,,-50199000.000,,,,21783000.000,,,,-4779000.000,,,,-35825000.000,
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,0.080,0.080,0.080,,0.080,0.080,0.080,,0.080,,,,,
ComprehensiveIncomeNetOfTax,,,,,59825000.000,133038000.000,103301000.000,77390000.000,51377000.000,66309000.000,81784000.000,-309071000.000,38063000.000,80643000.000,65418000.000,54913000.000,-25814000.000,-770755000.000,-828680000.000,-238883000.000,-91558000.000,-488025000.000,-122691000.000,-219179000.000,-89935000.000,-57784000.000
CostOfGoodsAndServicesSold,233845000.000,271370000.000,301065000.000,311723000.000,546767000.000,711284000.000,708608000.000,722814000.000,707487000.000,711883000.000,748052000.000,734428000.000,651605000.000,650293000.000,721692000.000,711243000.000,582246000.000,465533000.000,420485000.000,397548000.000,285339000.000,258635000.000,258168000.000,321132000.000,321986000.000,351802000.000
CostOfServices,,,,,,,,,,,,,,552411000.000,597992000.000,,481993000.000,387565000.000,355373000.000,350722000.000,252543000.000,226752000.000,223766000.000,272880000.000,296434000.000,322795000.000
DeferredIncomeTaxExpenseBenefit,-2305000.000,,,,-10979000.000,,,,19724000.000,,,,6495000.000,,,,-4767000.000,,,,-55371000.000,,,,-29747000.000,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,937000.000,732000.000,,1263000.000,-586000.000,2318000.000,-273000.000,2707000.000,1243000.000,14000.000,-2290000.000,2707000.000,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,-366000.000,-438000.000,,0.000,641000.000,397000.000,248000.000,128000.000,-211000.000,-102000.000,-591000.000,636000.000,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,-1514000.000,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,,,-5954000.000,-3895000.000,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,544000.000,,,,,,,,3311000.000,4063000.000,,-1373000.000,,,,,,0.000,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,,,,,39002000.000,38524000.000,,,,,,,,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,2674000.000,5884000.000,,,,,,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,0.200,0.600,0.750,0.240,0.430,0.900,0.600,0.520,0.400,0.430,0.440,-1.970,0.230,0.480,0.520,0.430,-0.070,-5.220,-5.450,-1.590,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,-0.570,-3.110,-0.780,,-0.600,-0.420
EarningsPerShareDiluted,0.190,0.590,0.730,0.250,0.420,0.890,0.590,0.520,0.400,0.430,0.430,-1.960,0.230,0.470,0.510,0.440,-0.070,-5.220,-5.450,-1.590,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,893000.000,,,,665000.000,,,,-2573000.000,,,,-35000.000,,,,-6147000.000,,,,-4232000.000,,,,2194000.000,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToEntitysCountryOfDomicile,,373068000.000,422045000.000,,795771000.000,1053789000.000,976984000.000,942984000.000,940829000.000,948382000.000,960054000.000,911011000.000,892319000.000,,,,,,,,,,,,,
EntityWideDisclosureOnGeographicAreasRevenueFromExternalCustomersAttributedToForeignCountries,,137738000.000,143297000.000,,171066000.000,189530000.000,202681000.000,235263000.000,194650000.000,211331000.000,228561000.000,217006000.000,169099000.000,,,,,,,,,,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,,,17880000.000,,,,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,5078000.000,,,,843000.000,,,,264000.000,,,,,,,,,,,,,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,,,843000.000,,,,264000.000,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets,,,,,-56100000.000,,,,,,,,,,,,,,,,,,,,,
GainLossOnInterestRateFairValueHedgeIneffectiveness,,,,,,,,,100000.000,,,,600000.000,,,,1300000.000,,,,2700000.000,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,-2294000.000,,,-884000.000,,,,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,86879000.000,95881000.000,95391000.000,105416000.000,176021000.000,157519000.000,163458000.000,165794000.000,150164000.000,156967000.000,157904000.000,168842000.000,155919000.000,146853000.000,154859000.000,166740000.000,150962000.000,129661000.000,123189000.000,106896000.000,103155000.000,82747000.000,86743000.000,73961000.000,75493000.000,76708000.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,575389000.000,740000000.000,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,,,,,,150256000.000,15632000.000,,,,,,,
ImpairmentOfLongLivedAssetsToBeDisposedOf,,,,,,,,,,,,,,,,,,15500000.000,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,75171000.000,93094000.000,,111360000.000,226703000.000,149027000.000,121072000.000,101154000.000,108823000.000,100978000.000,-382540000.000,67660000.000,125487000.000,136101000.000,112941000.000,-2373000.000,-882305000.000,-870412000.000,-304693000.000,-128084000.000,-589498000.000,-160098000.000,-222661000.000,-134425000.000,-92050000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,,,,70157000.000,142823000.000,93887000.000,76275000.000,63727000.000,68559000.000,69835000.000,-313539000.000,42626000.000,79057000.000,85743000.000,73364000.000,-1495000.000,-775132000.000,-816587000.000,-214549000.000,-84536000.000,-468632000.000,-113913000.000,-166259000.000,-89661000.000,-62039000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,,,,,,,,,,,,,,,,,-0.560,-3.090,-0.750,,-0.590,-0.410
IncomeLossFromContinuingOperationsPerBasicShare,,,,,0.560,0.910,0.600,0.500,0.400,0.430,0.440,-1.970,0.270,0.510,0.550,0.480,-0.010,-5.150,-5.420,-1.440,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,0.550,0.900,0.590,0.500,0.400,0.430,0.430,-1.960,0.270,0.500,0.550,0.470,-0.010,-5.150,-5.420,-1.440,,,,,,
