,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31
AdjustmentOfWarrantsGrantedForServices,,,,,,,,,260282.000,,
AdjustmentsToAdditionalPaidInCapitalStockSplit,,,,,23577990.000,,,,,,
AmortizationOfFinancingCosts,85486.000,,,,5057.000,,,,35114.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-87170.000,,,,-5007.000,,
CashPeriodIncreaseDecrease,-918.000,,,,,,,,,,
CostOfGoodsAndServicesSold,0.000,,,,,,,,,,
DebtInstrumentConvertibleIfConvertedValueInExcessOfPrincipal,,,,,,,,,68720.000,,
DefinedContributionPlanEmployerMatchingContributionPercent,,,,,0.030,,,,0.030,,
Depreciation,7145.000,,,,12764.000,,,,15654.000,,
EarningsPerShareBasicAndDiluted,0.000,0.000,0.000,-0.000,-0.060,-0.060,-0.050,-0.030,-0.110,-0.030,-0.030
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,,,,,,,,,-8763.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityPeriodIncreaseDecrease,,,,,,,,,31615.000,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,,,,,,-11273.000,,
GainOnDerivativeInstrumentsPretax,28574.000,15866.000,10755.000,1552.000,,,2311.000,,8763.000,10923.000,4326.000
GrossProfit,0.000,,,,,,,,,,
IncomeLossFromContinuingOperations,,,,,-295070.000,-304128.000,-240669.000,-158483.000,-573833.000,-179205.000,-178187.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-321257.000,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-495762.000,-108812.000,,-293470.000,-304128.000,-240669.000,-158483.000,-572233.000,-179205.000,-178187.000
IncomeTaxExpenseBenefit,1600.000,,,,1600.000,,,,1600.000,,
IncomeTaxesPaid,1600.000,,,,,,,,,,
IncomeTaxesPaidNet,,,,,1600.000,,,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,62549.000,,,,16635.000,,,,24517.000,,
IncreaseDecreaseInAccountsPayableTrade,57905.000,,,,57165.000,,,,20887.000,,
IncreaseDecreaseInAccruedLiabilities,30845.000,,,,20933.000,,,,75224.000,,
IncreaseDecreaseInDerivativeLiabilities,-27028.000,,,,,,,,-8763.000,,
IncreaseDecreaseInDueFromRelatedParties,,,,,-3254.000,,,,,,
IncreaseDecreaseInInventories,0.000,,,,-41887.000,,,,,,
IncreaseDecreaseInPrepaidExpense,0.000,,,,14979.000,,,,2031.000,,
InterestExpense,110644.000,196991.000,54835.000,22493.000,,,,,34632.000,,
InterestExpenseOther,,,,,7935.000,4080.000,16038.000,38992.000,116343.000,47753.000,30747.000
InterestIncomeOther,,2.000,,,11.000,2.000,,,,,
InterestPaid,0.000,,,,,,,,,,
InvestmentIncomeInterest,0.000,,46.000,,,,,,,,
LiabilitiesAssumed1,,,,,12000.000,,,,,,
NetCashProvidedByUsedInFinancingActivities,101431.000,,,,122500.000,,,,152483.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,101431.000,,,,122500.000,,,,152483.000,,
NetCashProvidedByUsedInInvestingActivities,0.000,,,,-3500.000,,,,-1270.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,,,,-3500.000,,,,-1270.000,,
NetCashProvidedByUsedInOperatingActivities,-102349.000,,,,-206170.000,,,,-156220.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-102349.000,,,,-206170.000,,,,-156220.000,,
NetIncomeLoss,-292039.000,-469554.000,-115079.000,,,,,,,,
NetIncomeLossAttributableToNoncontrollingInterest,30818.000,26208.000,-6267.000,41650.000,39955.000,43097.000,16038.000,32631.000,48657.000,22938.000,19869.000
NetIncomeLossAvailableToCommonStockholdersBasic,,-495762.000,-108812.000,,-255115.000,-261031.000,-238358.000,-112125.000,-525176.000,-156267.000,-158318.000
NonoperatingIncomeExpense,-81308.000,-165566.000,210745.000,-6076.000,-7924.000,-4078.000,-16343.000,9493.000,-104309.000,-21471.000,-23094.000
NotesAssumed1,,,,,,,,,15000.000,,
OperatingExpenses,239949.000,330196.000,319557.000,315984.000,285546.000,300050.000,224326.000,167976.000,467924.000,157734.000,155093.000
OperatingIncomeLoss,-239949.000,-330196.000,-319557.000,-315984.000,-285546.000,-300050.000,-224326.000,-167976.000,-467924.000,-157734.000,-155093.000
OtherNonoperatingIncomeExpense,762.000,15557.000,254779.000,14821.000,,,-2616.000,,,,
PaidInKindInterest,2700.000,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,0.000,,,,3500.000,,,,1270.000,,
ProceedsFromConvertibleDebt,,,,,,,,,32500.000,,
ProceedsFromIssuanceOfCommonStock,70181.000,,,,145000.000,,,,80000.000,,
ProceedsFromNotesPayable,32500.000,,,,,,,,,,
ProceedsFromRelatedPartyDebt,0.000,,,,,,,,34000.000,,
ProceedsFromRepaymentsOfBankOverdrafts,,,,,,,,,5983.000,,
ProfitLoss,-322857.000,-495762.000,-108812.000,-322060.000,-295070.000,-304128.000,-254396.000,-144756.000,-573833.000,-179205.000,-178187.000
RepaymentsOfRelatedPartyDebt,0.000,,,,22500.000,,,,,,
ResearchAndDevelopmentExpense,161365.000,141229.000,141810.000,44640.000,143310.000,105069.000,102851.000,59785.000,170135.000,84099.000,85223.000
Revenues,0.000,,,,,,,,,,
SalesRevenueNet,0.000,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,78584.000,188967.000,177747.000,271344.000,142236.000,194981.000,121475.000,108191.000,297789.000,73635.000,69870.000
ShareBasedCompensation,,,,,,,,,260282.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,,,,-1000.000,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,,,400000.000,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,,,,145.000,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,,,0.880,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,751261102.000,1491553242.000,,4623019.000,4868305.000,4995291.000,-9606426.000,5281524.000,5515667.000,6730049.000
