,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
AccountsPayableAndAccruedLiabilitiesCurrent,,,,49.000,,,,5076971.000,7642319.000,9657929.000,1169587.000
AccountsPayableCurrent,,,,,3028213.000,1729667.000,2036918.000,2168208.000,2564765.000,1819371.000,2131930.000
AccountsReceivableNetCurrent,,,,,110790.000,165768.000,84800.000,48630.000,77844.000,38707.000,19721.000
AccruedLiabilitiesAndOtherLiabilities,,,,,,,,3361841.000,,,
AccruedLiabilitiesCurrent,,,,,2414897.000,2528574.000,3583163.000,,,,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,16061841.000,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,4802044.000,,,
AdditionalPaidInCapital,,,,21146.000,-6488542.000,725541.000,796535.000,796535.000,796535.000,796535.000,796535.000
Assets,7100.000,15752.000,,350656.000,52912039.000,50139441.000,49623189.000,8569749.000,8988155.000,8198909.000,9172857.000
AssetsCurrent,,,,,7981738.000,5987554.000,6255646.000,5982088.000,6671618.000,6110575.000,7188456.000
CashAndCashEquivalentsAtCarryingValue,7100.000,4752.000,,656.000,766257.000,530314.000,1004497.000,899205.000,1211052.000,1005938.000,2260337.000
CommonStockParOrStatedValuePerShare,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,,,,25000000.000,300000000.000,300000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,,,,16062600.000,3582470.000,3582470.000,600928.000,600949.000,600949.000,600949.000,600949.000
CommonStockSharesOutstanding,,,,16062600.000,3582470.000,3582470.000,600928.000,600949.000,600949.000,600949.000,600949.000
CommonStockValueOutstanding,300.000,300.000,,1606.000,358.000,358.000,60.000,60.000,60.000,,60.000
ConvertibleSubordinatedDebtCurrent,,,,,,,,12700000.000,,,
CustomerAdvancesAndDeposits,,,,,,,,584818.000,456618.000,442112.000,440154.000
CustomerDepositsCurrent,,,,,442728.000,484138.000,497606.000,,,,
DeferredFinanceCostsNet,,,,,1688597.000,1047528.000,406460.000,305313.000,139541.000,,
DeferredIncomeTaxLiabilities,,,,,,,,483000.000,,,
DeferredTaxAssetsDeferredIncome,0.000,0.000,0.000,,,,,,,,
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,,1675000.000,,,
DeferredTaxAssetsGross,,,,,,,,6124000.000,,,
DeferredTaxAssetsInventory,,,,,,,,241000.000,,,
DeferredTaxAssetsNet,,,,,,,,483000.000,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,3996000.000,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,5641000.000,,,
DeferredTaxLiabilities,,,,,2788907.000,2893621.000,3143961.000,,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,2477286.000,950932.000,950931.000,950931.000
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,483000.000,,,
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-3590.000,-6938.000,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationCash,,,,350000.000,,,,683036.000,683036.000,684881.000,684881.000
DueToOfficersOrStockholdersCurrent,,,,350000.000,,,,,,,
DueToRelatedPartiesCurrent,,22390.000,21515.000,8800.000,,,,,,,
FurnitureAndFixturesGross,,,,,,,,2398403.000,,,
IntangibleAssetsNetIncludingGoodwill,,,,,40795177.000,40765207.000,40825147.000,,,,
InterestPayableCurrent,,,,,,,,,,,10775707.000
InventoryNet,,11000.000,,,6192529.000,4446883.000,4435841.000,4659487.000,4881704.000,4400216.000,4548927.000
LeaseholdImprovementsGross,,,,,,,,4002953.000,,,
Liabilities,10390.000,22390.000,,358849.000,59431565.000,58445859.000,60124547.000,61223222.000,62530573.000,63786282.000,66384248.000
