,2011-05-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,1394.000,
AccountsPayableCurrent,177.000,,,,,,,300.000
AccountsPayableRelatedParties,17605.000,,,,,,,
AccountsPayableRelatedPartiesCurrent,,,,,14033.000,,,
AdditionalPaidInCapital,40120.000,,,80001.000,80001.000,80001.000,80001.000,80001.000
Assets,291.000,,,141.000,66.000,23.000,0.000,146.000
AssetsCurrent,291.000,,,141.000,66.000,23.000,,146.000
Cash,291.000,,,141.000,66.000,23.000,,
CashAndCashEquivalentsAtCarryingValue,,255.000,,,66.000,23.000,,146.000
CommonStockAdditionalSeriesParOrStatedValuePerShare,0.000,,,0.000,,,,
CommonStockParOrStatedValuePerShare,,,,,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,,,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,4804000.000,,,89642640.000,89642640.000,89642640.000,89642640.000,89642640.000
CommonStockSharesOutstanding,,,,,,89642640.000,89642640.000,89642640.000
CommonStockValue,480.000,,,8964.000,8964.000,8964.000,8964.000,8964.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,41560.000
DeferredTaxAssetsValuationAllowance,,,,,,,,41560.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,-58091.000,,,-94386.000,103151.000,110044.000,114884.000,122237.000
InterestPayableCurrent,,,,,219.000,480.000,,1896.000
LiabilitiesAndStockholdersEquity,291.000,,,141.000,66.000,23.000,0.000,146.000
LiabilitiesCurrent,17782.000,,,5562.000,14252.000,21102.000,25919.000,33418.000
NotesPayableRelatedPartiesClassifiedCurrent,,,,,,20622.000,24525.000,31222.000
PreferredStockParOrStatedValuePerShare,0.000,,,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,50000000.000,,,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
PreferredStockSharesIssued,,,,,,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,,,,0.000,0.000,0.000
SaleOfStockPricePerShare,0.000,,,,,,,
SharesIssued,,,,-5421.000,,,,
StockholdersEquity,-17491.000,,,-5421.000,-14186.000,-21079.000,-25919.000,-33272.000
SubsidiaryOrEquityMethodInvesteePricePerShare,0.050,,,,,,,
