,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AdvertisingExpense,,,,3774000.000,3442000.000,,2436000.000,1759000.000,1830000.000,1917000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,,,,2600000.000,,,
AmortizationOfIntangibleAssets,,,,1791000.000,1792000.000,,1659000.000,1711000.000,1676000.000,1753000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,10359.000,13054.000,,19610.000,26668.000,359.000,19469.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,0.000,,,
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,,,,,,,0.000,,,
AvailableForSaleSecuritiesGrossRealizedLosses,,,,,,,0.000,,,
BankOwnedLifeInsuranceIncome,1578000.000,1612000.000,1746000.000,3769000.000,1660000.000,1450000.000,1557000.000,1424000.000,1640000.000,1614000.000
BusinessAcquisitionProFormaEarningsPerShareBasic,,,,5.170,0.490,,,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,5.130,0.490,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,320886000.000,30598000.000,,,,,
BusinessCombinationAcquisitionRelatedCosts,,,,2262000.000,1584000.000,,1036000.000,2268000.000,3896000.000,3637000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,7544000.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset,,,,0.000,0.000,,0.000,,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,,,,1513000.000,759000.000,,586000.000,,,
CashAcquiredFromAcquisition,,,121098000.000,,,,6877000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-139283000.000,,,,-17514000.000,,,
CertainLoansAcquiredInTransferNotAccountedForAsDebtSecuritiesAccretableYieldReclassificationsFromNonaccretableDifference,,,,730000.000,-678000.000,,,,,
CommonStockDividendsPerShareDeclared,,,,,0.150,,0.000,0.550,0.200,0.200
ComprehensiveIncomeNetOfTax,32083000.000,50892000.000,17747000.000,322417000.000,38759000.000,6395000.000,18042000.000,2436000.000,20216000.000,
DeferredIncomeTaxExpenseBenefit,-3826000.000,0.000,0.000,3681000.000,4945000.000,-300506000.000,,,,
DepreciationAndAmortization,,,10921000.000,,,,10692000.000,,,
DepreciationNonproduction,,,,2923000.000,2918000.000,,2934000.000,3058000.000,3358000.000,3743000.000
DividendsPreferredStock,0.000,0.000,,,,,,,,
EarningsPerShareBasic,0.120,0.180,0.210,5.170,0.490,0.340,0.360,0.450,0.340,0.350
EarningsPerShareDiluted,0.120,0.180,0.210,5.130,0.490,0.310,0.360,0.440,0.330,0.350
EffectiveIncomeTaxRateContinuingOperations,,,,,,,0.000,0.000,0.000,0.290
FederalDepositInsuranceCorporationPremiumExpense,,,,1989000.000,2159000.000,,1930000.000,1634000.000,1129000.000,1134000.000
FeesAndCommissionsDepositorAccounts,12946000.000,12332000.000,12740000.000,14131000.000,14675000.000,14227000.000,14130000.000,15618000.000,15380000.000,15789000.000
FeesAndCommissionsMortgageBanking,10794000.000,16360000.000,16164000.000,24652000.000,28502000.000,27591000.000,13794000.000,23180000.000,13494000.000,9488000.000
FeesAndCommissionsOther,11000.000,3502000.000,,,,,,,,
FinancingReceivableAllowanceForCreditLossesRecovery,,,,9858000.000,4514000.000,,2502000.000,2634000.000,3337000.000,8037000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,,-14887000.000,-10479000.000,,-7174000.000,-7758000.000,-4488000.000,47781000.000
FinancingReceivableModificationsPostModificationRecordedInvestment2,,,,,,,,,513000.000,
FinancingReceivableModificationsPreModificationRecordedInvestment2,,,,,,,,,496000.000,
GainLossOnSaleOfLoansAndLeases,,,13939000.000,,,,10614000.000,,,
GainLossOnSaleOfMortgageLoans,,,600000.000,2811000.000,476000.000,485000.000,25000.000,1194000.000,1135000.000,1644000.000
GainLossOnSaleOfSecuritiesNet,8297000.000,0.000,142000.000,9321000.000,3129000.000,11243000.000,0.000,0.000,0.000,0.000
GainsLossesOnExtinguishmentOfDebt,,,,-2664000.000,0.000,,,0.000,0.000,
GainsLossesOnSalesOfOtherRealEstate,,,-4551000.000,,,,-214000.000,,,
GoodwillAcquiredDuringPeriod,,,,,,,0.000,,,
ImpairedFinancingReceivableAverageRecordedInvestment,,,,272521000.000,238890000.000,,184231000.000,162933000.000,130347000.000,-326308000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,1505000.000,1566000.000,,2668000.000,967000.000,555000.000,907000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,7555000.000,11328000.000,13291000.000,32044000.000,30598000.000,17745000.000,32531000.000,40739000.000,29104000.000,29134000.000
IncomeTaxExpenseBenefit,0.000,0.000,0.000,-288842000.000,0.000,-3201000.000,9853000.000,12978000.000,8056000.000,6980000.000
IncomeTaxesPaidNet,,,31000.000,,,,687000.000,,,
IncreaseDecreaseInDeposits,,,-231869000.000,,,,43499000.000,,,
IncreaseDecreaseInFederalFundsPurchasedAndSecuritiesSoldUnderAgreementsToRepurchaseNet,,,10032000.000,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,1556000.000,,,,-419000.000,,,
IncreaseDecreaseInOperatingAssets,,,-2085000.000,,,,2253000.000,,,
IncreaseDecreaseInOtherAccruedLiabilities,,,2308000.000,,,,-47044000.000,,,
IncreaseDecreaseInOtherLoans,,,130476000.000,,,,129515000.000,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,11321000.000,,,,-2148000.000,,,
IncreaseDecreaseInRestrictedCash,,,17003000.000,,,,-16826000.000,,,
