,2016-12-31
AmortizationOfIntangibleAssets,1700.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-2796.000
CostOfRevenue,2157.000
CurrentIncomeTaxExpenseBenefit,91810.000
Depreciation,426.000
DepreciationDepletionAndAmortization,2126.000
EarningsPerShareBasicAndDiluted,-0.100
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,0.036
GrossProfit,2706.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,11583.000
IncreaseDecreaseInAccountsReceivable,8.000
IncreaseDecreaseInInventories,10391.000
IncreaseDecreaseInPrepaidExpense,4266.000
IssuanceOfStockAndWarrantsForServicesOrClaims,11250.000
LaborAndRelatedExpense,91896.000
MarketingExpense,36348.000
NetCashProvidedByUsedInFinancingActivities,231088.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,231088.000
NetCashProvidedByUsedInOperatingActivities,-233884.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-233884.000
NetIncomeLoss,-244178.000
OperatingExpenses,246884.000
OperatingIncomeLoss,-244178.000
OtherGeneralAndAdministrativeExpense,4039.000
ProceedsFromContributedCapital,216580.000
ProceedsFromIssuanceOfCommonStock,14508.000
ProfessionalFees,58652.000
Revenues,4863.000
SalesRevenueGoodsNet,4488.000
SalesRevenueNet,4863.000
SalesRevenueServicesNet,375.000
StockIssuedDuringPeriodValueIssuedForServices,11250.000
StockIssuedDuringPeriodValueNewIssues,14508.000
StockIssuedDuringPeriodValueOther,216580.000
TravelAndEntertainmentExpense,6443.000
UtilitiesCosts,3341.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,2442404.000
