,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31
AccountsPayableCurrent,,,,,-8051.000,14387.000,13967.000,2384.000,11592.000,,
AccountsPayableCurrentAndNoncurrent,,,,-2640.000,,,,-12003.000,5453.000,,
AccountsPayableRelatedPartiesCurrent,,,,23965.000,18554.000,18554.000,6400.000,,,,
AccountsReceivableNet,,,,,,,,,,2210.000,
AccruedLiabilitiesCurrentAndNoncurrent,,,,,,,,,6653.000,,
AccruedLiabilitiesForCommissionsExpenseAndTaxes,,,,,3300.000,-1800.000,600.000,1200.000,-2795.000,67576.000,-5113.000
AccruedRentCurrent,1800.000,,2100.000,,,,1800.000,2400.000,,,
AdditionalPaidInCapital,194350.000,194350.000,194350.000,729843.000,919817.000,1032692.000,1040187.000,1040187.000,990187.000,1085825.000,1147010.000
Assets,128087.000,110380.000,82262.000,783710.000,840687.000,1130269.000,1073274.000,1103057.000,1130008.000,96971.000,76579.000
AssetsCurrent,128087.000,110380.000,77517.000,176992.000,339560.000,644392.000,600147.000,642680.000,112966.000,90976.000,70834.000
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,,,569415.000,,
AvailableForSaleSecuritiesNoncurrent,52237.000,,,,,,,,,,
CapitalUnitsAuthorized,300000000.000,,,,,,,,,,
CapitalizedComputerSoftwareNet,,,4745.000,4495.000,4245.000,3995.000,3745.000,3495.000,3245.000,5995.000,5745.000
Cash,,34358.000,48075.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,75850.000,,48075.000,131055.000,301175.000,444775.000,553140.000,394298.000,67308.000,48787.000,64546.000
CashCashEquivalentsAndShortTermInvestments,75850.000,,,,,,,,,,
DeferredRevenue,,,,,,33953.000,,,,35335.000,35335.000
FiniteLivedCustomerListsGross,,,,145833.000,133333.000,120833.000,108333.000,95833.000,83333.000,,
Goodwill,,,,456390.000,361049.000,361049.000,361049.000,361049.000,361049.000,,
InventoryNet,,,,,,4156.000,4156.000,4894.000,4959.000,4959.000,6288.000
InvestmentOwnedAtFairValue,52237.000,,,,,,,,,,
Liabilities,,,,26665.000,21854.000,68094.000,22167.000,4784.000,68245.000,168498.000,102185.000
LiabilitiesAndStockholdersEquity,128087.000,110380.000,82262.000,783710.000,840687.000,1130269.000,1073274.000,1103057.000,1130008.000,96971.000,76579.000
LiabilitiesCurrent,1890.000,3000.000,3600.000,26665.000,21854.000,68094.000,22167.000,4784.000,68245.000,168498.000,102185.000
LoansAndLeasesReceivableRelatedParties,,,,150.000,1000.000,,,687.000,,,
LoansPayableCurrent,,,,,,,,,50000.000,50000.000,50000.000
MarketableSecurities,,,29442.000,45787.000,36935.000,195461.000,42851.000,242801.000,40699.000,35020.000,
MinorityInterest,,,,165835.000,189445.000,540468.000,564558.000,613831.000,578371.000,71289.000,76582.000
NotesPayableRelatedPartiesClassifiedCurrent,90.000,,,,,,,,,,
OtherAccountsPayableAndAccruedLiabilities,,,,,,,-420.000,,,,2210.000
OtherAccruedLiabilitiesNoncurrent,,,,2700.000,3300.000,1200.000,,,,72992.000,2692.000
OtherAssets,,,,602223.000,496882.000,481882.000,469382.000,456882.000,1013797.000,,
OtherAssetsCurrent,,,,,-2500.000,,,,,-2210.000,
OtherCashEquivalentsAtCarryingValue,28481.000,,,,,,,,,,
OtherLiabilities,,,1500.000,,,,,,,,
OtherLiabilitiesCurrent,,,600.000,,,,,,,,
OtherNotesPayable,,,,,,,,,,10171.000,14158.000
PreferredStockParOrStatedValuePerShare,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,,,,2000.000,2000.000,,,,,
PrepaidExpenseCurrentAndNoncurrent,,,,2000.000,2500.000,,,,,,
RelatedPartyTransactionDueFromToRelatedPartyCurrent,,,,,,-5051.000,,,,-18554.000,
RetainedEarningsAccumulatedDeficit,-70113.000,-88930.000,-117648.000,-140950.000,-292858.000,-513489.000,-556147.000,-558254.000,-509304.000,-1231162.000,-1251734.000
StockholdersEquity,126197.000,107380.000,78662.000,,,,,,,,
StockholdersEquityAttributableToParentNotAllowableForNetCapital,,,,591210.000,629388.000,521707.000,486549.000,484442.000,483392.000,-142816.000,-102188.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,757045.000,818833.000,1062175.000,1051107.000,1098273.000,1061763.000,-71527.000,-25606.000
