,2011-06-30
AccountsPayableAndOtherAccruedLiabilitiesCurrent,3997122.000
AccountsPayableCurrent,2899208.000
AccountsReceivableNetCurrent,3441405.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,902747.000
AdditionalPaidInCapital,657575.000
Assets,29626795.000
AssetsCurrent,4675918.000
Cash,982481.000
CashAndCashEquivalentsAtCarryingValue,982481.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,140000000.000
CommonStockSharesIssued,31857000.000
CommonStockSharesOutstanding,31857000.000
CommonStockValue,31857.000
DeferredTaxLiabilitiesNoncurrent,619102.000
DueFromRelatedPartiesCurrent,199702.000
DueToRelatedPartiesCurrent,274890.000
DueToRelatedPartiesNoncurrent,137054.000
InventoryNet,15666.000
Liabilities,7927376.000
LiabilitiesAndStockholdersEquity,29626795.000
LiabilitiesCurrent,7171220.000
LiabilitiesNoncurrent,756156.000
LongTermDebtCurrent,0.000
MinorityInterest,1407956.000
OilAndGasPropertyFullCostMethodNet,24554731.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,10000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PreferredStockValue,0.000
PrepaidExpenseAndOtherAssetsCurrent,36664.000
PropertyPlantAndEquipmentNet,24950877.000
PropertyPlantAndEquipmentOther,52814.000
RentalProperties,343332.000
RetainedEarningsAccumulatedDeficit,18699284.000
StockholdersEquity,20291463.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,21699419.000
