,2011-07-31
AccountsPayableAndOtherAccruedLiabilitiesCurrent,448035.000
AccountsPayableCurrent,731745.000
AccountsReceivableNetCurrent,315829.000
AccruedProfessionalFeesCurrent,1090584.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-267518.000
AdditionalPaidInCapital,7679269.000
Assets,2593531.000
AssetsCurrent,1583269.000
CapitalizedSoftwareDevelopmentCostsForSoftwareSoldToCustomers,790381.000
CashAndCashEquivalentsAtCarryingValue,13369.000
CommonStockParOrStatedValuePerShare,0.001
CommonStockSharesAuthorized,600000000.000
CommonStockSharesIssued,80350217.000
CommonStockSharesOutstanding,80350217.000
CommonStockValue,80350.000
ConvertibleNotesPayableCurrent,722718.000
DebtInstrumentUnamortizedDiscount,175000.000
DerivativeLiabilitiesCurrent,1753062.000
EmployeeRelatedLiabilitiesCurrent,187010.000
FiniteLivedIntangibleAssetsNet,83272.000
InterestPayableCurrent,324102.000
InventoryNet,139694.000
LiabilitiesAndStockholdersEquity,2593531.000
LiabilitiesCurrent,6584352.000
NotesPayableRelatedPartiesClassifiedCurrent,412000.000
NotesPayableToBankCurrent,34225.000
OtherAssets,873653.000
PreferredStockParOrStatedValuePerShare,0.001
PreferredStockSharesAuthorized,100000000.000
PreferredStockSharesIssued,0.000
PreferredStockSharesOutstanding,0.000
PrepaidExpenseAndOtherAssetsCurrent,93427.000
PrepaidInterest,1020950.000
PropertyPlantAndEquipmentNet,136609.000
RetainedEarningsAccumulatedDeficit,-11482923.000
ShortTermBankLoansAndNotesPayable,988871.000
StockholdersEquity,-3990821.000
