,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AssetImpairmentCharges,,,0.000,,
AssetRetirementObligationAccretionExpense,401000.000,376400.000,411700.000,430700.000,576300.000
AssetRetirementObligationCashPaidToSettle,-30700.000,-1100.000,100.000,,
AssetRetirementObligationLiabilitiesSettled,,-1100.000,100.000,1700.000,1500.000
AssetRetirementObligationRevisionOfEstimate,333500.000,-190500.000,-727800.000,2554100.000,-648800.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-563000.000,-247700.000,9300.000,-263300.000,
ComprehensiveIncomeNetOfTax,2202200.000,-9932900.000,-516900.000,-11825500.000,-6662700.000
ContributionOfProperty,-12300.000,,,,
CostsAndExpenses,,16670700.000,8215400.000,18876000.000,9236700.000
DepletionOfOilAndGasProperties,4463800.000,4283100.000,3111500.000,2085500.000,542900.000
DerivativeGainLossOnDerivativeNet,,,,,87900.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,22800.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,4630800.000,9887300.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,34472300.000,57305600.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts,,135300.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureDevelopmentCosts1,,,-143800.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,12825500.000,23987100.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,21511500.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,,-33174700.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,8194700.000,14099800.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,11399800.000,4221300.000,,,
GainLossOnFairValueHedgeIneffectivenessNet,,0.000,0.000,0.000,
GainLossOnSaleOfDerivatives,,,,-92600.000,69300.000
GeneralAndAdministrativeExpense,454700.000,457800.000,418800.000,392400.000,335100.000
GeneralPartnerDistributions,1283000.000,0.000,,,
GrossProfit,,3012700.000,3506200.000,3189300.000,-334000.000
ImpairmentOfLongLivedAssetsHeldForUse,,7326900.000,,,
IncreaseDecreaseDueFromAffiliates,-1553000.000,-586700.000,-106000.000,-595400.000,-491700.000
IncreaseDecreaseInAccruedLiabilities,-106900.000,21200.000,-107600.000,-7800.000,5600.000
IncreaseDecreaseInAssetRetirementObligations,,,,-1700.000,-1500.000
IncreaseDecreaseInDueToAffiliates,,,,,459500.000
InterestIncomeOperating,700.000,200.000,,,
NaturalGasProductionRevenue,7984600.000,,,,
NetCashProvidedByUsedInFinancingActivities,-11399800.000,-4221300.000,-3630800.000,-3609900.000,-219000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-11399800.000,-4221300.000,-3630800.000,-3609900.000,-219000.000
NetCashProvidedByUsedInInvestingActivities,82000.000,-5000.000,11500.000,3900.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,82000.000,-5000.000,11500.000,3900.000,
NetCashProvidedByUsedInOperatingActivities,10754800.000,3978600.000,3628600.000,3342700.000,219000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,10754800.000,3978600.000,3628600.000,3342700.000,219000.000
NetIncomeLoss,2665800.000,-9269000.000,-435800.000,-11898600.000,-6633200.000
NetIncomeLossAllocatedToGeneralPartners,1289500.000,-1609100.000,353600.000,-3424500.000,-1613000.000
NetIncomeLossAllocatedToLimitedPartners,1376300.000,-7659900.000,-789400.000,-8474100.000,-5020200.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,58.000,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-33.000,-358.000,-212.000
OilAndGasProductionExpense,5108700.000,4388800.000,4273400.000,3788100.000,2849600.000
OilAndGasRevenue,13093300.000,7401500.000,7779600.000,6977400.000,2603500.000
OilAndGasSalesRevenue,,,,,2515600.000
OperatingCostsAndExpenses,10428200.000,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPeriodIncreaseDecrease,-463600.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax,,-663900.000,-81100.000,,
OtherComprehensiveIncomeLossNetOfTax,,,,73100.000,-29500.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,87300.000,66300.000,22800.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,32900.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,342500.000,-69600.000,-76800.000,,
OtherNoncashExpense,1808800.000,654400.000,542900.000,,
PartnersCapitalAccountDistributions,12682800.000,4221300.000,3630800.000,3609900.000,219000.000
PartnersCapitalAccountExchangesAndConversions,0.000,,,,
PaymentsOfCapitalDistribution,,,3630800.000,3609900.000,219000.000
PaymentsToAcquireOilAndGasEquipment,6000.000,30300.000,,,
PriceRiskCashFlowHedgeGainOrLossReclassifiedToEarningsNet,-1814600.000,-546100.000,,,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,60000.000,0.000,11500.000,3900.000,
ProceedsFromSaleOfProductiveAssets,28000.000,25300.000,,,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,4692200.000,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,362600.000,,,
