,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,-34498.000,,,,-2800024.000,,,,193061.000,
AmortizationOfIntangibleAssets,,188709.000,,,,188709.000,,,,0.000,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,1531567.000,,1396625.000,,1478125.000,,1265625.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,341132.000,,,,-1491397.000,,,,-183725.000,
ComprehensiveIncomeNetOfTax,-1549966.000,307522.000,-244730.000,-1130293.000,-1544841.000,1359494.000,-676371.000,-1865928.000,-2947883.000,-355259.000,-630647.000
CostOfGoodsAndServicesSold,6210010.000,10417464.000,7721672.000,6563941.000,6441000.000,6538437.000,6891508.000,4100992.000,4133119.000,3958017.000,3601843.000
CostOfRevenue,,,,,,,,,,250306.000,
CurrentFederalTaxExpenseBenefit,,,,,,,28850.000,-28850.000,,,
CurrentForeignTaxExpenseBenefit,,,,25469.000,,42505.000,10078.000,20441.000,27646.000,19283.000,19592.000
CurrentIncomeTaxExpenseBenefit,39289.000,36348.000,36047.000,35469.000,42340.000,52505.000,48928.000,1591.000,37646.000,29283.000,24592.000
CurrentStateAndLocalTaxExpenseBenefit,,,,10000.000,,10000.000,10000.000,10000.000,10000.000,10000.000,5000.000
DeferredIncomeTaxExpenseBenefit,-30830.000,436931.000,113907.000,-116627.000,-117033.000,471799.000,211517.000,-157187.000,-72253.000,100409.000,36433.000
DepreciationDepletionAndAmortization,,44598.000,,,,29602.000,,,,22942.000,
EarningsPerShareBasicAndDiluted,-0.160,0.040,-0.030,-0.100,-0.160,0.130,-0.050,-0.180,-0.300,-0.040,-0.060
EffectOfExchangeRateOnCashAndCashEquivalents,,49689.000,,,,31238.000,,,,7296.000,
ForeignCurrencyTransactionGainLossBeforeTax,-6918.000,16879.000,-309.000,-3659.000,-3008.000,2070.000,-8658.000,31954.000,17662.000,-5698.000,-3207.000
GrossProfit,2669407.000,5009763.000,3599316.000,2651762.000,2235442.000,5391941.000,3544427.000,1486640.000,1930169.000,2511462.000,2246386.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1583296.000,917211.000,-197227.000,-1108141.000,-1687911.000,1814390.000,-272947.000,-1955994.000,-3039841.000,-253518.000,-579059.000
IncomeTaxExpenseBenefit,,,,-81158.000,,524304.000,260445.000,-155596.000,-34607.000,129692.000,61025.000
IncomeTaxesPaid,,10276.000,,,,31802.000,,,,26283.000,
IncreaseDecreaseInAccountsPayable,,1681192.000,,,,2450106.000,,,,318272.000,
IncreaseDecreaseInAccountsReceivable,,3119059.000,,,,4343882.000,,,,1103720.000,
IncreaseDecreaseInInventories,,1080617.000,,,,988408.000,,,,-970370.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,165930.000,,,,53495.000,,,,22129.000,
InterestIncomeOther,,,,,,,,,,,224.000
InventoryWriteDown,,,,,,100000.000,,,,102920.000,
InvestmentIncomeInterest,5394.000,1688.000,1147.000,967.000,698.000,1080.000,888.000,651.000,282.000,198.000,
NetCashProvidedByUsedInFinancingActivities,,0.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,0.000,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,-18613.000,,,,-12697.000,,,,-872.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-18613.000,,,,-12697.000,,,,-872.000,
NetCashProvidedByUsedInOperatingActivities,,409434.000,,,,-1509938.000,,,,-190149.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,409434.000,,,,-1509938.000,,,,-190149.000,
NetIncomeLoss,-1591755.000,443932.000,-347181.000,-1026983.000,-1613218.000,1290086.000,-533392.000,-1800398.000,-3005234.000,-383210.000,-640084.000
NonoperatingIncomeExpense,-1524.000,18567.000,838.000,-2692.000,-2310.000,3150.000,-7770.000,32605.000,17944.000,-5500.000,-2983.000
OperatingIncomeLoss,-1581772.000,898644.000,-198065.000,-1105449.000,-1685601.000,1811240.000,-265177.000,-1988599.000,-3057785.000,-248018.000,-576076.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,41182.000,-136410.000,102451.000,-103310.000,68377.000,69408.000,-142979.000,-65530.000,57351.000,27951.000,9437.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,607.000,0.000,0.000,0.000,,,,,,,
OtherNoncashIncomeExpense,,-18404.000,,,,22475.000,,,,-4572.000,
PaymentsForFees,,,,,,,,,,233896.000,
PaymentsToAcquirePropertyPlantAndEquipment,,18613.000,,,,12697.000,,,,872.000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,0.000,,,,,,,,,
ProvisionForDoubtfulAccounts,,40000.000,,,,0.000,,,,,
ResearchAndDevelopmentExpense,977489.000,812382.000,806211.000,821414.000,959205.000,706926.000,789911.000,824637.000,776752.000,691782.000,697552.000
RevenueRecognitionSalesReturnsReserveForSalesReturns,,,,,,-3401183.000,,,,1694948.000,
Revenues,8879417.000,15427227.000,11320988.000,9215703.000,8676442.000,11930378.000,10435935.000,5587632.000,6063288.000,6469479.000,5848229.000
SalesRevenueNet,8879417.000,15427227.000,11320988.000,9215703.000,8676442.000,11930378.000,10435935.000,5587632.000,6063288.000,6469479.000,5848229.000
SellingGeneralAndAdministrativeExpense,3273690.000,3298737.000,2991170.000,2935797.000,2961838.000,2873775.000,3019693.000,2650602.000,2534444.000,2067698.000,2124910.000
ShareBasedCompensation,,28827.000,,,,26184.000,,,,28590.000,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeLowerRangeLimit,,,,0.770,,0.770,,0.740,,0.740,0.740
