,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfFinancingCostsAndDiscounts,,,1888.000,,,,,,,,40748.000,,,,0.000,,,,,,
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,,0.000,,
BasicEarningsPerShareProForma,,,,,,,,,,,,,,,,,,,0.000,,
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,,,,,,,,,,,,,,,,,,,-64536.000,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,,,,,,,,,,,,,,,,-116256.000,,
BusinessAcquisitionsProFormaRevenue,,,,,,,,,,,,,,,,,,,2095232.000,,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,-1519802.000,,,,0.000,,
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationAsset1,,,,,,,,,,,,,,,38361.000,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-20478.000,,,,23664.000,,,,768.000,,,,-1478776.000,,,,-68383.000,,
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,0.000,,,,,,
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,0.000,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,,,,1097928.000
CostOfRevenue,265878.000,340594.000,355689.000,227054.000,250197.000,404873.000,351558.000,296794.000,362187.000,308118.000,283887.000,224282.000,,,557950.000,680083.000,684703.000,823396.000,1126502.000,1077615.000,1043303.000
CostsAndExpenses,193235.000,168724.000,,,,,,,,,,,,,,,,,,,
DebtConversionConvertedInstrumentAmount1,,,112000.000,,,,,,,,,,,,,,,,,,
DebtInstrumentConvertibleBeneficialConversionFeature,,,-9439.000,,0.000,,,,,,-34765.000,-14112.000,48877.000,,0.000,0.000,0.000,,,,
Depreciation,,,,,,,,,,,2137.000,,,,37329.000,,,,99512.000,101188.000,
DepreciationAndAmortization,,,677.000,,,,1759.000,,,,2137.000,,,,37329.000,,,,69533.000,,112542.000
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,-67571.000,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,,,,,0.000,,,,,,
DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,,,,,-194917.000,,,,,,,,,,,,,,,,
EarningsPerShareBasic,,,0.000,,,,,,,,,,0.000,,,,,,,0.000,0.000
EarningsPerShareBasicAndDiluted,,,,-0.000,0.000,,-0.000,-0.000,0.000,,-0.001,0.000,,,0.000,-0.000,-0.000,,-0.000,,
EarningsPerShareDiluted,,,0.000,,,,,,,,,,0.000,,,,,,,0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,-42034.000,,,,-30041.000,,
EffectiveIncomeTaxRateContinuingOperations,,,0.012,,,,,,,,,,,,,,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,,,,,0.000,,,,,,
ForeignCurrencyTransactionGainLossBeforeTax,,,,,,,,,,,,,,,-86204.000,69847.000,15274.000,-28420.000,-9738.000,4714.000,53407.000
GainLossOnDispositionOfAssets,,,,,,,,,,,,,,,,,,,8183.000,,
GeneralAndAdministrativeExpense,193235.000,168724.000,263921.000,309832.000,190971.000,382832.000,308547.000,291831.000,372658.000,334535.000,215147.000,141096.000,7837.000,-197150.000,238187.000,321221.000,275769.000,575870.000,1033266.000,1447595.000,1505205.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,,,0.000
