,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31
AccountsPayableCurrent,10500000.000,12700000.000,9000000.000,10700000.000,9500000.000
AccountsReceivableNetCurrent,31400000.000,29700000.000,32400000.000,35700000.000,42400000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,,,,5800000.000,
AccruedEmployeeBenefitsCurrent,,,,12800000.000,
AccruedIncomeTaxesCurrent,,,,2500000.000,
AccruedLiabilitiesCurrent,67100000.000,80200000.000,75300000.000,76800000.000,78800000.000
AccruedProfessionalFeesCurrent,,,,300000.000,
AccruedRentCurrent,,,,600000.000,
AccruedRentCurrentAndNoncurrent,,,,1100000.000,
AccruedRentNoncurrent,,,,500000.000,
AccruedUtilitiesCurrent,,,,300000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,304300000.000,321400000.000,337300000.000,353900000.000,371500000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-8000000.000,-8100000.000,-9000000.000,-9600000.000,-8100000.000
AdditionalPaidInCapital,339600000.000,346500000.000,352600000.000,357700000.000,364500000.000
AllowanceForDoubtfulAccountsReceivableCurrent,1900000.000,1900000.000,2100000.000,2600000.000,2500000.000
AssetRetirementObligation,,,8200000.000,8100000.000,8200000.000
AssetRetirementObligationCurrent,,,4600000.000,4500000.000,4300000.000
AssetRetirementObligationsNoncurrent,,,3600000.000,3600000.000,3900000.000
Assets,826800000.000,863500000.000,876900000.000,911000000.000,935700000.000
AssetsCurrent,118900000.000,143000000.000,153200000.000,173000000.000,185800000.000
AssetsHeldForSaleLongLived,,,,100000.000,
CapitalLeaseObligations,,,,1200000.000,
CapitalLeaseObligationsCurrent,,,,200000.000,
CapitalLeaseObligationsNoncurrent,,,,1000000.000,
CapitalLeasesFutureMinimumPaymentsDue,,,,1500000.000,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,300000.000,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,300000.000,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,200000.000,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,300000.000,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,200000.000,
CapitalLeasesFutureMinimumPaymentsDueThereafter,,,,200000.000,
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,300000.000,
CashAndCashEquivalentsAtCarryingValue,70600000.000,96400000.000,101900000.000,118400000.000,120700000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,,,1195700.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,200000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,26446136.000,26450871.000,26451871.000,26914108.000,26939102.000
CommonStockSharesOutstanding,25816658.000,25821393.000,25822393.000,26255173.000,26266494.000
CommonStockValue,300000.000,300000.000,300000.000,300000.000,300000.000
DeferredRevenueCurrent,24300000.000,25600000.000,25900000.000,30000000.000,29000000.000
DeferredRevenueNoncurrent,84900000.000,82200000.000,80200000.000,79300000.000,78000000.000
DeferredTaxAssetsGross,,,,218800000.000,
DeferredTaxAssetsLiabilitiesNet,,,,110700000.000,
DeferredTaxAssetsNet,,,,169700000.000,
