,2011-03-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2015-06-30,2017-03-31
AllocatedShareBasedCompensationExpense,,,,,,,6800000.000,,,,10700000.000,,,,,
AmortizationOfIntangibleAssets,,,,,,,5300000.000,,,,5100000.000,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,1600000.000,
BusinessCombinationAcquisitionRelatedCosts,,,,,,,,,,,,,,,88495000.000,19997000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,50546000.000,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTax,131253000.000,83047000.000,66611000.000,76517000.000,40621000.000,-232281000.000,34661000.000,27825000.000,8532000.000,86099000.000,30458000.000,43163000.000,88555000.000,-27625000.000,27143000.000,143676000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1945000.000,97000.000,493000.000,662000.000,442000.000,,869000.000,965000.000,460000.000,330000.000,-375000.000,2242000.000,-140000.000,-75000.000,17135000.000,13837000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,133198000.000,83144000.000,67104000.000,77179000.000,41063000.000,,35530000.000,28790000.000,8992000.000,86429000.000,30083000.000,45405000.000,88415000.000,-27700000.000,44278000.000,157513000.000
CostOfServices,1836686000.000,1925486000.000,1938834000.000,1934834000.000,1983900000.000,1938753000.000,1939154000.000,1889803000.000,1935676000.000,1938874000.000,1875677000.000,1784817000.000,1859615000.000,2433498000.000,4423060000.000,4258754000.000
DepreciationDepletionAndAmortization,,,25548000.000,,,,23902000.000,,,,22198000.000,,,,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,572000.000
EarningsPerShareBasic,0.490,0.630,,,0.630,,,0.540,0.710,,0.590,0.410,0.710,0.650,-0.110,0.660
EarningsPerShareBasicAndDiluted,,,0.420,0.430,,,0.360,,,,,,,,,
EarningsPerShareDiluted,0.490,0.620,,,0.630,,,0.530,0.700,,0.580,0.410,0.700,0.640,-0.110,0.650
EffectOfExchangeRateOnCashAndCashEquivalents,,,5895000.000,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,-515000.000,,,,-2505000.000,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,0.288,,,,0.246,,,,0.293,,,,,-0.442
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.350,,,,0.350,,,,,0.350
EquityMethodInvestmentDividendsOrDistributions,,,7837000.000,,,,11332000.000,,,,9170000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,687000.000,,,,685000.000,,,,448000.000,,,,,
ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,,,687000.000,,,,685000.000,,,,448000.000,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,,,5900000.000,,,,,,,,,,,,,
FiniteLivedIntangibleAssetsFutureAmortizationExpense,,,113500000.000,,,,,,,,,,,,,
ForeignCurrencyTransactionGainLossUnrealized,,,-3740000.000,,,,1452000.000,,,,9466000.000,,,,,
FutureAmortizationExpenseRemainderOfFiscalYear,,,17200000.000,,,,,,,,,,,,,
GeneralAndAdministrativeExpense,23608000.000,23560000.000,22611000.000,19857000.000,20682000.000,17753000.000,22102000.000,27253000.000,24010000.000,23953000.000,23845000.000,26449000.000,22904000.000,7710000.000,24418000.000,29844000.000
GoodwillAcquiredDuringPeriod,,,8900000.000,,,,44500000.000,,,,78200000.000,,,,,
GoodwillPurchaseAccountingAdjustments,,,-1500000.000,,,,,,,,5000000.000,,,,,
GoodwillTranslationAdjustments,,,4200000.000,,,,-2900000.000,,,,-10200000.000,,,,,
GrossProfit,99735000.000,121239000.000,90346000.000,76117000.000,111238000.000,144158000.000,78118000.000,99843000.000,131814000.000,140213000.000,78198000.000,87407000.000,108540000.000,129031000.000,126518000.000,168444000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,101394000.000,,80026000.000,57701000.000,82769000.000,94292000.000,-8711000.000,80353000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,59660000.000,73931000.000,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.490,0.630,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.490,0.620,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,0.000,,,,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,0.000,,,,,,,,,,,,,,,
IncomeLossFromEquityMethodInvestments,11330000.000,12248000.000,8962000.000,16898000.000,12281000.000,10509000.000,5915000.000,7846000.000,4094000.000,6464000.000,36083000.000,7436000.000,5896000.000,8509000.000,27776000.000,21738000.000
IncomeTaxExpenseBenefit,19239000.000,23959000.000,19578000.000,16769000.000,21323000.000,16746000.000,12703000.000,13961000.000,30179000.000,35735000.000,23485000.000,15205000.000,13677000.000,29657000.000,-8464000.000,-35487000.000
IncomeTaxReconciliationMinorityInterestIncomeExpense,,,,,,,,,,,,,,,,-5800000.000
IncreaseDecreaseInAccountsPayable,,,57569000.000,,,,-73427000.000,,,,72436000.000,,,,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,-6671000.000,,,,,
IncreaseDecreaseInAccruedLiabilities,,,-56141000.000,,,,75084000.000,,,,-16873000.000,,,,,
IncreaseDecreaseInBillingInExcessOfCostOfEarnings,,,57260000.000,,,,69018000.000,,,,21241000.000,,,,,
IncreaseDecreaseInOtherOperatingLiabilities,,,-14497000.000,,,,-9610000.000,,,,-8226000.000,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,5837000.000,,,,19415000.000,,,,-19733000.000,,,,,
IncreaseDecreaseInReceivables,,,128612000.000,,,,48392000.000,,,,-1709000.000,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,1000000.000,200000.000,900000.000,600000.000,,100000.000,,,,,,,,,
InterestExpense,10014000.000,10452000.000,10614000.000,11204000.000,12702000.000,10576000.000,10551000.000,11855000.000,11719000.000,10612000.000,,,,,60220000.000,
InterestIncomeExpenseNet,,,,,,,,,,,-10427000.000,-10498000.000,-9797000.000,,,-61801000.000
NetCashProvidedByUsedInContinuingOperations,,,,,,,-2480000.000,,,,81066000.000,,,,,
NetCashProvidedByUsedInFinancingActivities,,,72698000.000,,,,-16886000.000,,,,-33267000.000,,,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,72698000.000,,,,-16886000.000,,,,-33267000.000,,,,,
NetCashProvidedByUsedInInvestingActivities,,,-21621000.000,,,,-52168000.000,,,,-20549000.000,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-21621000.000,,,,-52168000.000,,,,-20549000.000,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-6426000.000,,,,67089000.000,,,,137387000.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-6426000.000,,,,67089000.000,,,,137387000.000,,,,,
NetIncomeLoss,57715000.000,73834000.000,47931000.000,48994000.000,69413000.000,-224905000.000,38109000.000,53811000.000,70755000.000,76568000.000,56396000.000,40192000.000,69240000.000,64026000.000,-17192000.000,102396000.000
NetIncomeLossAttributableToNoncontrollingInterest,1945000.000,97000.000,493000.000,662000.000,442000.000,37000.000,869000.000,965000.000,460000.000,1659000.000,145000.000,2304000.000,-148000.000,609000.000,16945000.000,13444000.000
NetIncomeLossAvailableToCommonStockholdersBasic,57715000.000,73834000.000,47931000.000,48994000.000,69413000.000,-224905000.000,,,,,,,,,,
NonoperatingIncomeExpense,1456000.000,-1585000.000,1919000.000,4471000.000,1043000.000,1540000.000,301000.000,156000.000,1215000.000,1850000.000,17000.000,-195000.000,1034000.000,1892000.000,10128000.000,1241000.000
OperatingIncomeLoss,87457000.000,109927000.000,76697000.000,73158000.000,102837000.000,-199086000.000,61931000.000,80436000.000,111898000.000,122724000.000,90436000.000,68394000.000,91532000.000,102520000.000,41381000.000,140913000.000
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPeriodIncreaseDecrease,,,-405000.000,-769000.000,-1354000.000,,,,,,,,,,,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,66140000.000,8518000.000,19476000.000,29486000.000,-29626000.000,,,,,,,,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,,,,,,,,,,,-27900000.000,1000000.000,17400000.000,-93600000.000,41300000.000,37300000.000
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesNetOfTax,,,,,,,427000.000,471000.000,736000.000,-66000.000,316000.000,378000.000,-1338000.000,959000.000,1667000.000,2333000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,-5978000.000,-28900000.000,-63404000.000,27841000.000,-25812000.000,2175000.000,22406000.000,-71484000.000,46683000.000,40885000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,-26458000.000,2909000.000,19323000.000,-92335000.000,44525000.000,41673000.000
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,-2103000.000,-2443000.000,-445000.000,19573000.000,962000.000,-356000.000,1745000.000,21810000.000,3825000.000,1545000.000
