,2016-12-31,2017-03-31
AccountsPayableCurrent,2018000.000,1480000.000
AccountsReceivableNetCurrent,10000.000,43000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,1881000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3196000.000,-3070000.000
AdditionalPaidInCapital,58595000.000,59137000.000
Assets,104754000.000,96989000.000
AssetsCurrent,34358000.000,25783000.000
AssetsNoncurrent,70396000.000,71206000.000
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,64946000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,3308000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,-1505000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,-2300000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,61500000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,-6166000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,58780000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,-2361000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,138000.000,
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,67494000.000,
CashAndCashEquivalentsAtCarryingValue,32282000.000,23509000.000
CommonStockSharesIssued,40018495.000,40060622.000
CommonStockSharesOutstanding,,40060622.000
CommonStockValue,133312000.000,133410000.000
DebtInstrumentCarryingAmount,11956000.000,
DebtInstrumentFairValue,15012000.000,15419000.000
DebtInstrumentInterestRateStatedPercentage,0.205,0.205
DebtInstrumentUnamortizedDiscount,3344000.000,3056000.000
DebtInstrumentUnamortizedDiscountNoncurrent,3344000.000,3056000.000
DeferredFinanceCostsNet,360000.000,
DeferredIncomeTaxLiabilities,15257000.000,
DeferredRevenue,703000.000,
DeferredRevenueCurrent,34000.000,
DeferredRevenueNoncurrent,669000.000,669000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,-15685000.000,
DeferredTaxAssetsGross,37186000.000,
DeferredTaxAssetsInProcessResearchAndDevelopment,7392000.000,
DeferredTaxAssetsLiabilitiesNet,-428000.000,
DeferredTaxAssetsNet,11100000.000,
DeferredTaxAssetsOperatingLossCarryforwards,28722000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,807000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,265000.000,
DeferredTaxAssetsValuationAllowance,-21929000.000,
DeferredTaxLiabilitiesNoncurrent,428000.000,
DepositsAssetsNoncurrent,167000.000,171000.000
DueToRelatedPartiesCurrentAndNoncurrent,0.000,
EmployeeRelatedLiabilitiesCurrent,356000.000,433000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,4664000.000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,338000.000,349000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,58000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,58000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,58000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,58000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,58000.000,
FiniteLivedIntangibleAssetsFairValueDisclosure,13814000.000,
FiniteLivedIntangibleAssetsGross,59845000.000,62169000.000
FiniteLivedIntangibleAssetsNet,59507000.000,59977000.000
Goodwill,8385000.000,8450000.000
IntangibleAssetsNetExcludingGoodwill,59507000.000,59977000.000
InventoryAdjustments,341000.000,
InventoryFinishedGoods,93000.000,
InventoryNet,830000.000,959000.000
InventoryRawMaterials,534000.000,
InventoryWorkInProcess,203000.000,
LiabilitiesAndStockholdersEquity,104754000.000,96989000.000
LiabilitiesCurrent,7614000.000,7784000.000
LiabilitiesNoncurrent,13409000.000,13346000.000
LongTermDebt,15300000.000,15300000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,13700000.000,13700000.000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,1600000.000,1600000.000
LongTermDebtNoncurrent,11956000.000,12244000.000
OperatingLeasesFutureMinimumPaymentsDue,2892000.000,2963000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,744000.000,661000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,417000.000,442000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,417000.000,442000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,637000.000,664000.000
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,642000.000,717000.000
OperatingLeasesFutureMinimumPaymentsDueThereafter,35000.000,37000.000
OperatingLossCarryforwards,94312000.000,
OtherAssetsCurrent,1236000.000,1272000.000
OtherAssetsNoncurrent,487000.000,555000.000
OtherLiabilitiesCurrent,5562000.000,6304000.000
PropertyPlantAndEquipmentGross,3731000.000,
PropertyPlantAndEquipmentNet,1850000.000,2053000.000
RetainedEarningsAccumulatedDeficit,-104980000.000,-113618000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,3.090,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,2807277.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,1289286.000,1396000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,4.400,4.420
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,2167903.000,2465000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,4.450,4.360
