,2011-10-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,590000.000,156000.000,,137650.000,,,,105000.000,98600.000,49000.000
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,,,,,3597000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,1090000.000,,,,1712000.000,,,,3391000.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,4014000.000
CostOfRevenue,41000.000,,,,,128000.000,43000.000,86000.000,16000.000,78000.000,22000.000,-39000.000
EarningsPerShareBasic,0.260,0.130,-0.090,0.450,0.070,0.050,-0.140,-0.100,-0.130,0.020,0.050,1.570
EarningsPerShareDiluted,0.250,0.130,-0.090,0.430,0.060,0.040,-0.140,-0.100,-0.120,0.020,0.050,1.490
EffectiveIncomeTaxRateContinuingOperations,,,0.348,,,0.389,0.294,,,0.400,0.382,
GainLossOnInvestments,,,400000.000,139000000000.000,,-400000.000,700000.000,-376000.000,,-120000.000,0.000,0.000
GainLossOnSaleOfInvestments,,-614000.000,,,,-417000.000,,,,-120000.000,,
GeneralAndAdministrativeExpense,490000.000,405000.000,462000.000,286000.000,300000.000,310000.000,635000.000,698000.000,,,,
GrossProfit,748000.000,562000.000,459000.000,450000.000,795000.000,973000.000,804000.000,834000.000,721000.000,469000.000,547000.000,497000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,-261000.000,,85000.000,220000.000,3767000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1324000.000,735000.000,-465000.000,125000.000,468000.000,221000.000,-565000.000,,,,,
IncomeTaxExpenseBenefit,467000.000,289000.000,-162000.000,-1272000.000,238000.000,86000.000,-166000.000,-2000.000,-77000.000,34000.000,84000.000,-243000.000
IncreaseDecreaseInAccountsReceivable,,238000.000,,,,320000.000,,,,-228000.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,311000.000,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,-42000.000,,,,8000.000,,,,-10000.000,,
IncreaseDecreaseInDeferredIncomeTaxes,,-616000.000,,,,,,,,,,-290000.000
IncreaseDecreaseInIncomeTaxes,,558000.000,,,,2000.000,,,,2000.000,,
IncreaseDecreaseInIncomeTaxesReceivable,,21000.000,,,,-87000.000,,,,-31000.000,,
IncreaseDecreaseInOtherCurrentLiabilities,,-647000.000,,,,-26000.000,,,,-1390000.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,29000.000,,,,9000.000,,,,-14000.000,,
InterestPaid,,,,,,,,,,3000.000,,
LicenseCosts,41000.000,52000.000,-8000.000,32000.000,,,,,,,,
LicensesRevenue,789000.000,614000.000,451000.000,482000.000,946000.000,1101000.000,847000.000,920000.000,737000.000,547000.000,569000.000,458000.000
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,-85000.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,-85000.000,,
NetCashProvidedByUsedInInvestingActivities,,1333000.000,,,,1613000.000,,,,4404000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,1333000.000,,,,1613000.000,,,,4404000.000,,
NetCashProvidedByUsedInOperatingActivities,,-243000.000,,,,338000.000,,,,-928000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-243000.000,,,,338000.000,,,,-928000.000,,
NetIncomeLoss,857000.000,446000.000,-303000.000,1397000.000,230000.000,135000.000,-399000.000,-259000.000,-335000.000,51000.000,136000.000,4010000.000
NetIncomeLossAvailableToCommonStockholdersBasic,,,-303000.000,1397000.000,,135000.000,-399000.000,-259000.000,-335000.000,51000.000,136000.000,4010000.000
NetIncomeLossAvailableToCommonStockholdersDiluted,,,-303000.000,1397000.000,,135000.000,-399000.000,-259000.000,-335000.000,51000.000,136000.000,4010000.000
OperatingExpenses,519000.000,436000.000,493000.000,316000.000,331000.000,338000.000,667000.000,723000.000,413000.000,265000.000,325000.000,342000.000
OperatingIncomeLoss,229000.000,126000.000,-34000.000,134000.000,464000.000,635000.000,137000.000,111000.000,308000.000,204000.000,222000.000,155000.000
OtherComprehensiveIncomeLossNetOfTax,,-442000.000,-1234000.000,1236000.000,231000.000,453000.000,-103000.000,-330000.000,-355000.000,185000.000,136000.000,
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,-497000.000,27000.000,86000.000,4000.000,,,,,,,
