,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,,-202000.000,,,,-292000.000
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,29000.000
AllowanceForLoanAndLeaseLossesProvisionForLossGross,,,,400000.000,600000.000,,244000.000
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,,,,29000.000,33000.000,,34000.000
AllowanceForLoanAndLeaseLossesWriteOffs,,,,1272000.000,1423000.000,,214000.000
AmortizationOfDeferredLoanOriginationFeesNet,,,22000.000,,,,40000.000
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,,,,,,,-35000.000
AvailableForSaleSecuritiesGrossRealizedGains,,,,,,,106000.000
BankOwnedLifeInsuranceIncome,,,30000.000,,,,30000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,533000.000,,,,4130000.000
ComprehensiveIncomeNetOfTax,,138000.000,325000.000,766000.000,474000.000,412089.000,570000.000
DeferredIncomeTaxExpenseBenefit,,,,,,,612000.000
DepreciationAndAmortization,301000.000,298000.000,304000.000,297000.000,290000.000,286498.000,308000.000
DividendsPreferredStockCash,,,,,,,142000.000
DividendsPreferredStockStock,,,143000.000,,,,
EarningsPerShareBasic,-0.140,-0.210,0.050,0.040,0.070,0.060,0.140
EarningsPerShareDiluted,-0.140,-0.210,0.050,0.040,0.070,0.060,0.140
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,,,,0.074
FederalDepositInsuranceCorporationPremiumExpense,118000.000,129000.000,119000.000,126000.000,126000.000,128655.000,128000.000
FeesAndCommissionsDepositorAccounts,371000.000,392000.000,325000.000,327000.000,328000.000,295686.000,256000.000
ForeclosedRealEstateExpense,112000.000,-54000.000,,470000.000,509000.000,,81000.000
GainLossOnSaleOfSecuritiesNet,33000.000,232000.000,20000.000,99000.000,261000.000,-229.000,106000.000
GainLossOnSalesOfLoansNet,167000.000,238000.000,276000.000,417000.000,467000.000,408593.000,504000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,28366000.000,28478000.000,,15430000.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,,,274000.000,236000.000,,111000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-480000.000,-873000.000,447000.000,348000.000,479000.000,460743.000,846000.000
IncomeTaxExpenseBenefit,-231000.000,-383000.000,122000.000,59000.000,80000.000,109730.000,241000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,,,,,,,287000.000
IncomeTaxReconciliationNondeductibleExpenseOther,,,,,,,6000.000
IncomeTaxReconciliationOtherReconcilingItems,,,,,,,0.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,,,,,,,4000.000
IncomeTaxReconciliationTaxExemptIncome,,,,,,,58000.000
IncomeTaxesPaid,,,,,,,0.000
IncreaseDecreaseInAccruedInterestReceivableNet,,,177000.000,,,,83000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,-122000.000,,,,
IncreaseDecreaseInDeposits,,,11411000.000,,,,1290000.000
IncreaseDecreaseInFederalFundsPurchased,,,,,,,1255000.000
IncreaseDecreaseInInterestPayableNet,,,15000.000,,,,46000.000
IncreaseDecreaseInOtherOperatingAssets,,,30000.000,,,,593000.000
IncreaseDecreaseInOtherOperatingLiabilities,,,109000.000,,,,-7627000.000
InformationTechnologyAndDataProcessing,,,,,,,85000.000
InterestAndDividendIncomeOperating,4803000.000,4672000.000,4383000.000,4311000.000,4116000.000,4138717.000,4237000.000
InterestAndDividendIncomeSecurities,587000.000,537000.000,543000.000,545000.000,481000.000,427906.000,434000.000
InterestAndFeeIncomeLoansAndLeases,4213000.000,4129000.000,3834000.000,3757000.000,3622000.000,3697543.000,3787000.000
InterestExpense,1079000.000,1023000.000,781000.000,703000.000,658000.000,607303.000,536000.000
InterestExpenseBorrowings,78000.000,99000.000,100000.000,96000.000,96000.000,90167.000,88000.000
InterestExpenseDeposits,1001000.000,924000.000,681000.000,607000.000,562000.000,517136.000,448000.000
InterestExpenseOther,,,,,,,655000.000
InterestIncomeExpenseAfterProvisionForLoanLoss,2193000.000,1118000.000,3002000.000,3208000.000,2858000.000,3531414.000,3457000.000
InterestIncomeExpenseNet,3724000.000,3649000.000,3602000.000,3608000.000,3458000.000,3531414.000,3701000.000
InterestPaid,,,766000.000,,,,490000.000
LaborAndRelatedExpense,1658000.000,1510000.000,1771000.000,1757000.000,1661000.000,1592215.000,1838000.000
LegalFees,,,,,,,118000.000
LoansAndLeasesReceivableImpairedInterestLostOnNonaccrualLoans,,,,,,,120000.000
LongTermPurchaseCommitmentAmount,,,,,,,150000.000
MarketingAndAdvertisingExpense,104000.000,97000.000,65000.000,91000.000,76000.000,83074.000,84000.000
NetCashProvidedByUsedInFinancingActivities,,,10965000.000,,,,-68000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,10965000.000,,,,-68000.000
NetCashProvidedByUsedInInvestingActivities,,,-11894000.000,,,,7549000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-11894000.000,,,,7549000.000
NetCashProvidedByUsedInOperatingActivities,,,1462000.000,,,,-3351000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,1462000.000,,,,-3351000.000
NetIncomeLoss,-249000.000,-490000.000,325000.000,289000.000,399000.000,351013.000,605000.000
NetIncomeLossAvailableToCommonStockholdersBasic,-418000.000,-659000.000,156000.000,120000.000,229000.000,181763.000,436000.000
NoninterestExpense,3577000.000,3173000.000,3658000.000,4255000.000,4219000.000,4299074.000,3899000.000
NoninterestIncome,904000.000,1182000.000,1103000.000,1395000.000,1840000.000,1228403.000,1288000.000
NoninterestIncomeOther,333000.000,320000.000,482000.000,,,,351000.000
NoninterestIncomeOtherOperatingIncome,,,,552000.000,784000.000,,422000.000
OccupancyNet,319000.000,330000.000,329000.000,,,,
OtherComprehensiveIncomeLossNetOfTax,,,,477000.000,75000.000,,-35000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,,,66000.000,172000.000,,-70000.000
OtherComprehensiveIncomeOtherNetOfTax,,628000.000,,,,,
OtherComprehensiveIncomeReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,,-153000.000,-13000.000,,,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,475000.000,-13000.000,411000.000,-97000.000,61427.000,35000.000
OtherInterestAndDividendIncome,,,,,,,16000.000
OtherNoninterestExpense,965000.000,863000.000,1070000.000,1166000.000,1216000.000,1654349.000,1107000.000
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,,,11925000.000,,,,18767000.000
PaymentsForProceedsFromFederalHomeLoanBankStock,,,,,,,-12000.000
PaymentsForProceedsFromLoansAndLeases,,,6297000.000,,,,-1641000.000
