,2014-06-30
AdvertisingExpense,2409.000
AmortizationOfDeferredLeasingFees,26207.000
CashPeriodIncreaseDecrease,11395.000
DeferredPolicyAcquisitionCostsAndPresentValueOfFutureProfitsAmortization1,6458.000
DepreciationAndAmortization,800.000
DepreciationDepletionAndAmortization,7258.000
DepreciationNonproduction,800.000
EarningsPerShareBasicAndDiluted,-0.010
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,1.000
GeneralAndAdministrativeExpense,162740.000
IncomeLossFromContinuingOperations,-130841.000
IncreaseDecreaseInAccountsPayable,4007.000
IncreaseDecreaseInAccountsReceivable,6358.000
IncreaseDecreaseInInterestPayableNet,404.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-6980.000
IndefiniteLivedIntangibleAssetsWrittenOffRelatedToSaleOfBusinessUnit,91592.000
InterestExpense,-29963.000
LossOnDerivativeInstrumentsPretax,226000.000
NetCashProvidedByUsedInFinancingActivities,37211.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,37211.000
NetCashProvidedByUsedInInvestingActivities,-1451.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-1451.000
NetCashProvidedByUsedInOperatingActivities,-24365.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-24365.000
NetIncomeLoss,-251794.000
OperatingExpenses,215708.000
OtherExpenses,-120953.000
PaymentsToAcquirePropertyPlantAndEquipment,236.000
PaymentsToDevelopSoftware,1215.000
ProceedsFromIssuanceOfCommonStock,47000.000
ProceedsFromRepaymentsOfRelatedPartyDebt,-9789.000
ProceedsFromSaleOfIntangibleAssets,-91592.000
ProfitLoss,-251794.000
Revenues,84867.000
SalesRevenueNet,84867.000
StockIssuedDuringPeriodValueIssuedForServices,98583.000
StockIssuedDuringPeriodValueNewIssues,98583.000
StockIssuedDuringPeriodValueOther,47000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,28784015.000
