,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,1600000.000,1470000.000,4422000.000,3756000.000,3871000.000,2633000.000,1548000.000,776000.000,775000.000,909000.000,395000.000,201000.000,374000.000,459000.000,360000.000
AccruedLiabilitiesCurrent,1233000.000,2181000.000,1093000.000,1816000.000,2912000.000,2307000.000,1459000.000,1659000.000,1245000.000,566000.000,619000.000,734000.000,1588000.000,1762000.000,765000.000
AccruedRoyaltiesCurrentAndNoncurrent,400000.000,400000.000,,,,,,,,,,,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,180000.000,200000.000,,,,242000.000,,,,258000.000,,,,251000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,99000.000,98000.000,101000.000,102000.000,101000.000,99000.000,100000.000,100000.000,100000.000,99000.000,99000.000,99000.000,99000.000,99000.000,86000.000
AdditionalPaidInCapital,13567000.000,13824000.000,15286000.000,16052000.000,16592000.000,17053000.000,17267000.000,17475000.000,17670000.000,17683000.000,17821000.000,18983000.000,23604000.000,23900000.000,24336000.000
Assets,58102000.000,51892000.000,44285000.000,38719000.000,32322000.000,25591000.000,19614000.000,15566000.000,11424000.000,8892000.000,5857000.000,8516000.000,31766000.000,29998000.000,26759000.000
AssetsCurrent,57981000.000,51795000.000,44211000.000,38658000.000,32263000.000,25536000.000,19564000.000,15521000.000,11384000.000,8856000.000,5826000.000,8509000.000,31761000.000,29975000.000,26739000.000
AssetsFairValueDisclosureRecurring,,47137000.000,37840000.000,27971000.000,26468000.000,21971000.000,16474000.000,12485000.000,8480000.000,7486000.000,4493000.000,3495000.000,3489000.000,28453000.000,24474000.000
AvailableForSaleSecuritiesAmortizedCost,,33311000.000,21643000.000,14376000.000,12968000.000,18572000.000,9047000.000,5226000.000,4952000.000,2500000.000,250000.000,,203000.000,16201000.000,16813000.000
AvailableForSaleSecuritiesCurrent,,33310000.000,,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,,,21644000.000,14379000.000,12970000.000,18572000.000,9048000.000,5226000.000,4952000.000,2500000.000,250000.000,,203000.000,16201000.000,16800000.000
CashAndCashEquivalentsAtCarryingValue,54739000.000,14839000.000,18632000.000,21255000.000,16174000.000,4123000.000,7994000.000,7994000.000,4908000.000,5881000.000,5146000.000,8338000.000,31055000.000,12800000.000,8894000.000
