,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31
AccountsPayableCurrent,596865.000,545744.000,392610.000,237591.000,470162.000,340350.000,415442.000,536964.000,577685.000,404842.000,452494.000,613562.000,469267.000,303475.000,359643.000
AccountsReceivableGrossCurrent,,,,,,,1087197.000,,,,1401330.000,,,,1763740.000
AccountsReceivableNetCurrent,1067085.000,1010514.000,999032.000,944807.000,1045207.000,1015100.000,1007197.000,1225513.000,1239221.000,1146671.000,1321330.000,1464199.000,1541077.000,1401240.000,1643740.000
AccruedIncomeTaxesCurrent,,,,,,,8767.000,,2094.000,32094.000,0.000,21112.000,94412.000,152642.000,138914.000
AccruedLiabilitiesCurrent,328106.000,247149.000,213911.000,326971.000,274660.000,254615.000,269016.000,170398.000,286335.000,258392.000,361026.000,213111.000,334868.000,282568.000,398605.000
AccruedLiabilitiesFairValueDisclosure,,,,,,,128914.000,,,,,,,,
AccruedPayrollTaxesCurrent,,,,,,,110000.000,,,,153680.000,,,,185843.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,8003519.000,,,,8501027.000,,,,9059250.000
AdditionalPaidInCapitalCommonStock,1658526.000,1663556.000,1668587.000,-1006065.000,1683678.000,1688708.000,1693738.000,1693738.000,1693738.000,1693738.000,1693738.000,1693738.000,1693738.000,1693738.000,1693738.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,80000.000,,,,80000.000,,,,120000.000
Assets,6233197.000,6179790.000,5944492.000,5956016.000,6516470.000,6072610.000,6257329.000,6417487.000,6772507.000,6662688.000,6959803.000,7081554.000,7234895.000,7198712.000,7540536.000
AssetsCurrent,1692394.000,1713861.000,1531591.000,1581309.000,2099897.000,1718112.000,1978729.000,2135150.000,2382669.000,2239245.000,2486860.000,2690088.000,2916859.000,2813857.000,3245238.000
AssetsNoncurrent,4540803.000,4465929.000,4412901.000,4374707.000,4416573.000,4354498.000,4278600.000,4282337.000,4389838.000,4423443.000,4472943.000,4391466.000,4318036.000,4384855.000,4295298.000
BuildingsAndImprovementsGross,,,,,,,4442756.000,,,,4543436.000,,,,4634662.000
CapitalLeaseObligations,,,,,,,139196.000,,,,,,,,
CapitalLeaseObligationsCurrent,27396.000,28320.000,25833.000,26321.000,61371.000,54716.000,49341.000,63393.000,90967.000,75730.000,82508.000,83366.000,74466.000,129264.000,91860.000
CapitalLeaseObligationsNoncurrent,42851.000,42851.000,23052.000,16531.000,62313.000,54761.000,45591.000,94373.000,117726.000,98736.000,73462.000,52699.000,41222.000,113377.000,68771.000
CapitalLeasedAssetsGross,,,,,,,,,,,320200.000,,,,419549.000
CapitalLeasesBalanceSheetAssetsByMajorClassNet,,,,,,,,,,,155971.000,,,,120213.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,,104371.000,,,,175607.000,,,,181659.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearThree,,,,,,,9702.000,,,,14053.000,,,,24434.000
CapitalLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,,,38808.000,,,,67841.000,,,,51226.000
CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,,,,,,,-9439.000,,,,-19637.000,,,,-21028.000
CapitalLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,,,55861.000,,,,93713.000,,,,105999.000
CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,,,,,,,94932.000,,,,155970.000,,,,160631.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,,,,,,164229.000,,,,299336.000
CapitalizedComputerSoftwareGross,,,,,,,,,,,220807.000,,,,220807.000
Cash,123324.000,209935.000,108406.000,250083.000,658335.000,310589.000,480546.000,380248.000,630210.000,593055.000,674459.000,783679.000,890090.000,900959.000,1050655.000
CommitmentsAndContingencies,,,,0.000,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000,50000000.000
CommonStockSharesIssued,6036091.000,6039091.000,6039091.000,6039091.000,6036091.000,6036091.000,6036091.000,6036091.000,,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000
CommonStockSharesOutstanding,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000,6036091.000
CommonStockValue,6036.000,6036.000,6036.000,1673617.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000,6036.000
CustomerDepositsCurrent,103674.000,111865.000,131553.000,80874.000,93259.000,91915.000,104926.000,105172.000,109678.000,105663.000,107191.000,106986.000,105005.000,137770.000,146639.000
DebtInstrumentInterestRateStatedPercentage,,,,,0.050,,,,,,,,,,
