,2012-06-30,2012-09-30
AdditionalPaidInCapital,,330550.000
Assets,0.000,350239.000
AssetsCurrent,0.000,94248.000
CashAndCashEquivalentsAtCarryingValue,0.000,94248.000
CommonStockParOrStatedValuePerShare,0.000,0.000
CommonStockSharesAuthorized,500000000.000,500000000.000
CommonStockSharesIssued,31390000.000,313390000.000
CommonStockSharesOutstanding,31390000.000,313390000.000
CommonStockValue,3139.000,31339.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,3139.000,18450.000
DueFromAffiliateNoncurrent,,255991.000
DueToOfficersOrStockholdersNoncurrent,,9300.000
LiabilitiesAndStockholdersEquity,0.000,350239.000
LiabilitiesCurrent,0.000,
LiabilitiesNoncurrent,,9300.000
PreferredStockParOrStatedValuePerShare,0.000,0.000
PreferredStockSharesAuthorized,20000000.000,20000000.000
PreferredStockSharesIssued,0.000,0.000
PreferredStockSharesOutstanding,0.000,0.000
PreferredStockValue,0.000,0.000
StockholdersEquity,0.000,340939.000
StockholdersEquityNoteSubscriptionsReceivable,,2500.000
