,2011-10-29,2012-01-28,2012-04-28,2012-07-28,2012-10-27,2013-02-02
AccountsPayableCurrent,57573000.000,54410000.000,73338000.000,74463000.000,60203000.000,47813000.000
AccountsPayableOtherCurrent,,,,,,6600000.000
AccruedLiabilitiesCurrent,50769000.000,41633000.000,51959000.000,53545000.000,60873000.000,39661000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,137900000.000
AdditionalPaidInCapitalCommonStock,262990000.000,248963000.000,249166000.000,249483000.000,249976000.000,250430000.000
Assets,602479000.000,546503000.000,569125000.000,564550000.000,484738000.000,407413000.000
AssetsCurrent,227098000.000,193732000.000,226754000.000,229207000.000,211867000.000,200059000.000
CapitalLeaseObligationsCurrent,,,,,,6400000.000
CapitalLeaseObligationsNoncurrent,,,,,,46900000.000
CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,,,,,,28900000.000
CashAndCashEquivalentsAtCarryingValue,32381000.000,8148000.000,22354000.000,33918000.000,10472000.000,6532000.000
ContractualObligation,,,,,,39200000.000
ContractualObligationDueAfterFifthYear,,,,,,27900000.000
ContractualObligationDueInFifthYear,,,,,,2400000.000
ContractualObligationDueInFourthYear,,,,,,2300000.000
ContractualObligationDueInNextTwelveMonths,,,,,,2100000.000
ContractualObligationDueInSecondYear,,,,,,2200000.000
ContractualObligationDueInThirdYear,,,,,,2300000.000
DebtAndCapitalLeaseObligations,,,,226800000.000,228400000.000,261400000.000
DebtInstrumentBasisSpreadOnVariableRate,,,,,,0.018
DeferredCostsAndOtherAssets,,,,,,9261000.000
DeferredFinanceCostsNoncurrentNet,4288000.000,,,,,
DeferredGainOnSaleOfProperty,,21471000.000,,,,
DeferredTaxAssetsGross,,,,,,40200000.000
DeferredTaxAssetsInventory,,,,,,700000.000
DeferredTaxAssetsLiabilitiesNet,,,,,,-5400000.000
DeferredTaxAssetsNet,,,,,,11100000.000
DeferredTaxAssetsNetCurrent,18181000.000,14129000.000,14757000.000,2094000.000,2095000.000,1657000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,6100000.000
DeferredTaxAssetsOther,,,,,,3100000.000
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,11300000.000
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,,,1700000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,,,,,4600000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsSelfInsurance,,,,,,3000000.000
DeferredTaxAssetsValuationAllowance,,,,27800000.000,27800000.000,29100000.000
DeferredTaxLiabilities,,,,,,16500000.000
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,4900000.000
DeferredTaxLiabilitiesLeasingArrangements,,,,,,7800000.000
DeferredTaxLiabilitiesNoncurrent,57969000.000,48108000.000,45792000.000,51459000.000,26889000.000,7090000.000
DueToAffiliateCurrent,3100000.000,,,,,
DueToRelatedPartiesCurrent,,2875000.000,,,,
DueToRelatedPartiesCurrentAndNoncurrent,,,,0.000,100000.000,
EmployeeRelatedLiabilitiesCurrent,,,,,,7200000.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,,,3000000.000
FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,,,,,3500000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,5100000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFive,,,,,,1300000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,,,,,,1500000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,,,,,,2400000.000
FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,,,,,,4200000.000
IncomeTaxesReceivable,,,,,,3115000.000
IndefiniteLivedIntangibleAssetsExcludingGoodwillFairValueDisclosure,,,,,47300000.000,
IntangibleAssetsNetExcludingGoodwill,139401000.000,133916000.000,132418000.000,130920000.000,67118000.000,29750000.000
InventoryNet,161214000.000,157671000.000,173446000.000,174442000.000,173785000.000,
LIFOInventoryAmount,,,,56400000.000,55900000.000,47700000.000
Liabilities,511439000.000,460204000.000,487132000.000,508967000.000,482233000.000,438023000.000
LiabilitiesAndStockholdersEquity,602479000.000,546503000.000,569125000.000,564550000.000,484738000.000,407413000.000
LiabilitiesCurrent,153223000.000,128658000.000,156378000.000,166025000.000,327215000.000,301968000.000
LineOfCreditFacilityAmountOutstanding,,,,,46000000.000,78800000.000
LineOfCreditFacilityCapacityAvailableForTradePurchases,,,,,,29100000.000
LineOfCreditFacilityCurrentBorrowingCapacity,,,,,100000000.000,145000000.000
LineOfCreditFacilityInterestRateAtPeriodEnd,,,,,,0.020
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,59800000.000,
LongTermDebtAndCapitalLeaseObligations,278269000.000,254152000.000,256487000.000,211269000.000,48484000.000,46948000.000
LongTermDebtAndCapitalLeaseObligationsCurrent,41781000.000,8269000.000,9526000.000,15527000.000,179930000.000,214494000.000
MinimumLeasePaymentsSaleLeasebackTransactions,,,,,,70500000.000
MinimumLeasePaymentsSaleLeasebackTransactionsThereafter,,,,,,52500000.000
MinimumLeasePaymentsSaleLeasebackTransactionsWithinFiveYears,,,,,,3700000.000
MinimumLeasePaymentsSaleLeasebackTransactionsWithinFourYears,,,,,,3600000.000
MinimumLeasePaymentsSaleLeasebackTransactionsWithinOneYear,,,,,,3500000.000
MinimumLeasePaymentsSaleLeasebackTransactionsWithinThreeYears,,,,,,3600000.000
MinimumLeasePaymentsSaleLeasebackTransactionsWithinTwoYears,,,,,,3600000.000
OperatingLeasesFutureMinimumPaymentsDue,,,,,,297500000.000
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,,34300000.000
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,20900000.000
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,,24300000.000
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,27500000.000
