,2014-03-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccruedIncomeTaxes,,434000.000,,,,,,,,,,
AccruedLiabilitiesAndOtherLiabilities,4027000.000,4690000.000,11064000.000,5584000.000,7943000.000,7433000.000,7146000.000,4995000.000,8141000.000,12138000.000,9489000.000,19434000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,-9210000.000,,,,10355000.000,,,,12236000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1015000.000,491000.000,784000.000,1676000.000,370000.000,455000.000,462000.000,-644000.000,1065000.000,525000.000,-1542000.000,651000.000
AdditionalPaidInCapital,22640000.000,23083000.000,23210000.000,23468000.000,23848000.000,24073000.000,56418000.000,56803000.000,65567000.000,65862000.000,66156000.000,168113000.000
AdvancePaymentsByBorrowersForTaxesAndInsurance,457000.000,851000.000,613000.000,919000.000,1357000.000,1640000.000,641000.000,974000.000,1592000.000,2614000.000,1058000.000,2037000.000
Assets,918800000.000,1039416000.000,1199017000.000,1276133000.000,1325945000.000,1330165000.000,1409669000.000,1453040000.000,1606384000.000,1653849000.000,1683736000.000,2182109000.000
AvailableForSaleSecurities,199023000.000,222468000.000,251717000.000,289485000.000,291062000.000,313981000.000,306474000.000,314323000.000,345980000.000,336918000.000,335352000.000,494130000.000
AvailableForSaleSecuritiesAmortizedCost,196399000.000,217585000.000,246435000.000,286404000.000,290550000.000,313312000.000,305972000.000,314079000.000,342293000.000,334364000.000,338214000.000,493678000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,58621000.000,27845000.000,58129000.000,54587000.000,104926000.000,117576000.000,104108000.000,90126000.000,111287000.000,92268000.000,134388000.000,168156000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,51566000.000,18088000.000,53547000.000,43069000.000,88151000.000,92505000.000,76544000.000,59878000.000,64625000.000,53292000.000,102870000.000,135645000.000
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,7055000.000,9757000.000,4582000.000,11518000.000,16775000.000,25071000.000,27564000.000,30248000.000,46662000.000,38976000.000,31518000.000,32511000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,15621000.000,22372000.000,17119000.000,123085000.000,107779000.000,21454000.000,30453000.000,34339000.000,61166000.000,49618000.000,50355000.000,88515000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,15501000.000,22217000.000,17191000.000,125269000.000,108260000.000,21684000.000,30736000.000,34660000.000,62008000.000,50340000.000,49916000.000,88805000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,,,,104943000.000,100633000.000,289000.000,264000.000,236000.000,1640000.000,1300000.000,597000.000,3667000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,,,,107163000.000,102394000.000,294000.000,269000.000,239000.000,1654000.000,1347000.000,606000.000,3684000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,180268000.000,195213000.000,229316000.000,49253000.000,67543000.000,291569000.000,275255000.000,279504000.000,279487000.000,283446000.000,287262000.000,401194000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,183017000.000,200251000.000,234526000.000,47864000.000,65629000.000,292003000.000,275469000.000,279424000.000,282318000.000,285231000.000,284830000.000,401339000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,52400000.000,,,9123000.000,14595000.000,,,,,,,302000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,,9189000.000,14779000.000,,,,,,,302000.000
AvailableForSaleSecuritiesPledgedAsCollateral,15300000.000,75300000.000,52600000.000,56300000.000,56700000.000,48700000.000,76400000.000,57400000.000,56000000.000,21700000.000,10700000.000,14900000.000
BankOwnedLifeInsurance,21069000.000,21379000.000,21532000.000,21554000.000,21727000.000,21893000.000,28082000.000,28330000.000,28553000.000,28772000.000,28984000.000,37938000.000
BorrowedFunds,74765000.000,,,,,,,,,,,
BusinessCombinationAcquiredReceivablesGrossContractualAmount,,,80200000.000,78000000.000,73700000.000,69200000.000,64100000.000,61600000.000,130300000.000,129500000.000,119400000.000,303200000.000
CashAndCashEquivalentsAtCarryingValue,16440000.000,29031000.000,21147000.000,26400000.000,29398000.000,22090000.000,26627000.000,30307000.000,46329000.000,38321000.000,24352000.000,68598000.000
CashAndDueFromBanks,6553000.000,10973000.000,10453000.000,15293000.000,13672000.000,11473000.000,10206000.000,10894000.000,12916000.000,9110000.000,9761000.000,21456000.000
CashCashEquivalentsAndFederalFundsSold,,,,,,,,,,,,68598000.000
CashSurrenderValueOfLifeInsurance,,,427000.000,,,,253000.000,,,,254000.000,
CertainLoansAcquiredInTransferAccountedForAsDebtSecuritiesAccretableYield,,,,,,,,,,,,4893000.000
CommonStockParOrStatedValuePerShare,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,6800000.000,10000000.000,10000000.000,10000000.000,15000000.000,15000000.000,15000000.000,15000000.000,25000000.000,25000000.000,25000000.000,25000000.000
CommonStockSharesIssued,4027827.000,8096536.000,8097536.000,8124781.000,9758879.000,9763383.000,12023557.000,12051615.000,12545282.000,12546220.000,12548328.000,16185408.000
CommonStockSharesOutstanding,4027827.000,8030408.000,8030408.000,8124781.000,9758879.000,9763383.000,12023557.000,12051615.000,12545282.000,12546220.000,12548328.000,16185408.000
CommonStockValue,40000.000,81000.000,81000.000,81000.000,98000.000,98000.000,120000.000,121000.000,125000.000,125000.000,125000.000,162000.000
DebtAndCapitalLeaseObligations,,149615000.000,149615000.000,172501000.000,202965000.000,173465000.000,223465000.000,168465000.000,165965000.000,155965000.000,241465000.000,269804000.000
DeferredIncomeTaxLiabilities,,,-1747000.000,,,,1654000.000,,,,1867000.000,
DeferredTaxAssetsGross,,,6707000.000,,,,7216000.000,,,,10610000.000,
DeferredTaxAssetsLiabilitiesNet,7124000.000,5742000.000,4715000.000,4277000.000,4893000.000,4907000.000,5273000.000,5995000.000,7891000.000,8285000.000,8341000.000,10210000.000
DeferredTaxAssetsNet,,,6462000.000,,,,6927000.000,,,,10208000.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,246000.000,,,,289000.000,,,,1522000.000,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,,,,,,,,,,,10700000.000,
DeferredTaxAssetsOther,,,392000.000,,,,947000.000,,,,974000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,144000.000,,,,295000.000,,,,504000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,,,3204000.000,,,,3722000.000,,,,3956000.000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,223000.000,,,,209000.000,,,,70000.000,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,,,,,,,,1049000.000,
DeferredTaxAssetsValuationAllowance,,,-245000.000,,,,289000.000,,,,402000.000,
DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,,,-451000.000,,,,-200000.000,,,,,
DemandDepositAccounts,105457000.000,142574000.000,183550000.000,175848000.000,158286000.000,158981000.000,158581000.000,147393000.000,166843000.000,195792000.000,191851000.000,309961000.000
Deposits,745668000.000,783952000.000,964190000.000,989649000.000,1005848000.000,1033951000.000,1031528000.000,1127772000.000,1263188000.000,1312276000.000,1258260000.000,1607720000.000
DepositsMoneyMarketDeposits,218861000.000,207019000.000,246116000.000,248492000.000,232703000.000,224219000.000,223906000.000,257808000.000,296968000.000,299960000.000,292639000.000,363600000.000
DepositsSavingsDeposits,25153000.000,25528000.000,36630000.000,38296000.000,38357000.000,39050000.000,39147000.000,41596000.000,46032000.000,47035000.000,48648000.000,66506000.000
DerivativeAssets,1216000.000,1269000.000,1689000.000,2739000.000,2326000.000,2812000.000,1945000.000,2434000.000,3808000.000,3168000.000,2219000.000,3226000.000
DerivativeLiabilities,,215000.000,1036000.000,1577000.000,380000.000,2094000.000,306000.000,2432000.000,4141000.000,2708000.000,342000.000,682000.000
DividendsPayableCurrentAndNoncurrent,201000.000,202000.000,243000.000,244000.000,244000.000,293000.000,361000.000,362000.000,372000.000,376000.000,502000.000,576000.000
FairValueDisclosureOffbalanceSheetRisksAmountLiability,,,441521000.000,,,,,,,,,
FederalFundsSold,,,,,,,,,6229000.000,,,10560000.000
FederalHomeLoanBankAdvancesBranchOfFHLBBankInterestRateRangeFrom,,,0.002,,,,0.003,,,,,
FederalHomeLoanBankAdvancesBranchOfFHLBBankInterestRateRangeTo,,,0.006,,,,0.006,,,,,
FederalHomeLoanBankAdvancesGeneralDebtObligationsDisclosuresAmountOfAvailableUnusedFunds,,,65300000.000,,,,77400000.000,,,,10700000.000,
FederalHomeLoanBankAdvancesLongTerm,,,45000000.000,,,,88000000.000,,,,23000000.000,
