,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,47610000.000,61056000.000,57490000.000,58034000.000,53939000.000,61709000.000,68214000.000,71116000.000,61613000.000,72613000.000,68646000.000,78452000.000,76661000.000,79621000.000,85802000.000,79884000.000,81109000.000,81966000.000,143299000.000,95396000.000,85490000.000,72639000.000,85655000.000,84057000.000,64075000.000
AccountsReceivableNetCurrent,297190000.000,338734000.000,339494000.000,484431000.000,389807000.000,404212000.000,456545000.000,630956000.000,450939000.000,493671000.000,450395000.000,654821000.000,510862000.000,506409000.000,465558000.000,674401000.000,438177000.000,500976000.000,467815000.000,669276000.000,450000000.000,504420000.000,475085000.000,725940000.000,485769000.000
AccruedIncomeTaxesCurrent,,,,,,,,49346000.000,10907000.000,14892000.000,25472000.000,29322000.000,8458000.000,5188000.000,2497000.000,12053000.000,6768000.000,3716000.000,2575000.000,18351000.000,18458000.000,27682000.000,51341000.000,39771000.000,28188000.000
AccruedLiabilitiesCurrent,248266000.000,265622000.000,282869000.000,302454000.000,295874000.000,226152000.000,234763000.000,256259000.000,245907000.000,255230000.000,244387000.000,257606000.000,271840000.000,280038000.000,286689000.000,298079000.000,275834000.000,262504000.000,263840000.000,317468000.000,310881000.000,315259000.000,279947000.000,302887000.000,255013000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,384179000.000,,,,479459000.000,,,,,,,,,,,,852460000.000,,,,797224000.000,
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,1273000.000,2898000.000,2680000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,8920000.000,7340000.000,-4150000.000,-5200000.000,-1600000.000,-5200000.000,-400000.000,0.000,-2900000.000,-3000000.000,2200000.000,2900000.000,2900000.000,2500000.000,-5800000.000,8300000.000,-9800000.000,-2000000.000,-2600000.000,-2300000.000,1100000.000,-1200000.000,-200000.000,-3100000.000,500000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,3806000.000,3806000.000,3806000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,4547000.000,6487000.000,265000.000,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,10934000.000,12919000.000,-5011000.000,-11561000.000,-4421000.000,-21854000.000,-10133000.000,-7705000.000,-18240000.000,-16975000.000,-3222000.000,4951000.000,4250000.000,1752000.000,-20499000.000,-36790000.000,-35972000.000,-29236000.000,-29464000.000,-28527000.000,-21063000.000,-21900000.000,-22835000.000,-28704000.000,-10934000.000
