,2011-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AdjustmentForAmortization,,158231.000,,,,795318.000,,,,,,,,,,,,
AdjustmentOfWarrantsGrantedForServices,,,,,,,,,,33000.000,,,,3000.000,,,,
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,14000.000,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,,,,,,,,33000.000,,,,756000.000,,,,
AdvertisingExpense,,2317377.000,3275200.000,4043064.000,5899005.000,6328487.000,,,,,,,,,,,,
AmortizationOfDebtDiscountPremium,,0.000,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,335433.000,,,,0.000,,,,9000.000,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,12000.000,,,,
AmortizationOfIntangibleAssets,,,,,,285183.000,293113.000,-156194.000,275898.000,225000.000,273000.000,278000.000,279000.000,220000.000,200000.000,80000.000,76000.000,100000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,2274238.000,,,,3252001.000,,,,10871479.000
AssetImpairmentCharges,,,,,,,,,,,,,,,4313000.000,137000.000,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,,,,,,,,5264854.000,,,,,,,,,,
CapitalExpendituresIncurredButNotYetPaid,,,,,,,,,,244000.000,,,,309000.000,,,,9000.000
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,24000.000,,,,
CashPeriodIncreaseDecrease,,8482927.000,,,,-2095337.000,,,,3764000.000,,,,1973000.000,,,,-1927000.000
ComprehensiveIncomeNetOfTax,,,,,,,,565561.000,,-7559000.000,-7122000.000,-27576000.000,-9707000.000,-6610000.000,-4185000.000,-1493000.000,8821000.000,-3143000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,-7368049.000,-2417580.000,-3900425.000,-4038012.000,2731987.000,431282.000,,,,,,,,,,,
CostOfGoodsAndServicesSold,3838035.000,14396406.000,17566718.000,17937768.000,27784504.000,32336385.000,31093224.000,32811630.000,25137761.000,26938000.000,32978000.000,23512000.000,26499000.000,27699000.000,22181000.000,20497000.000,17649000.000,19539000.000
DebtConversionConvertedInstrumentAmount1,,0.000,,,,,,,,,,,,,,,,
DebtConversionConvertedInstrumentSharesIssued1,,0.000,,,,,,,,,,,,,,,,
DebtConversionOriginalDebtAmount1,,0.000,,,,,,,,,,,,,,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount,,12791.000,,,,55534.000,,,,,,,,,,,,
Depreciation,,161341.000,,,,313934.000,,,,382000.000,,,,427000.000,,,,
DepreciationAndAmortization,,,,,,,,,,382000.000,456000.000,492000.000,470000.000,427000.000,389000.000,300000.000,384000.000,300000.000
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,420000.000
DerivativeGainLossOnDerivativeNet,,,,444059.000,,,,,,,,,,,,,,
DerivativeGainOnDerivative,,,9449050.000,,,,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,272681.000,305421.000,,484234.000,-110289.000,,,,,,,,,,,
EarningsPerShareBasic,,,,,,0.270,0.040,0.050,,-0.560,-0.510,-2.010,,,,,,
EarningsPerShareBasicAndDiluted,0.000,-1.780,-0.340,-0.470,0.130,,,,,,,,,-0.480,-0.300,-0.100,0.620,-0.230
EarningsPerShareDiluted,,,,,,0.230,0.030,0.050,,-0.560,-0.510,-2.010,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,-4247.000,,,,,,,,,,,,
