,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30
AccountsAndNotesReceivableNet,,,,,54045852.000,25553045.000,30884459.000
AccountsPayableAndOtherAccruedLiabilitiesCurrent,,,,,6217260.000,5801750.000,5180898.000
AccountsPayableCurrent,3581838.000,2583549.000,1732329.000,4727694.000,,,
AccountsPayableTradeCurrent,,,,182952.000,4227177.000,2769083.000,3457480.000
AccountsReceivableGrossCurrent,,,,25720683.000,54317439.000,25681452.000,31039657.000
AccountsReceivableNetCurrent,26971527.000,68643678.000,9630543.000,25592080.000,54045852.000,25553045.000,30884459.000
AccruedEmployeeBenefitsCurrent,,,,,1678575.000,,
AccruedIncomeTaxesCurrent,755.000,174525.000,764.000,,,,
AccruedLiabilitiesAndOtherLiabilities,,,,,6217260.000,,
AccruedLiabilitiesCurrent,,,,,3246518.000,,
AccruedMarketingCostsCurrent,,,,883313.000,1827712.000,,
AccruedProfessionalFeesCurrent,,,,,553603.000,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,3692398.000,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,11190470.000,11897382.000,12727975.000,12589757.000,12946218.000,13650682.000,15547308.000
AdditionalPaidInCapital,50074952.000,,50074952.000,50097677.000,50097677.000,50097677.000,50097677.000
AdditionalPaidInCapitalCommonStock,,50074952.000,,,,,
AllowanceForDoubtfulAccountsReceivable,,,,128603.000,271587.000,128407.000,155198.000
AllowanceForDoubtfulAccountsReceivableCurrent,,,,128603.000,271587.000,128407.000,155198.000
Assets,135268916.000,138891178.000,135652805.000,142364283.000,146220850.000,155815320.000,154724272.000
AssetsCurrent,77663330.000,78966245.000,75518715.000,85061625.000,91741788.000,101642409.000,100901906.000
BuildingsAndImprovementsGross,,,,,34383956.000,,
CashAndCashEquivalentsAtCarryingValue,31317098.000,586914.000,17456053.000,1004962.000,880259.000,3774088.000,1629936.000
CashEquivalentsAtCarryingValue,,,,,879647.000,,
CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000
CommonStockSharesIssued,29697976.000,29697976.000,29697976.000,29722976.000,29722976.000,29722976.000,29722976.000
CommonStockSharesOutstanding,29697976.000,29697976.000,29697976.000,29722976.000,29722976.000,29722976.000,29722976.000
CommonStockValue,29698.000,29698.000,29698.000,29723.000,29723.000,29723.000,29723.000
ConstructionInProgressGross,20053953.000,22923143.000,23659993.000,,158702.000,398940.000,0.000
DebtWeightedAverageInterestRate,,,,,0.067,,
DeferredTaxAssetsNet,,,,,0.000,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,15616259.000,15141462.000,
DueFromOfficersOrStockholdersCurrent,,,,152302.000,152734.000,153575.000,155899.000
DueToOfficersOrStockholdersCurrent,50075.000,50361.000,49136.000,46615.000,,,
DueToRelatedPartiesCurrent,,,,,0.000,266674.000,
FairValueConcentrationOfRiskCashAndCashEquivalents,,,,1004708.000,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,-7646267.000,,
FiniteLivedIntangibleAssetsGross,,,,,25487217.000,,
ForeignCurrencyExchangeRateTranslation1,,,,6.319,,6.267,6.173
Goodwill,2539286.000,2553757.000,2569980.000,,0.000,0.000,0.000
GuaranteeObligationsCurrentCarryingValue,,,,,476107.000,478728.000,
IntangibleAssetsNetExcludingGoodwill,20739051.000,20225220.000,19717674.000,18425759.000,15616259.000,15141462.000,13704459.000
InventoryFinishedGoods,,,,74815.000,269440.000,163922.000,221807.000
InventoryNet,16859087.000,8886234.000,43636916.000,52828681.000,36415013.000,67200419.000,65775140.000
InventoryRawMaterials,,,,49525395.000,33337600.000,63759271.000,62465039.000
InventoryWorkInProcess,,,,3084999.000,2646855.000,3132247.000,2949851.000
Liabilities,6994175.000,8782980.000,6758449.000,17724557.000,19526118.000,27827071.000,27929831.000
LiabilitiesAndStockholdersEquity,135268916.000,138891178.000,135652805.000,142364283.000,146220850.000,155815320.000,154724272.000
LiabilitiesCurrent,6994175.000,8782980.000,6758449.000,17724557.000,19526118.000,27827071.000,27929831.000
MachineryAndEquipmentGross,,,,,4191670.000,,
MinorityInterest,356631.000,356554.000,356508.000,356409.000,356315.000,356188.000,356140.000
MinorityInterestOwnershipPercentageByParent,,,,0.200,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,111000.000,,,
OperatingLeasesFutureMinimumPaymentsDueInRollingYearTwo,,,,,91000.000,,
OperatingLeasesFutureMinimumPaymentsNextRollingTwelveMonths,,,,,,71000.000,51000.000
OperatingLossCarryforwards,,,,,180553.000,,
OperatingLossCarryforwardsValuationAllowance,,,,,180553.000,,
OtherAccruedLiabilitiesCurrent,,,,,0.000,,
OtherIntangibleAssetsNet,3026491.000,3023569.000,3022479.000,2978676.000,,,
OtherInventorySupplies,,,,143472.000,161118.000,144979.000,138443.000
OtherLiabilitiesCurrent,3361507.000,3424288.000,2409761.000,4214689.000,,,
PreferredStockParOrStatedValuePerShare,0.001,,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,1000000.000,,1000000.000,1000000.000,1000000.000,1000000.000,1000000.000
PreferredStockSharesIssued,0.000,,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,0.000,,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,,,,0.000,0.000,0.000
PrepaidExpenseAndOtherAssetsCurrent,2515618.000,849419.000,4795203.000,5635902.000,400664.000,5114857.000,2612371.000
PropertyPlantAndEquipmentGross,,,,,39429694.000,,
PropertyPlantAndEquipmentNet,11246805.000,11199244.000,11163964.000,35898223.000,35737296.000,35669816.000,37131143.000
PropertyPlantAndEquipmentOther,,,,,134945.000,,
RetainedEarningsAccumulatedDeficit,,,,,53568622.000,54157802.000,51067416.000
RetainedEarningsAppropriated,9263241.000,9696177.000,9696177.000,9696177.000,9696177.000,9696177.000,9696177.000
RetainedEarningsUnappropriated,57359749.000,58053435.000,56009046.000,51869983.000,,,
SalesAndExciseTaxPayableCurrent,,,,,766.000,,
ShortTermBorrowings,,2550257.000,2566459.000,8735559.000,8760375.000,18989564.000,19291453.000
ShortTermDebtWeightedAverageInterestRate,,,,0.066,,,
StockholdersEquity,127918110.000,129751644.000,128537848.000,124283317.000,126338417.000,127632061.000,126438301.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,128274741.000,130108198.000,128894356.000,124639726.000,126694732.000,127988249.000,126794441.000
TaxesPayableCurrent,,,,,321306.000,0.000,0.000
