,2013-12-31,2014-12-31
CashPeriodIncreaseDecrease,5145.000,
Depreciation,900.000,
EarningsPerShareBasicAndDiluted,-0.010,
GeneralAndAdministrativeExpense,2271.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,4750.000,
LegalFees,3388.000,
NetCashProvidedByUsedInFinancingActivities,63878.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,63878.000,
NetCashProvidedByUsedInInvestingActivities,-5395.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-5395.000,
NetCashProvidedByUsedInOperatingActivities,-53338.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-53338.000,
NetIncomeLoss,-60288.000,
OperatingExpenses,60288.000,
OperatingIncomeLoss,-60288.000,
PaymentsToAcquireSoftware,5395.000,
ProceedsFromIssuanceOfCommonStock,34000.000,
ProceedsFromPaymentsForLongTermLoansForRelatedParties,29878.000,
ProfessionalFees,34985.000,
StockIssuedDuringPeriodValueIssuedForCash,34000.000,
ValuationAllowanceDeferredTaxAssetChangeInAmount,20498.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,9207381.000,
