,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfIntangibleAssets,,,,,,,,,,,,,2600000.000,2800000.000,2600000.000,2700000.000,2600000.000,2600000.000
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,,,,,,,,,,,,,-3700000.000,0.000,-4600000.000,-1800000.000,0.000,300000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-27100000.000,,,,58500000.000,,,,-14900000.000,,,,4400000.000,
CostsAndExpenses,150400000.000,,,,135100000.000,134300000.000,130600000.000,138400000.000,169600000.000,178300000.000,176500000.000,176900000.000,161300000.000,160200000.000,152600000.000,159500000.000,165500000.000,179400000.000
DeconsolidationGainOrLossAmount,,,,,,,,,,17000000.000,23200000.000,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,300000.000,,,,-3300000.000,,,,300000.000,,,,149200000.000,-400000.000
DeferredRevenueAdditions,,,,,,,,,,,-1100000.000,,-9200000.000,,,,,
DepreciationDepletionAndAmortization,7600000.000,,8300000.000,,9700000.000,10200000.000,10200000.000,10500000.000,14600000.000,15400000.000,17000000.000,20400000.000,18700000.000,20500000.000,18100000.000,20400000.000,21600000.000,21500000.000
DistributionMadeToLimitedLiabilityCompanyLLCMemberCashDistributionsPaid,,,,,-15200000.000,,,,,,,,,,,,,
DistributionMadeToLimitedPartnerCashDistributionsDeclared,,,,,,,,,,,,,,,,,29500000.000,29500000.000
DistributionMadeToLimitedPartnerCashDistributionsPaid,,,,,16200000.000,,,,,,,,,,,,,
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,,,,,,,,,,,,,,,0.594,0.594
DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,,,,,,0.515,0.527,,0.572,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,9.800,13500000.000,,,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,0.307,0.422,0.432,0.476,,,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsPaidPerUnit,0.307,0.422,,,,,,,,,,,,,,,,
DistributionsPerLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasic,,,,,,0.500,0.515,,,,,,,,,,,
EarningsPerShareBasicAndDiluted,,,,,,0.030,,,,,,,,,,,-2.770,-0.300
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.350,0.350,,,,,,,,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,-9400000.000,0.000,0.000,10100000.000,20400000.000,3500000.000,1000000.000,100000.000,0.000,-19900000.000
GeneralPartnersCapitalAccountDistributionAmount,,,,,,600000.000,700000.000,,1400000.000,,,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,-600000.000,,6400000.000,,,
IncentiveDistributionDistributionPerYear,44900000.000,,,,12300000.000,,,,22200000.000,,,,29500000.000,,,,29400000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,27800000.000,,,,23400000.000,6000000.000,21300000.000,22200000.000,13100000.000,18500000.000,21300000.000,36800000.000,41100000.000,13000000.000,22400000.000,46900000.000,17500000.000,-12700000.000
IncomeTaxExpenseBenefit,3900000.000,,100000.000,,300000.000,200000.000,500000.000,200000.000,-3300000.000,400000.000,500000.000,-100000.000,600000.000,400000.000,400000.000,600000.000,149200000.000,-200000.000
IncomeTaxExpenseBenefitContinuingOperations,3900000.000,200000.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,500000.000,0.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,9700000.000,9300000.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationOtherAdjustments,,0.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationPriorYearIncomeTaxes,600000.000,0.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationStateAndLocalIncomeTaxes,300000.000,200000.000,,,,,,,,,,,,,,,,
IncomeTaxReconciliationTaxCreditsOther,0.000,0.000,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayable,,,,,-12600000.000,,,,-2400000.000,,,,7600000.000,,,,19300000.000,
IncreaseDecreaseInAccountsReceivable,,,,,9000000.000,,,,4500000.000,,,,4900000.000,,,,400000.000,
IncreaseDecreaseInAccruedLiabilities,,,,,-1200000.000,,,,-900000.000,,,,8900000.000,,,,-600000.000,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,,,,,,3100000.000,
IncreaseDecreaseInDueToAffiliatesCurrent,,,,,0.000,,,,,,,,,,,,,
IncreaseDecreaseInInterestPayableNet,,,,,-2800000.000,,,,-9500000.000,,,,-10900000.000,,,,-8500000.000,
IncreaseDecreaseInInventories,,,,,-2700000.000,,,,-6300000.000,,,,-3800000.000,,,,11400000.000,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,-7400000.000,,,,-100000.000,
InterestExpense,6700000.000,,,,2900000.000,20400000.000,6800000.000,7000000.000,20600000.000,10800000.000,12400000.000,3700000.000,12500000.000,11700000.000,11500000.000,,12600000.000,14000000.000
