,2011-06-29,2011-09-29,2011-12-30,2012-03-30,2012-09-29,2012-12-30,2013-03-30,2013-06-29,2013-09-29,2013-12-30
AccountsPayableAndOtherAccruedLiabilities,16053.000,25616.000,47020.000,97253.000,24700.000,53675.000,54630.000,39450.000,17250.000,14375.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,10976.000,-13833.000,-14988.000,1234.000,11188.000,9394.000,10308.000,4795.000,5720.000,1833.000
Assets,2006943.000,2013887.000,1771431.000,1849434.000,3377841.000,3223500.000,3214413.000,3184004.000,3093635.000,1975772.000
AvailableForSaleSecuritiesDebtSecurities,96005.000,91000.000,,,,,,,,
AvailableForSaleSecuritiesEquitySecurities,1162209.000,1141102.000,1144284.000,1164251.000,1095847.000,924641.000,928287.000,925473.000,2832503.000,1849485.000
CashAndCashEquivalentsAtCarryingValue,252973.000,259364.000,49733.000,29291.000,2231994.000,2298859.000,2286126.000,2258531.000,261132.000,126287.000
DueFromAffiliates,74750.000,50000.000,50000.000,87500.000,50000.000,,,,,
DueToAffiliateCurrentAndNoncurrent,216652.000,272145.000,27649.000,84235.000,151854.000,6573.000,27088.000,56773.000,86485.000,4172.000
GeneralPartnersCapitalAccount,-348068.000,-348401.000,-348583.000,-349034.000,-333800.000,-334163.000,-334477.000,-334871.000,-335393.000,-346133.000
InterestReceivable,2317.000,99.000,,,,,,,,
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,407145.000,472322.000,527414.000,568392.000,,,,,,
Liabilities,232705.000,297761.000,74669.000,181488.000,176554.000,60248.000,81718.000,96223.000,103735.000,18547.000
LiabilitiesAndStockholdersEquity,2006943.000,2013887.000,1771431.000,1849434.000,3377841.000,3223500.000,3214413.000,3184004.000,3093635.000,1975772.000
LimitedPartnersCapitalAccount,2111330.000,2078360.000,2060333.000,2015746.000,3523899.000,3488021.000,3456864.000,3417857.000,3319573.000,2301525.000
LimitedPartnersCapitalAccountUnitsOutstanding,41286.000,41286.000,41286.000,41286.000,41286.000,41286.000,41286.000,41286.000,41286.000,41286.000
PartnersCapital,1774238.000,1716126.000,1696762.000,1667946.000,3201287.000,3163252.000,3132695.000,3087781.000,2989900.000,1957225.000
PrepaidExpenseCurrentAndNoncurrent,11544.000,,,,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1774238.000,1716126.000,1696762.000,1667946.000,3201287.000,3163252.000,3132695.000,3087781.000,2989900.000,1957225.000
